Date,Open,High,Low,Close,Volume
29-Dec-17,82.00,102.00,77.00,99.00,81976100
28-Dec-17,80.00,85.00,75.00,83.00,18849800
27-Dec-17,69.00,81.00,64.00,80.00,44960600
22-Dec-17,56.00,72.00,56.00,70.00,21119600
21-Dec-17,55.00,59.00,55.00,56.00,3981100
20-Dec-17,55.00,55.00,54.00,55.00,1601700
19-Dec-17,56.00,57.00,54.00,56.00,764900
18-Dec-17,55.00,57.00,54.00,56.00,230300
15-Dec-17,56.00,60.00,56.00,57.00,3439700
14-Dec-17,57.00,57.00,54.00,56.00,1549600
13-Dec-17,54.00,56.00,54.00,55.00,2207600
12-Dec-17,57.00,57.00,53.00,54.00,3690800
11-Dec-17,56.00,56.00,54.00,55.00,1037800
8-Dec-17,54.00,57.00,54.00,55.00,1413900
7-Dec-17,53.00,55.00,53.00,54.00,614800
6-Dec-17,53.00,55.00,52.00,53.00,1374900
5-Dec-17,58.00,58.00,50.00,52.00,4821100
4-Dec-17,60.00,60.00,58.00,58.00,996500
30-Nov-17,62.00,62.00,59.00,59.00,946700
29-Nov-17,62.00,62.00,60.00,62.00,1402200
28-Nov-17,62.00,64.00,61.00,62.00,2232400
27-Nov-17,64.00,64.00,63.00,63.00,482100
24-Nov-17,63.00,65.00,62.00,64.00,2014000
23-Nov-17,64.00,65.00,62.00,62.00,2246100
22-Nov-17,65.00,65.00,63.00,63.00,1609600
21-Nov-17,63.00,66.00,61.00,63.00,4866000
20-Nov-17,64.00,65.00,62.00,63.00,2024900
17-Nov-17,64.00,65.00,62.00,64.00,1618600
16-Nov-17,63.00,65.00,63.00,64.00,1350600
15-Nov-17,66.00,66.00,63.00,63.00,2642100
14-Nov-17,67.00,67.00,65.00,66.00,793000
13-Nov-17,66.00,68.00,65.00,67.00,1807600
10-Nov-17,68.00,68.00,66.00,67.00,500300
9-Nov-17,67.00,68.00,67.00,68.00,326600
8-Nov-17,68.00,68.00,67.00,68.00,1131600
7-Nov-17,67.00,68.00,67.00,68.00,1126900
6-Nov-17,68.00,68.00,67.00,68.00,313600
3-Nov-17,67.00,69.00,67.00,68.00,1502500
2-Nov-17,67.00,68.00,67.00,68.00,1030600
1-Nov-17,68.00,69.00,67.00,68.00,741400
31-Oct-17,69.00,69.00,67.00,68.00,1927600
30-Oct-17,70.00,72.00,68.00,68.00,6587300
27-Oct-17,69.00,70.00,69.00,69.00,211300
26-Oct-17,70.00,71.00,69.00,69.00,1292800
25-Oct-17,72.00,72.00,69.00,69.00,2000700
24-Oct-17,68.00,73.00,68.00,72.00,11778500
23-Oct-17,69.00,70.00,68.00,69.00,3985200
20-Oct-17,69.00,69.00,67.00,68.00,718500
19-Oct-17,68.00,69.00,67.00,68.00,1147300
18-Oct-17,68.00,69.00,67.00,68.00,3067300
17-Oct-17,69.00,70.00,68.00,68.00,1618900
16-Oct-17,68.00,70.00,68.00,69.00,772600
13-Oct-17,69.00,71.00,68.00,68.00,2965000
12-Oct-17,69.00,70.00,68.00,69.00,1482000
11-Oct-17,69.00,70.00,68.00,70.00,1537100
10-Oct-17,70.00,70.00,68.00,69.00,1617600
9-Oct-17,70.00,70.00,68.00,69.00,4145000
6-Oct-17,70.00,72.00,69.00,70.00,2896200
5-Oct-17,70.00,73.00,69.00,70.00,8795800
4-Oct-17,69.00,70.00,67.00,69.00,2179800
3-Oct-17,70.00,70.00,67.00,68.00,3377700
2-Oct-17,69.00,71.00,69.00,69.00,2326300
29-Sep-17,71.00,71.00,69.00,69.00,2773300
28-Sep-17,71.00,72.00,70.00,71.00,1979000
27-Sep-17,70.00,71.00,69.00,70.00,1881300
26-Sep-17,73.00,73.00,68.00,70.00,6547800
25-Sep-17,74.00,74.00,71.00,72.00,3229300
22-Sep-17,74.00,77.00,74.00,74.00,5505700
20-Sep-17,71.00,78.00,71.00,74.00,20930000
19-Sep-17,71.00,72.00,69.00,70.00,1652000
18-Sep-17,72.00,73.00,69.00,70.00,3779700
15-Sep-17,72.00,73.00,70.00,72.00,2418400
14-Sep-17,74.00,74.00,70.00,72.00,6746200
13-Sep-17,78.00,78.00,71.00,74.00,4885700
12-Sep-17,78.00,80.00,75.00,77.00,3425100
11-Sep-17,77.00,79.00,77.00,77.00,3101300
