Date,Open,High,Low,Close,Volume
29-Dec-17,418.00,418.00,418.00,418.00,100
28-Dec-17,-,-,-,420.00,0
27-Dec-17,420.00,420.00,420.00,420.00,100
22-Dec-17,-,-,-,420.00,0
21-Dec-17,-,-,-,420.00,0
20-Dec-17,-,-,-,420.00,0
19-Dec-17,420.00,420.00,420.00,420.00,100
18-Dec-17,-,-,-,410.00,0
15-Dec-17,-,-,-,410.00,0
14-Dec-17,-,-,-,410.00,0
13-Dec-17,410.00,410.00,410.00,410.00,100
12-Dec-17,410.00,410.00,410.00,410.00,100
11-Dec-17,400.00,400.00,400.00,400.00,100
8-Dec-17,342.00,398.00,340.00,388.00,5500
7-Dec-17,-,-,-,326.00,0
6-Dec-17,326.00,326.00,326.00,326.00,100
5-Dec-17,-,-,-,418.00,0
4-Dec-17,-,-,-,418.00,0
30-Nov-17,418.00,418.00,418.00,418.00,100
29-Nov-17,-,-,-,390.00,0
28-Nov-17,420.00,420.00,378.00,390.00,1300
27-Nov-17,420.00,420.00,420.00,420.00,100
24-Nov-17,-,-,-,410.00,0
23-Nov-17,-,-,-,410.00,0
22-Nov-17,390.00,420.00,390.00,410.00,1100
21-Nov-17,406.00,406.00,390.00,390.00,1900
20-Nov-17,352.00,392.00,352.00,392.00,4700
17-Nov-17,-,-,-,342.00,0
16-Nov-17,-,-,-,342.00,0
15-Nov-17,-,-,-,342.00,0
14-Nov-17,-,-,-,342.00,0
13-Nov-17,342.00,342.00,342.00,342.00,100
10-Nov-17,410.00,410.00,370.00,370.00,7400
9-Nov-17,436.00,436.00,400.00,420.00,900
8-Nov-17,440.00,440.00,396.00,418.00,1500
7-Nov-17,-,-,-,440.00,0
6-Nov-17,440.00,440.00,440.00,440.00,100
3-Nov-17,330.00,404.00,330.00,404.00,8600
2-Nov-17,398.00,398.00,326.00,326.00,300
1-Nov-17,318.00,398.00,318.00,398.00,200
31-Oct-17,-,-,-,352.00,0
30-Oct-17,424.00,424.00,352.00,352.00,24800
27-Oct-17,410.00,410.00,400.00,400.00,600
