Date,Open,High,Low,Close,Volume
29-Dec-17,785.00,800.00,780.00,780.00,54430900
28-Dec-17,775.00,790.00,775.00,785.00,38055900
27-Dec-17,755.00,780.00,755.00,775.00,41254100
22-Dec-17,745.00,760.00,730.00,755.00,49087200
21-Dec-17,765.00,770.00,750.00,750.00,40047900
20-Dec-17,765.00,770.00,755.00,770.00,46037700
19-Dec-17,750.00,765.00,750.00,765.00,50342600
18-Dec-17,745.00,760.00,740.00,760.00,45395100
15-Dec-17,750.00,755.00,745.00,745.00,45564500
14-Dec-17,740.00,750.00,740.00,750.00,41408500
13-Dec-17,745.00,745.00,725.00,745.00,43128000
12-Dec-17,740.00,750.00,740.00,745.00,41079300
11-Dec-17,740.00,745.00,730.00,740.00,51040200
8-Dec-17,725.00,735.00,725.00,735.00,47594800
7-Dec-17,715.00,730.00,715.00,725.00,39876000
6-Dec-17,710.00,720.00,710.00,715.00,45217900
5-Dec-17,715.00,720.00,700.00,710.00,24846600
4-Dec-17,710.00,720.00,710.00,715.00,41646700
30-Nov-17,730.00,740.00,710.00,710.00,45162500
29-Nov-17,740.00,740.00,730.00,735.00,40581100
28-Nov-17,740.00,745.00,735.00,740.00,41654600
27-Nov-17,740.00,740.00,720.00,740.00,43112100
24-Nov-17,745.00,745.00,735.00,745.00,40480500
23-Nov-17,745.00,745.00,740.00,745.00,41163900
22-Nov-17,745.00,745.00,735.00,745.00,45160600
21-Nov-17,750.00,750.00,745.00,750.00,42524600
20-Nov-17,755.00,760.00,745.00,750.00,42223300
17-Nov-17,745.00,760.00,745.00,760.00,45279700
16-Nov-17,750.00,760.00,750.00,750.00,43118900
15-Nov-17,755.00,760.00,745.00,750.00,41330400
14-Nov-17,765.00,765.00,750.00,755.00,45059100
13-Nov-17,750.00,760.00,745.00,760.00,45102400
10-Nov-17,745.00,760.00,745.00,750.00,44539500
9-Nov-17,730.00,745.00,730.00,745.00,42052900
8-Nov-17,735.00,735.00,730.00,735.00,44285600
7-Nov-17,740.00,740.00,735.00,735.00,41197700
6-Nov-17,735.00,740.00,735.00,740.00,50106900
3-Nov-17,740.00,745.00,735.00,740.00,47179800
2-Nov-17,735.00,745.00,730.00,740.00,45131400
1-Nov-17,730.00,735.00,730.00,735.00,42123100
31-Oct-17,725.00,735.00,725.00,735.00,16664300
30-Oct-17,725.00,730.00,725.00,725.00,15498600
27-Oct-17,720.00,725.00,720.00,725.00,25288400
26-Oct-17,725.00,725.00,715.00,725.00,14998800
25-Oct-17,720.00,730.00,720.00,730.00,4826400
24-Oct-17,715.00,725.00,715.00,720.00,23341400
23-Oct-17,710.00,725.00,710.00,720.00,4171400
20-Oct-17,715.00,715.00,710.00,710.00,9337900
19-Oct-17,710.00,720.00,710.00,715.00,23979400
18-Oct-17,715.00,715.00,710.00,715.00,4162000
17-Oct-17,720.00,720.00,710.00,715.00,9528300
16-Oct-17,720.00,725.00,715.00,720.00,23955900
13-Oct-17,720.00,725.00,720.00,725.00,9800400
12-Oct-17,720.00,725.00,715.00,720.00,9615600
11-Oct-17,725.00,730.00,720.00,720.00,23703900
10-Oct-17,730.00,735.00,730.00,730.00,4084300
9-Oct-17,725.00,730.00,725.00,725.00,9205000
6-Oct-17,725.00,735.00,720.00,725.00,22880600
5-Oct-17,735.00,735.00,730.00,730.00,4015600
4-Oct-17,730.00,735.00,730.00,735.00,9335100
3-Oct-17,725.00,735.00,720.00,730.00,22931000
2-Oct-17,730.00,735.00,730.00,730.00,6543000
29-Sep-17,715.00,735.00,715.00,735.00,9375600
28-Sep-17,710.00,720.00,700.00,715.00,24476100
27-Sep-17,720.00,720.00,710.00,710.00,4382300
26-Sep-17,730.00,730.00,720.00,720.00,8480300
25-Sep-17,725.00,730.00,725.00,730.00,25274800
22-Sep-17,725.00,735.00,715.00,730.00,5563200
20-Sep-17,725.00,730.00,720.00,725.00,4068600
19-Sep-17,710.00,725.00,710.00,730.00,31274600
18-Sep-17,720.00,720.00,710.00,715.00,4375500
15-Sep-17,725.00,725.00,710.00,720.00,4093300
14-Sep-17,715.00,730.00,715.00,725.00,34363200
13-Sep-17,735.00,735.00,715.00,720.00,29160100
12-Sep-17,740.00,745.00,735.00,735.00,30099800
11-Sep-17,725.00,745.00,725.00,740.00,36566400
8-Sep-17,720.00,730.00,720.00,730.00,30034200
7-Sep-17,710.00,725.00,710.00,720.00,31405000
6-Sep-17,710.00,720.00,710.00,715.00,35522500
5-Sep-17,720.00,725.00,710.00,720.00,32093600
4-Sep-17,735.00,735.00,720.00,720.00,30812800
31-Aug-17,695.00,735.00,695.00,735.00,65347200
30-Aug-17,690.00,700.00,690.00,700.00,47013000
29-Aug-17,695.00,700.00,690.00,695.00,34166000
28-Aug-17,695.00,700.00,695.00,700.00,69620700
25-Aug-17,695.00,700.00,695.00,700.00,42538500
24-Aug-17,685.00,700.00,680.00,700.00,58656800
23-Aug-17,685.00,690.00,680.00,690.00,74934200
22-Aug-17,685.00,700.00,685.00,690.00,49041300
21-Aug-17,685.00,690.00,685.00,690.00,48135300
18-Aug-17,685.00,700.00,685.00,695.00,60406500
16-Aug-17,680.00,695.00,680.00,695.00,62193500
15-Aug-17,690.00,695.00,680.00,685.00,67990600
14-Aug-17,675.00,685.00,675.00,685.00,62356300
11-Aug-17,675.00,680.00,665.00,680.00,64262500
10-Aug-17,685.00,695.00,680.00,680.00,79048600
9-Aug-17,690.00,695.00,685.00,690.00,61088700
8-Aug-17,680.00,695.00,680.00,695.00,62733700
7-Aug-17,675.00,685.00,675.00,685.00,63802900
4-Aug-17,675.00,685.00,675.00,680.00,64180100
3-Aug-17,690.00,695.00,680.00,680.00,62938500
2-Aug-17,685.00,695.00,685.00,695.00,77580500
1-Aug-17,685.00,695.00,685.00,690.00,76186700
31-Jul-17,675.00,695.00,675.00,695.00,78428000
28-Jul-17,680.00,685.00,680.00,685.00,78526000
27-Jul-17,670.00,685.00,670.00,685.00,78716500
26-Jul-17,670.00,680.00,670.00,675.00,77376800
25-Jul-17,665.00,670.00,665.00,670.00,78689500
24-Jul-17,665.00,670.00,665.00,670.00,79548900
21-Jul-17,665.00,675.00,665.00,670.00,78809700
20-Jul-17,665.00,670.00,660.00,670.00,79098500
19-Jul-17,665.00,670.00,660.00,670.00,79939100
18-Jul-17,670.00,675.00,665.00,670.00,77687700
17-Jul-17,665.00,675.00,665.00,675.00,78417500
14-Jul-17,670.00,670.00,655.00,665.00,70359800
13-Jul-17,675.00,675.00,665.00,675.00,74512600
12-Jul-17,650.00,675.00,650.00,675.00,79423500
11-Jul-17,660.00,665.00,650.00,665.00,67877000
