Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,131600
28-Dec-17,50.00,50.00,50.00,50.00,78300
27-Dec-17,50.00,50.00,50.00,50.00,265400
22-Dec-17,50.00,50.00,50.00,50.00,85800
21-Dec-17,50.00,50.00,50.00,50.00,20600
20-Dec-17,50.00,50.00,50.00,50.00,48300
19-Dec-17,50.00,50.00,50.00,50.00,27400
18-Dec-17,50.00,50.00,50.00,50.00,9200
15-Dec-17,50.00,50.00,50.00,50.00,40300
14-Dec-17,50.00,50.00,50.00,50.00,86100
13-Dec-17,50.00,50.00,50.00,50.00,307900
12-Dec-17,50.00,50.00,50.00,50.00,10600
11-Dec-17,50.00,50.00,50.00,50.00,179500
8-Dec-17,50.00,50.00,50.00,50.00,663100
7-Dec-17,50.00,50.00,50.00,50.00,277200
6-Dec-17,50.00,50.00,50.00,50.00,206800
5-Dec-17,50.00,50.00,50.00,50.00,4690600
4-Dec-17,51.00,52.00,50.00,50.00,23956400
30-Nov-17,53.00,53.00,51.00,51.00,14361000
29-Nov-17,53.00,57.00,52.00,53.00,29039600
28-Nov-17,55.00,55.00,53.00,53.00,8217100
27-Nov-17,56.00,56.00,55.00,55.00,4350100
24-Nov-17,56.00,57.00,55.00,55.00,5409500
23-Nov-17,57.00,58.00,56.00,56.00,6256200
22-Nov-17,57.00,58.00,56.00,57.00,6882700
21-Nov-17,57.00,58.00,56.00,57.00,8367400
20-Nov-17,57.00,58.00,56.00,56.00,6060200
17-Nov-17,58.00,60.00,56.00,57.00,13763700
16-Nov-17,58.00,60.00,56.00,58.00,23280000
15-Nov-17,57.00,59.00,57.00,57.00,4769300
14-Nov-17,58.00,61.00,57.00,57.00,18671700
13-Nov-17,58.00,60.00,57.00,58.00,8885600
10-Nov-17,59.00,60.00,58.00,58.00,3794000
9-Nov-17,60.00,62.00,58.00,59.00,17460500
8-Nov-17,61.00,62.00,58.00,60.00,16483100
7-Nov-17,62.00,62.00,60.00,60.00,8486200
6-Nov-17,61.00,63.00,60.00,61.00,13962800
3-Nov-17,62.00,62.00,60.00,61.00,9290300
2-Nov-17,61.00,63.00,60.00,62.00,20706400
1-Nov-17,62.00,63.00,60.00,60.00,15687600
31-Oct-17,65.00,65.00,61.00,62.00,34642900
30-Oct-17,65.00,69.00,63.00,65.00,59553100
27-Oct-17,64.00,67.00,63.00,65.00,30154000
26-Oct-17,64.00,66.00,63.00,64.00,29248500
25-Oct-17,62.00,67.00,60.00,64.00,72550700
24-Oct-17,62.00,64.00,60.00,61.00,50080700
23-Oct-17,67.00,68.00,60.00,62.00,83246800
20-Oct-17,70.00,73.00,65.00,67.00,53793800
19-Oct-17,72.00,74.00,67.00,69.00,65262800
18-Oct-17,67.00,75.00,66.00,71.00,168300700
17-Oct-17,62.00,67.00,60.00,66.00,86590900
16-Oct-17,63.00,65.00,60.00,61.00,39469800
13-Oct-17,67.00,67.00,61.00,63.00,73995000
12-Oct-17,55.00,72.00,54.00,67.00,341834500
11-Oct-17,53.00,57.00,51.00,55.00,95673200
10-Oct-17,55.00,56.00,52.00,53.00,57340800
9-Oct-17,57.00,60.00,53.00,55.00,67476600
6-Oct-17,75.00,75.00,54.00,58.00,168081600
5-Oct-17,78.00,78.00,74.00,75.00,32176800
4-Oct-17,78.00,78.00,76.00,78.00,5833600
3-Oct-17,78.00,78.00,76.00,77.00,6863000
2-Oct-17,80.00,82.00,77.00,78.00,14683100
29-Sep-17,80.00,80.00,77.00,77.00,16594500
28-Sep-17,81.00,83.00,79.00,79.00,32873900
27-Sep-17,79.00,81.00,77.00,80.00,16762700
26-Sep-17,83.00,83.00,78.00,79.00,15545400
25-Sep-17,85.00,88.00,81.00,82.00,96782000
22-Sep-17,78.00,84.00,78.00,84.00,42795700
20-Sep-17,79.00,80.00,77.00,78.00,23918500
19-Sep-17,79.00,81.00,78.00,79.00,18637900
18-Sep-17,79.00,80.00,79.00,79.00,7037600
15-Sep-17,81.00,81.00,79.00,79.00,8500800
14-Sep-17,83.00,89.00,79.00,80.00,150877800
13-Sep-17,80.00,83.00,78.00,82.00,36855600
12-Sep-17,81.00,82.00,78.00,79.00,15243300
11-Sep-17,84.00,84.00,80.00,80.00,18264000
8-Sep-17,80.00,84.00,78.00,81.00,56200300
7-Sep-17,80.00,90.00,78.00,79.00,166681500
6-Sep-17,79.00,86.00,76.00,80.00,64501800
5-Sep-17,85.00,85.00,75.00,78.00,24182700
4-Sep-17,86.00,88.00,81.00,82.00,20386300
31-Aug-17,89.00,89.00,83.00,85.00,9496800
30-Aug-17,94.00,94.00,88.00,89.00,7916500
29-Aug-17,91.00,92.00,89.00,89.00,7942500
28-Aug-17,92.00,93.00,90.00,91.00,10140500
25-Aug-17,93.00,99.00,91.00,91.00,89847400
24-Aug-17,95.00,97.00,93.00,93.00,16408500
23-Aug-17,96.00,98.00,94.00,95.00,9399300
22-Aug-17,101.00,101.00,95.00,96.00,15558200
21-Aug-17,99.00,106.00,98.00,100.00,27478400
18-Aug-17,99.00,101.00,98.00,98.00,5181600
16-Aug-17,100.00,101.00,98.00,99.00,1681800
15-Aug-17,100.00,101.00,98.00,99.00,3885700
14-Aug-17,99.00,102.00,97.00,100.00,1396600
11-Aug-17,102.00,102.00,98.00,100.00,5213300
10-Aug-17,103.00,105.00,101.00,102.00,4933000
9-Aug-17,107.00,107.00,102.00,103.00,6713700
8-Aug-17,102.00,117.00,101.00,106.00,47889100
7-Aug-17,106.00,109.00,102.00,102.00,3306700
4-Aug-17,110.00,110.00,106.00,106.00,4350000
3-Aug-17,113.00,114.00,109.00,109.00,3043700
2-Aug-17,119.00,119.00,111.00,112.00,5809800
1-Aug-17,121.00,122.00,118.00,119.00,4060500
31-Jul-17,120.00,123.00,119.00,119.00,848800
28-Jul-17,121.00,123.00,120.00,120.00,767200
27-Jul-17,120.00,126.00,120.00,121.00,3576400
26-Jul-17,122.00,124.00,120.00,120.00,1338100
25-Jul-17,122.00,124.00,120.00,122.00,1279100
24-Jul-17,125.00,127.00,121.00,121.00,1343300
21-Jul-17,129.00,130.00,124.00,124.00,2337700
20-Jul-17,122.00,132.00,121.00,129.00,8875100
19-Jul-17,124.00,126.00,119.00,122.00,5678500
18-Jul-17,126.00,133.00,123.00,123.00,7957700
17-Jul-17,130.00,132.00,125.00,126.00,3597900
14-Jul-17,134.00,135.00,129.00,130.00,4710100
13-Jul-17,138.00,140.00,128.00,134.00,12773700
12-Jul-17,125.00,155.00,124.00,138.00,69041500
11-Jul-17,119.00,124.00,118.00,124.00,6655400
10-Jul-17,117.00,120.00,116.00,118.00,1580800
7-Jul-17,118.00,120.00,116.00,117.00,986800
6-Jul-17,120.00,122.00,116.00,118.00,3602800
5-Jul-17,117.00,119.00,116.00,116.00,1063800
4-Jul-17,121.00,121.00,117.00,117.00,376600
3-Jul-17,116.00,121.00,116.00,119.00,1957800
22-Jun-17,117.00,120.00,116.00,116.00,542400
21-Jun-17,117.00,117.00,115.00,115.00,821700
20-Jun-17,119.00,119.00,117.00,118.00,684200
19-Jun-17,120.00,122.00,118.00,118.00,1056800
16-Jun-17,122.00,122.00,118.00,120.00,873200
15-Jun-17,119.00,123.00,119.00,119.00,2170900
14-Jun-17,121.00,122.00,118.00,119.00,1535900
13-Jun-17,124.00,125.00,118.00,120.00,2322200
12-Jun-17,127.00,129.00,122.00,122.00,1351100
9-Jun-17,120.00,133.00,120.00,126.00,5128300
8-Jun-17,123.00,124.00,119.00,119.00,834300
7-Jun-17,127.00,127.00,119.00,122.00,1691400
6-Jun-17,129.00,134.00,123.00,123.00,10792700
5-Jun-17,123.00,134.00,118.00,128.00,7176300
2-Jun-17,131.00,135.00,121.00,124.00,12041400
31-May-17,119.00,136.00,119.00,130.00,32199400
30-May-17,108.00,119.00,108.00,118.00,1740300
29-May-17,119.00,119.00,115.00,118.00,606100
26-May-17,120.00,121.00,118.00,119.00,252600
24-May-17,121.00,121.00,120.00,120.00,272100
23-May-17,124.00,124.00,120.00,120.00,617300
22-May-17,122.00,128.00,122.00,123.00,1495100
19-May-17,123.00,123.00,120.00,122.00,543800
18-May-17,120.00,124.00,118.00,120.00,2271700
17-May-17,121.00,121.00,116.00,117.00,782200
16-May-17,121.00,124.00,115.00,120.00,937500
15-May-17,125.00,125.00,121.00,121.00,1529300
12-May-17,122.00,125.00,120.00,121.00,2427800
10-May-17,135.00,135.00,120.00,122.00,4690300
9-May-17,140.00,141.00,133.00,134.00,1249600
8-May-17,140.00,143.00,139.00,140.00,1412700
5-May-17,149.00,149.00,138.00,140.00,1340200
4-May-17,147.00,149.00,145.00,145.00,2037500
3-May-17,154.00,154.00,145.00,147.00,4176200
2-May-17,156.00,158.00,153.00,154.00,1515300
28-Apr-17,159.00,162.00,156.00,156.00,3188600
27-Apr-17,158.00,160.00,157.00,157.00,2197500
26-Apr-17,159.00,160.00,157.00,157.00,1367200
25-Apr-17,160.00,160.00,156.00,159.00,2104000
21-Apr-17,158.00,161.00,158.00,160.00,583600
20-Apr-17,162.00,163.00,159.00,159.00,2186200
18-Apr-17,161.00,163.00,160.00,161.00,2695700
17-Apr-17,162.00,163.00,160.00,161.00,1932600
13-Apr-17,161.00,168.00,160.00,162.00,8974300
12-Apr-17,161.00,163.00,160.00,161.00,1662200
11-Apr-17,164.00,164.00,160.00,160.00,1178900
