Date,Open,High,Low,Close,Volume
29-Dec-17,6425.00,6425.00,6250.00,6425.00,1627900
28-Dec-17,6425.00,6425.00,6375.00,6425.00,987200
27-Dec-17,6450.00,6450.00,6300.00,6425.00,423700
22-Dec-17,6125.00,6350.00,6125.00,6350.00,304900
21-Dec-17,6150.00,6225.00,6050.00,6125.00,269700
20-Dec-17,6225.00,6250.00,6125.00,6150.00,350800
19-Dec-17,6375.00,6375.00,6175.00,6225.00,821700
18-Dec-17,6300.00,6425.00,6275.00,6425.00,543100
15-Dec-17,6300.00,6300.00,6100.00,6300.00,1449800
14-Dec-17,6150.00,6300.00,6050.00,6300.00,890300
13-Dec-17,6175.00,6175.00,6075.00,6150.00,365700
12-Dec-17,6175.00,6225.00,6025.00,6175.00,576700
11-Dec-17,6175.00,6175.00,5975.00,6100.00,388600
8-Dec-17,5850.00,6200.00,5850.00,6175.00,969400
7-Dec-17,5800.00,5900.00,5725.00,5900.00,1188100
6-Dec-17,5700.00,5800.00,5700.00,5725.00,689800
5-Dec-17,5700.00,5850.00,5700.00,5700.00,1142600
4-Dec-17,5750.00,5800.00,5650.00,5700.00,1794900
30-Nov-17,5850.00,5925.00,5700.00,5700.00,3690200
29-Nov-17,6100.00,6250.00,5825.00,5850.00,3073300
28-Nov-17,6150.00,6275.00,6100.00,6200.00,250900
27-Nov-17,6175.00,6275.00,6075.00,6275.00,510300
24-Nov-17,6125.00,6225.00,6025.00,6150.00,1414800
23-Nov-17,6200.00,6275.00,6125.00,6175.00,76800
22-Nov-17,6125.00,6200.00,6075.00,6150.00,1001100
21-Nov-17,6175.00,6200.00,6025.00,6150.00,1546600
20-Nov-17,6300.00,6450.00,6175.00,6225.00,1282400
17-Nov-17,6325.00,6500.00,6175.00,6375.00,1204300
16-Nov-17,6075.00,6400.00,6075.00,6325.00,1889200
15-Nov-17,6250.00,6300.00,6100.00,6100.00,1390800
14-Nov-17,6400.00,6425.00,6250.00,6250.00,2845400
13-Nov-17,6800.00,6800.00,6375.00,6375.00,1856800
10-Nov-17,6800.00,6850.00,6700.00,6700.00,1044900
9-Nov-17,6725.00,6850.00,6625.00,6775.00,977700
8-Nov-17,6725.00,6750.00,6700.00,6700.00,335700
7-Nov-17,6750.00,6825.00,6725.00,6725.00,988700
6-Nov-17,6825.00,6825.00,6725.00,6800.00,414100
3-Nov-17,6800.00,6825.00,6625.00,6825.00,573300
2-Nov-17,6750.00,6775.00,6625.00,6750.00,286600
1-Nov-17,6825.00,6825.00,6675.00,6750.00,1928000
31-Oct-17,6750.00,6850.00,6725.00,6800.00,1400000
30-Oct-17,6800.00,6875.00,6550.00,6700.00,1332200
27-Oct-17,6650.00,6800.00,6650.00,6800.00,1893600
26-Oct-17,6500.00,6850.00,6500.00,6525.00,1745300
25-Oct-17,6375.00,6500.00,6375.00,6500.00,754500
24-Oct-17,6400.00,6500.00,6400.00,6425.00,456300
23-Oct-17,6425.00,6475.00,6400.00,6400.00,3070600
20-Oct-17,6400.00,6475.00,6350.00,6400.00,3398200
19-Oct-17,6350.00,6450.00,6350.00,6425.00,910000
18-Oct-17,6450.00,6450.00,6250.00,6350.00,914800
17-Oct-17,6450.00,6450.00,6350.00,6400.00,543700
16-Oct-17,6500.00,6500.00,6350.00,6450.00,971200
13-Oct-17,6525.00,6525.00,6350.00,6350.00,1146400
12-Oct-17,6600.00,6600.00,6475.00,6550.00,665400
11-Oct-17,6575.00,6600.00,6500.00,6500.00,552600
10-Oct-17,6525.00,6575.00,6475.00,6575.00,335200
9-Oct-17,6425.00,6550.00,6425.00,6450.00,305400
6-Oct-17,6450.00,6500.00,6400.00,6450.00,745400
5-Oct-17,6550.00,6575.00,6425.00,6425.00,849800
4-Oct-17,6500.00,6675.00,6500.00,6550.00,619400
3-Oct-17,6475.00,6600.00,6450.00,6500.00,1026000
2-Oct-17,6750.00,6750.00,6450.00,6475.00,438200
29-Sep-17,6550.00,6650.00,6425.00,6575.00,1534500
28-Sep-17,6550.00,6575.00,6450.00,6450.00,750500
27-Sep-17,6475.00,6625.00,6475.00,6550.00,477600
26-Sep-17,6575.00,6625.00,6450.00,6500.00,1207800
25-Sep-17,6800.00,6800.00,6500.00,6575.00,612600
22-Sep-17,6500.00,6750.00,6500.00,6750.00,1586300
20-Sep-17,6575.00,6600.00,6550.00,6575.00,304200
19-Sep-17,6575.00,6650.00,6475.00,6575.00,577200
18-Sep-17,6550.00,6600.00,6475.00,6575.00,464500
15-Sep-17,6550.00,6750.00,6475.00,6575.00,3564900
14-Sep-17,6650.00,6775.00,6550.00,6550.00,652500
13-Sep-17,6800.00,6800.00,6625.00,6625.00,603800
12-Sep-17,6800.00,6825.00,6725.00,6800.00,821700
11-Sep-17,6675.00,6900.00,6675.00,6800.00,2334400
8-Sep-17,6450.00,6750.00,6425.00,6725.00,916600
7-Sep-17,6475.00,6500.00,6300.00,6375.00,1000600
6-Sep-17,6500.00,6550.00,6250.00,6350.00,1565100
5-Sep-17,6500.00,6575.00,6475.00,6500.00,1299700
4-Sep-17,6400.00,6575.00,6400.00,6500.00,474800
31-Aug-17,6525.00,6600.00,6425.00,6425.00,1937700
30-Aug-17,6625.00,6675.00,6450.00,6500.00,1724800
29-Aug-17,6675.00,6750.00,6625.00,6750.00,1026100
28-Aug-17,6675.00,6750.00,6650.00,6750.00,299300
25-Aug-17,6825.00,6850.00,6600.00,6675.00,1343200
24-Aug-17,6675.00,6800.00,6650.00,6800.00,1184800
23-Aug-17,6650.00,6725.00,6625.00,6675.00,2100400
22-Aug-17,6500.00,6700.00,6500.00,6675.00,876400
21-Aug-17,6700.00,6700.00,6600.00,6675.00,151400
18-Aug-17,6700.00,6750.00,6650.00,6700.00,1290000
16-Aug-17,6900.00,6900.00,6750.00,6750.00,463300
15-Aug-17,6750.00,6900.00,6650.00,6850.00,2791500
14-Aug-17,6650.00,6825.00,6625.00,6650.00,791000
11-Aug-17,6800.00,6800.00,6650.00,6650.00,2190500
10-Aug-17,7100.00,7100.00,6800.00,6900.00,300300
9-Aug-17,7400.00,7400.00,6750.00,7100.00,988300
8-Aug-17,6475.00,7650.00,6425.00,7650.00,2468500
7-Aug-17,6675.00,6750.00,6450.00,6450.00,1321100
4-Aug-17,6650.00,6800.00,6625.00,6675.00,717200
3-Aug-17,6850.00,6850.00,6650.00,6650.00,875800
2-Aug-17,6800.00,6850.00,6750.00,6850.00,1521400
1-Aug-17,6800.00,6900.00,6700.00,6750.00,3180000
31-Jul-17,6775.00,6875.00,6725.00,6750.00,2173900
28-Jul-17,6700.00,6875.00,6600.00,6750.00,1937700
27-Jul-17,6750.00,6750.00,6650.00,6700.00,1437500
26-Jul-17,6800.00,6800.00,6725.00,6750.00,1274400
25-Jul-17,6850.00,6850.00,6700.00,6800.00,1236300
24-Jul-17,6525.00,6850.00,6525.00,6850.00,1740300
21-Jul-17,6675.00,6825.00,6525.00,6525.00,467600
20-Jul-17,6750.00,6825.00,6650.00,6675.00,2498100
19-Jul-17,7100.00,7150.00,6775.00,6800.00,1284300
18-Jul-17,6950.00,7250.00,6950.00,7000.00,797100
17-Jul-17,7100.00,7175.00,6900.00,6950.00,1850300
14-Jul-17,7100.00,7100.00,7025.00,7100.00,1833600
13-Jul-17,6800.00,7175.00,6800.00,7100.00,2517900
12-Jul-17,7100.00,7200.00,7000.00,7000.00,717700
11-Jul-17,7400.00,7400.00,7025.00,7100.00,2936600
10-Jul-17,7100.00,7400.00,7100.00,7400.00,3309400
7-Jul-17,7025.00,7200.00,7025.00,7100.00,1799800
6-Jul-17,6750.00,7200.00,6750.00,7200.00,2363100
5-Jul-17,7350.00,7350.00,6550.00,6650.00,2438600
4-Jul-17,6975.00,7500.00,6825.00,7350.00,1733300
3-Jul-17,6800.00,7400.00,6650.00,6975.00,3793200
22-Jun-17,6650.00,6825.00,6625.00,6800.00,2043200
21-Jun-17,6800.00,6825.00,6350.00,6650.00,2273600
20-Jun-17,6975.00,6975.00,6800.00,6875.00,2278800
19-Jun-17,6800.00,6875.00,6725.00,6850.00,1259700
16-Jun-17,6650.00,7025.00,6575.00,6675.00,9377000
15-Jun-17,6750.00,6850.00,6525.00,6625.00,4502500
14-Jun-17,6375.00,6850.00,6375.00,6750.00,6262400
