Date,Open,High,Low,Close,Volume
29-Dec-17,850.00,900.00,850.00,900.00,300
28-Dec-17,920.00,920.00,755.00,755.00,1900
27-Dec-17,920.00,920.00,920.00,920.00,100
22-Dec-17,-,-,-,920.00,0
21-Dec-17,920.00,920.00,920.00,920.00,500
20-Dec-17,-,-,-,920.00,0
19-Dec-17,-,-,-,920.00,0
18-Dec-17,-,-,-,920.00,0
15-Dec-17,880.00,920.00,880.00,920.00,400
14-Dec-17,900.00,900.00,900.00,900.00,8300
13-Dec-17,880.00,880.00,880.00,880.00,1600
12-Dec-17,-,-,-,915.00,0
11-Dec-17,-,-,-,915.00,0
8-Dec-17,-,-,-,915.00,0
7-Dec-17,880.00,915.00,880.00,915.00,200
6-Dec-17,905.00,905.00,905.00,905.00,900
5-Dec-17,920.00,920.00,920.00,920.00,3000
4-Dec-17,950.00,950.00,950.00,950.00,600
30-Nov-17,930.00,975.00,930.00,960.00,300
29-Nov-17,-,-,-,930.00,0
28-Nov-17,930.00,930.00,930.00,930.00,1000
27-Nov-17,935.00,935.00,930.00,930.00,1700
24-Nov-17,920.00,935.00,920.00,935.00,10100
23-Nov-17,915.00,935.00,915.00,935.00,300
22-Nov-17,935.00,935.00,935.00,935.00,500
21-Nov-17,935.00,935.00,935.00,935.00,16000
20-Nov-17,935.00,935.00,935.00,935.00,12200
17-Nov-17,-,-,-,940.00,0
16-Nov-17,910.00,940.00,910.00,940.00,10500
15-Nov-17,905.00,910.00,905.00,910.00,100200
14-Nov-17,920.00,990.00,920.00,990.00,1600
13-Nov-17,950.00,950.00,925.00,925.00,4800
10-Nov-17,930.00,930.00,930.00,930.00,5500
9-Nov-17,930.00,930.00,910.00,930.00,5300
8-Nov-17,930.00,930.00,930.00,930.00,100
7-Nov-17,940.00,940.00,935.00,935.00,8500
6-Nov-17,945.00,945.00,945.00,945.00,1000
3-Nov-17,940.00,940.00,940.00,940.00,500
2-Nov-17,920.00,930.00,920.00,925.00,5200
1-Nov-17,915.00,915.00,880.00,910.00,3300
31-Oct-17,910.00,915.00,910.00,915.00,11000
30-Oct-17,900.00,915.00,890.00,915.00,11800
27-Oct-17,910.00,910.00,895.00,905.00,3000
26-Oct-17,925.00,925.00,890.00,915.00,1700
25-Oct-17,920.00,920.00,920.00,920.00,100
24-Oct-17,910.00,910.00,910.00,910.00,500
23-Oct-17,920.00,920.00,910.00,920.00,10800
20-Oct-17,910.00,920.00,910.00,920.00,600
19-Oct-17,920.00,940.00,920.00,940.00,400
18-Oct-17,900.00,940.00,900.00,940.00,2000
17-Oct-17,925.00,925.00,925.00,925.00,300
16-Oct-17,925.00,925.00,925.00,925.00,200
13-Oct-17,920.00,920.00,900.00,910.00,1600
12-Oct-17,930.00,930.00,900.00,925.00,1900
11-Oct-17,965.00,965.00,965.00,965.00,1000
10-Oct-17,965.00,965.00,965.00,965.00,2300
9-Oct-17,965.00,965.00,965.00,965.00,2000
6-Oct-17,980.00,980.00,965.00,965.00,2300
5-Oct-17,965.00,985.00,965.00,980.00,9400
4-Oct-17,1100.00,1150.00,915.00,965.00,207500
3-Oct-17,-,-,-,1195.00,0
2-Oct-17,1195.00,1195.00,1195.00,1195.00,200
29-Sep-17,1130.00,1200.00,1130.00,1195.00,5400
28-Sep-17,1120.00,1120.00,1000.00,1100.00,10700
27-Sep-17,1110.00,1145.00,1100.00,1120.00,33900
26-Sep-17,-,-,-,1340.00,0
25-Sep-17,-,-,-,1340.00,0
22-Sep-17,-,-,-,1340.00,0
20-Sep-17,-,-,-,1340.00,0
19-Sep-17,-,-,-,1340.00,0
18-Sep-17,-,-,-,1340.00,0
15-Sep-17,-,-,-,1340.00,0
14-Sep-17,1280.00,1350.00,1280.00,1340.00,700
13-Sep-17,-,-,-,1230.00,0
12-Sep-17,1230.00,1230.00,1230.00,1230.00,1000
11-Sep-17,-,-,-,1230.00,0
8-Sep-17,-,-,-,1230.00,0
7-Sep-17,-,-,-,1230.00,0
6-Sep-17,-,-,-,1230.00,0
5-Sep-17,1220.00,1230.00,1220.00,1230.00,1766900
4-Sep-17,-,-,-,1240.00,0
31-Aug-17,-,-,-,1240.00,0
30-Aug-17,-,-,-,1240.00,0
29-Aug-17,1240.00,1240.00,1240.00,1240.00,6200
