Date,Open,High,Low,Close,Volume
29-Dec-17,990.00,1000.00,990.00,1000.00,231100
28-Dec-17,940.00,1000.00,940.00,1000.00,191200
27-Dec-17,1000.00,1000.00,940.00,945.00,123900
22-Dec-17,-,-,-,1000.00,0
21-Dec-17,980.00,1000.00,980.00,1000.00,127200
20-Dec-17,950.00,950.00,930.00,950.00,621600
19-Dec-17,960.00,1000.00,950.00,950.00,20800
18-Dec-17,1000.00,1000.00,950.00,995.00,1220300
15-Dec-17,1010.00,1020.00,1010.00,1015.00,203200
14-Dec-17,1010.00,1015.00,1000.00,1015.00,1649200
13-Dec-17,1010.00,1015.00,1010.00,1015.00,475300
12-Dec-17,1010.00,1015.00,1010.00,1010.00,710900
11-Dec-17,995.00,1020.00,995.00,1015.00,634000
8-Dec-17,1010.00,1010.00,1000.00,1000.00,228800
7-Dec-17,1000.00,1015.00,1000.00,1000.00,272400
6-Dec-17,1005.00,1015.00,995.00,1000.00,1741100
5-Dec-17,1000.00,1015.00,995.00,1005.00,666600
4-Dec-17,1000.00,1030.00,1000.00,1000.00,469500
30-Nov-17,965.00,1050.00,965.00,1000.00,3377800
29-Nov-17,960.00,970.00,950.00,965.00,469600
28-Nov-17,930.00,975.00,905.00,945.00,5833100
27-Nov-17,930.00,950.00,910.00,910.00,468600
24-Nov-17,925.00,925.00,900.00,920.00,320300
23-Nov-17,925.00,935.00,915.00,915.00,655300
22-Nov-17,925.00,950.00,925.00,950.00,144800
21-Nov-17,930.00,935.00,900.00,925.00,402500
20-Nov-17,930.00,950.00,925.00,930.00,1834400
17-Nov-17,950.00,960.00,930.00,950.00,25000
16-Nov-17,965.00,965.00,930.00,950.00,1867500
15-Nov-17,950.00,960.00,930.00,960.00,153500
14-Nov-17,955.00,960.00,935.00,950.00,1424400
13-Nov-17,980.00,980.00,945.00,955.00,2417500
10-Nov-17,1010.00,1045.00,980.00,985.00,8485900
9-Nov-17,1055.00,1080.00,1025.00,1055.00,63200
8-Nov-17,1080.00,1080.00,1060.00,1060.00,51100
7-Nov-17,1050.00,1080.00,1035.00,1080.00,1781100
6-Nov-17,1070.00,1070.00,1020.00,1035.00,4415200
3-Nov-17,1085.00,1100.00,1070.00,1075.00,3687100
2-Nov-17,1085.00,1100.00,1080.00,1100.00,236900
1-Nov-17,1115.00,1120.00,1085.00,1095.00,61900
31-Oct-17,1095.00,1115.00,1085.00,1115.00,107900
30-Oct-17,1090.00,1095.00,1085.00,1095.00,111800
27-Oct-17,1120.00,1120.00,1090.00,1090.00,150200
26-Oct-17,1105.00,1120.00,1105.00,1120.00,122200
25-Oct-17,1090.00,1105.00,1090.00,1105.00,53000
24-Oct-17,1080.00,1105.00,1080.00,1105.00,152500
23-Oct-17,1100.00,1100.00,1080.00,1080.00,520800
20-Oct-17,1090.00,1100.00,1080.00,1100.00,1066800
19-Oct-17,1100.00,1105.00,1085.00,1105.00,99100
18-Oct-17,1080.00,1105.00,1065.00,1105.00,2164400
17-Oct-17,1080.00,1085.00,1075.00,1080.00,49900
16-Oct-17,1080.00,1085.00,1075.00,1080.00,1425300
13-Oct-17,1100.00,1100.00,1080.00,1080.00,269100
12-Oct-17,1085.00,1110.00,1085.00,1090.00,176200
11-Oct-17,1100.00,1100.00,1080.00,1095.00,258200
10-Oct-17,1080.00,1110.00,1080.00,1100.00,175200
9-Oct-17,1110.00,1110.00,1080.00,1085.00,859600
