Date,Open,High,Low,Close,Volume
29-Dec-17,785.00,790.00,775.00,775.00,10080100
28-Dec-17,785.00,785.00,775.00,775.00,5949300
27-Dec-17,790.00,795.00,775.00,780.00,11041800
22-Dec-17,800.00,805.00,790.00,790.00,3349300
21-Dec-17,805.00,805.00,795.00,800.00,3431000
20-Dec-17,805.00,810.00,785.00,800.00,9939600
19-Dec-17,800.00,815.00,790.00,800.00,12889100
18-Dec-17,795.00,810.00,785.00,795.00,14696400
15-Dec-17,780.00,785.00,770.00,785.00,7403700
14-Dec-17,765.00,785.00,765.00,775.00,12460700
13-Dec-17,755.00,775.00,750.00,765.00,8961200
12-Dec-17,775.00,775.00,755.00,755.00,5543500
11-Dec-17,795.00,795.00,760.00,765.00,7460400
8-Dec-17,785.00,800.00,785.00,790.00,9646300
7-Dec-17,775.00,795.00,770.00,780.00,7043800
6-Dec-17,780.00,785.00,765.00,775.00,6672600
5-Dec-17,830.00,830.00,775.00,775.00,27274900
4-Dec-17,850.00,855.00,825.00,825.00,9216000
30-Nov-17,855.00,860.00,830.00,850.00,10373000
29-Nov-17,835.00,875.00,830.00,845.00,17249700
28-Nov-17,840.00,850.00,820.00,835.00,8601400
27-Nov-17,860.00,865.00,840.00,840.00,12632200
24-Nov-17,870.00,875.00,855.00,860.00,5226300
23-Nov-17,885.00,890.00,865.00,870.00,6060600
22-Nov-17,880.00,895.00,875.00,880.00,11369400
21-Nov-17,880.00,885.00,875.00,880.00,5830800
20-Nov-17,885.00,895.00,880.00,885.00,4986300
17-Nov-17,890.00,895.00,875.00,880.00,6576500
16-Nov-17,885.00,900.00,880.00,885.00,10947100
15-Nov-17,900.00,910.00,875.00,900.00,29864400
14-Nov-17,915.00,930.00,905.00,910.00,18551900
13-Nov-17,905.00,915.00,900.00,910.00,12314600
10-Nov-17,915.00,915.00,900.00,905.00,13217700
9-Nov-17,940.00,945.00,910.00,910.00,32787900
8-Nov-17,950.00,950.00,925.00,935.00,25389300
7-Nov-17,915.00,950.00,905.00,945.00,60685700
6-Nov-17,910.00,925.00,895.00,905.00,28074300
3-Nov-17,905.00,920.00,885.00,910.00,38338700
2-Nov-17,900.00,920.00,885.00,895.00,76151700
1-Nov-17,830.00,895.00,830.00,895.00,94581800
31-Oct-17,825.00,840.00,815.00,820.00,16414800
30-Oct-17,835.00,840.00,825.00,825.00,14265000
27-Oct-17,850.00,850.00,825.00,835.00,15230700
26-Oct-17,820.00,840.00,820.00,835.00,26964900
25-Oct-17,815.00,825.00,805.00,820.00,15869300
24-Oct-17,810.00,820.00,805.00,810.00,11120000
23-Oct-17,805.00,820.00,800.00,810.00,19366500
20-Oct-17,810.00,830.00,810.00,815.00,12730900
19-Oct-17,820.00,825.00,805.00,810.00,14216100
18-Oct-17,825.00,830.00,810.00,815.00,10861400
17-Oct-17,835.00,840.00,825.00,825.00,10028400
16-Oct-17,845.00,850.00,830.00,830.00,16593200
13-Oct-17,825.00,845.00,825.00,835.00,13187600
12-Oct-17,840.00,850.00,820.00,825.00,19166200
11-Oct-17,850.00,855.00,835.00,840.00,18329200
10-Oct-17,875.00,880.00,850.00,850.00,22126800
9-Oct-17,870.00,880.00,850.00,870.00,22117200
6-Oct-17,865.00,875.00,855.00,870.00,26726400
5-Oct-17,855.00,865.00,840.00,845.00,16719400
4-Oct-17,830.00,855.00,825.00,845.00,30418500
3-Oct-17,810.00,830.00,805.00,825.00,23953200
2-Oct-17,815.00,825.00,805.00,805.00,7969400
29-Sep-17,820.00,830.00,805.00,815.00,16622600
28-Sep-17,810.00,840.00,800.00,815.00,23620800
27-Sep-17,830.00,835.00,795.00,810.00,29329300
26-Sep-17,875.00,875.00,830.00,835.00,25620600
25-Sep-17,885.00,890.00,860.00,865.00,12467800
22-Sep-17,880.00,890.00,870.00,880.00,18597200
20-Sep-17,880.00,905.00,880.00,890.00,14473700
19-Sep-17,890.00,915.00,880.00,880.00,40932300
18-Sep-17,870.00,880.00,860.00,880.00,12202400
15-Sep-17,880.00,895.00,860.00,870.00,12776800
14-Sep-17,885.00,905.00,875.00,880.00,20412300
13-Sep-17,925.00,935.00,860.00,880.00,42226800
12-Sep-17,945.00,955.00,925.00,925.00,28413200
11-Sep-17,910.00,940.00,905.00,940.00,26708300
8-Sep-17,930.00,945.00,925.00,925.00,15969600
7-Sep-17,945.00,960.00,920.00,930.00,30322900
6-Sep-17,940.00,950.00,925.00,940.00,24587100
5-Sep-17,935.00,945.00,895.00,940.00,65133200
4-Sep-17,965.00,980.00,920.00,925.00,40484500
31-Aug-17,990.00,1020.00,955.00,955.00,67153300
30-Aug-17,945.00,990.00,940.00,980.00,91278000
29-Aug-17,910.00,955.00,910.00,940.00,102434300
