Date,Open,High,Low,Close,Volume
29-Dec-17,90.00,91.00,89.00,89.00,5000
28-Dec-17,88.00,95.00,87.00,91.00,39000
27-Dec-17,89.00,90.00,89.00,90.00,3200
22-Dec-17,90.00,90.00,87.00,90.00,21500
21-Dec-17,89.00,90.00,89.00,90.00,2100
20-Dec-17,90.00,90.00,87.00,90.00,127000
19-Dec-17,89.00,92.00,87.00,91.00,60600
18-Dec-17,89.00,90.00,88.00,90.00,51500
15-Dec-17,85.00,92.00,85.00,91.00,30100
14-Dec-17,90.00,90.00,88.00,90.00,161300
13-Dec-17,90.00,91.00,85.00,91.00,186800
12-Dec-17,89.00,91.00,89.00,90.00,1000
11-Dec-17,92.00,92.00,87.00,92.00,41400
8-Dec-17,92.00,92.00,89.00,92.00,11000
7-Dec-17,95.00,95.00,90.00,93.00,21000
6-Dec-17,91.00,92.00,90.00,92.00,2900
5-Dec-17,94.00,96.00,90.00,95.00,364300
4-Dec-17,98.00,98.00,92.00,92.00,100500
30-Nov-17,100.00,100.00,93.00,93.00,141500
29-Nov-17,96.00,96.00,93.00,93.00,142100
28-Nov-17,95.00,96.00,95.00,95.00,308900
27-Nov-17,95.00,96.00,95.00,96.00,72500
24-Nov-17,96.00,97.00,96.00,97.00,34200
23-Nov-17,96.00,97.00,96.00,96.00,155600
22-Nov-17,97.00,97.00,96.00,97.00,25600
21-Nov-17,97.00,97.00,96.00,97.00,1900
20-Nov-17,97.00,97.00,95.00,96.00,202400
17-Nov-17,97.00,97.00,96.00,97.00,481500
16-Nov-17,97.00,98.00,97.00,98.00,135500
15-Nov-17,99.00,99.00,97.00,98.00,315500
14-Nov-17,98.00,99.00,98.00,99.00,131000
13-Nov-17,99.00,99.00,97.00,98.00,357300
10-Nov-17,99.00,99.00,98.00,99.00,159900
9-Nov-17,99.00,101.00,99.00,99.00,39400
8-Nov-17,99.00,100.00,98.00,98.00,148300
7-Nov-17,100.00,101.00,100.00,100.00,74900
6-Nov-17,98.00,100.00,98.00,100.00,212100
3-Nov-17,99.00,100.00,99.00,100.00,93000
2-Nov-17,100.00,100.00,99.00,99.00,487900
1-Nov-17,103.00,104.00,99.00,99.00,2027100
31-Oct-17,105.00,106.00,105.00,106.00,403000
30-Oct-17,105.00,106.00,102.00,105.00,924400
27-Oct-17,104.00,106.00,104.00,105.00,393100
26-Oct-17,104.00,106.00,104.00,106.00,185000
25-Oct-17,106.00,106.00,104.00,106.00,94700
24-Oct-17,105.00,106.00,104.00,106.00,104400
23-Oct-17,103.00,106.00,103.00,106.00,129900
20-Oct-17,105.00,107.00,104.00,106.00,136300
19-Oct-17,104.00,105.00,104.00,105.00,240600
18-Oct-17,102.00,105.00,102.00,105.00,225100
17-Oct-17,103.00,105.00,102.00,105.00,138100
16-Oct-17,104.00,106.00,104.00,105.00,241300
13-Oct-17,102.00,105.00,102.00,105.00,150100
12-Oct-17,102.00,104.00,102.00,104.00,159700
11-Oct-17,103.00,104.00,102.00,102.00,337800
10-Oct-17,105.00,107.00,103.00,103.00,233200
9-Oct-17,105.00,105.00,104.00,104.00,99400
6-Oct-17,106.00,106.00,103.00,105.00,14600
5-Oct-17,104.00,106.00,104.00,106.00,75100
4-Oct-17,107.00,107.00,104.00,104.00,96300
3-Oct-17,104.00,107.00,103.00,107.00,338500
2-Oct-17,106.00,106.00,103.00,105.00,172200
29-Sep-17,104.00,106.00,104.00,106.00,103900
28-Sep-17,103.00,110.00,103.00,105.00,1061200
27-Sep-17,104.00,105.00,102.00,103.00,164400
26-Sep-17,105.00,105.00,103.00,104.00,670800
25-Sep-17,102.00,108.00,102.00,105.00,396500
22-Sep-17,104.00,104.00,102.00,104.00,12400
20-Sep-17,103.00,104.00,103.00,104.00,5800
19-Sep-17,103.00,105.00,103.00,103.00,402800
18-Sep-17,102.00,103.00,102.00,103.00,110800
15-Sep-17,102.00,102.00,101.00,102.00,157700
14-Sep-17,102.00,104.00,101.00,103.00,212600
13-Sep-17,100.00,102.00,100.00,101.00,725700
12-Sep-17,101.00,103.00,100.00,101.00,606500
11-Sep-17,102.00,102.00,101.00,101.00,174000
8-Sep-17,101.00,102.00,100.00,101.00,203300
7-Sep-17,100.00,102.00,99.00,102.00,274600
6-Sep-17,100.00,102.00,100.00,101.00,245500
5-Sep-17,100.00,100.00,99.00,100.00,48100
4-Sep-17,101.00,102.00,98.00,100.00,724500
31-Aug-17,105.00,105.00,101.00,101.00,597000
30-Aug-17,105.00,105.00,102.00,103.00,2086100
29-Aug-17,106.00,108.00,103.00,106.00,561300
28-Aug-17,108.00,110.00,105.00,106.00,109900
25-Aug-17,103.00,107.00,103.00,107.00,258900
24-Aug-17,103.00,105.00,103.00,104.00,483100
23-Aug-17,105.00,108.00,102.00,105.00,879900
22-Aug-17,102.00,109.00,102.00,105.00,585000
21-Aug-17,104.00,104.00,102.00,104.00,297700
18-Aug-17,105.00,107.00,104.00,104.00,297300
16-Aug-17,102.00,104.00,101.00,104.00,863300
15-Aug-17,103.00,104.00,100.00,103.00,291200
14-Aug-17,103.00,105.00,102.00,102.00,203800
11-Aug-17,105.00,105.00,103.00,104.00,197800
10-Aug-17,105.00,106.00,104.00,105.00,170500
9-Aug-17,107.00,107.00,103.00,106.00,293600
8-Aug-17,106.00,107.00,104.00,104.00,204700
7-Aug-17,108.00,108.00,106.00,106.00,728600
4-Aug-17,109.00,109.00,107.00,108.00,189000
3-Aug-17,108.00,111.00,107.00,107.00,548700
2-Aug-17,107.00,109.00,107.00,107.00,312200
1-Aug-17,109.00,110.00,107.00,107.00,865000
31-Jul-17,110.00,112.00,108.00,110.00,689300
28-Jul-17,112.00,112.00,109.00,112.00,686500
27-Jul-17,108.00,112.00,108.00,110.00,837600
26-Jul-17,108.00,113.00,108.00,109.00,582600
25-Jul-17,110.00,111.00,109.00,110.00,214200
24-Jul-17,111.00,111.00,109.00,110.00,145200
21-Jul-17,113.00,114.00,111.00,111.00,353900
20-Jul-17,111.00,112.00,111.00,112.00,156900
19-Jul-17,111.00,114.00,109.00,110.00,338600
18-Jul-17,110.00,111.00,109.00,110.00,231300
17-Jul-17,114.00,115.00,110.00,110.00,1294200
14-Jul-17,116.00,125.00,114.00,114.00,2587000
13-Jul-17,109.00,119.00,109.00,116.00,7338900
12-Jul-17,111.00,113.00,109.00,109.00,873500
11-Jul-17,111.00,115.00,109.00,110.00,854600
10-Jul-17,110.00,115.00,106.00,111.00,711100
7-Jul-17,108.00,110.00,107.00,108.00,521100
6-Jul-17,109.00,109.00,108.00,108.00,529900
5-Jul-17,111.00,111.00,108.00,109.00,725400
4-Jul-17,112.00,112.00,110.00,111.00,67800
3-Jul-17,110.00,113.00,110.00,111.00,252300
22-Jun-17,111.00,114.00,110.00,110.00,1135000
21-Jun-17,113.00,115.00,110.00,111.00,471400
20-Jun-17,115.00,117.00,112.00,113.00,2263200
19-Jun-17,116.00,116.00,112.00,113.00,895700
16-Jun-17,115.00,116.00,112.00,114.00,814000
15-Jun-17,115.00,117.00,114.00,115.00,855700
14-Jun-17,117.00,118.00,115.00,115.00,575200
13-Jun-17,116.00,119.00,115.00,117.00,2000200
12-Jun-17,118.00,122.00,115.00,116.00,2923800
9-Jun-17,118.00,120.00,115.00,115.00,1752900
8-Jun-17,115.00,120.00,115.00,116.00,2283400
7-Jun-17,119.00,119.00,116.00,117.00,265100
6-Jun-17,117.00,119.00,116.00,117.00,530900
5-Jun-17,122.00,122.00,117.00,117.00,1405700
2-Jun-17,117.00,124.00,117.00,118.00,1549600
31-May-17,118.00,125.00,117.00,117.00,2740200
30-May-17,119.00,120.00,115.00,116.00,1069100
29-May-17,118.00,119.00,115.00,116.00,816100
26-May-17,118.00,121.00,115.00,117.00,2126900
24-May-17,124.00,124.00,117.00,118.00,876100
23-May-17,128.00,129.00,119.00,123.00,2575400
22-May-17,126.00,138.00,125.00,127.00,7142600
19-May-17,112.00,127.00,110.00,125.00,8475300
18-May-17,109.00,116.00,109.00,111.00,2738900
17-May-17,108.00,116.00,108.00,110.00,2171600
16-May-17,118.00,122.00,108.00,109.00,2863700
15-May-17,123.00,129.00,117.00,118.00,3524200
12-May-17,129.00,129.00,114.00,120.00,4134000
10-May-17,146.00,159.00,129.00,129.00,18970100
9-May-17,133.00,161.00,131.00,146.00,50734900
8-May-17,108.00,129.00,107.00,129.00,12668400
5-May-17,106.00,110.00,103.00,105.00,1353300
4-May-17,115.00,115.00,105.00,106.00,2140700
3-May-17,116.00,121.00,112.00,113.00,3749500
2-May-17,125.00,126.00,113.00,116.00,5654300
28-Apr-17,130.00,134.00,123.00,124.00,8535400
27-Apr-17,150.00,150.00,129.00,129.00,15706500
26-Apr-17,150.00,160.00,146.00,147.00,3486300
25-Apr-17,160.00,162.00,148.00,148.00,2108200
21-Apr-17,160.00,175.00,156.00,160.00,2655100
20-Apr-17,177.00,178.00,158.00,160.00,1684200
18-Apr-17,182.00,187.00,176.00,177.00,693800
17-Apr-17,190.00,196.00,181.00,183.00,868100
13-Apr-17,194.00,194.00,184.00,189.00,469600
12-Apr-17,190.00,197.00,185.00,188.00,1970400
11-Apr-17,200.00,206.00,187.00,189.00,4861100
10-Apr-17,204.00,210.00,194.00,200.00,2266500
7-Apr-17,195.00,214.00,184.00,196.00,3772600
6-Apr-17,214.00,226.00,195.00,195.00,3926800
5-Apr-17,230.00,246.00,214.00,214.00,3992000
4-Apr-17,250.00,250.00,228.00,230.00,3320800
3-Apr-17,302.00,302.00,236.00,248.00,18075700
31-Mar-17,260.00,310.00,260.00,300.00,7110100
30-Mar-17,312.00,312.00,270.00,270.00,3977700
29-Mar-17,320.00,360.00,298.00,304.00,10518100
27-Mar-17,240.00,296.00,238.00,296.00,7670300
24-Mar-17,224.00,246.00,224.00,238.00,1861200
23-Mar-17,212.00,222.00,202.00,222.00,454100
22-Mar-17,228.00,228.00,196.00,210.00,1165400
21-Mar-17,220.00,258.00,216.00,224.00,5880300
20-Mar-17,159.00,212.00,158.00,212.00,6551100
17-Mar-17,144.00,175.00,144.00,158.00,3395300
16-Mar-17,149.00,149.00,141.00,145.00,358900
15-Mar-17,150.00,150.00,145.00,146.00,20200
14-Mar-17,150.00,150.00,138.00,146.00,59300
13-Mar-17,148.00,148.00,140.00,145.00,53200
10-Mar-17,150.00,150.00,141.00,145.00,9600
9-Mar-17,145.00,145.00,140.00,145.00,1031700
8-Mar-17,140.00,145.00,140.00,145.00,500
7-Mar-17,145.00,145.00,141.00,145.00,100200
6-Mar-17,150.00,150.00,138.00,145.00,107200
3-Mar-17,152.00,152.00,141.00,145.00,228500
2-Mar-17,148.00,152.00,142.00,143.00,557200
1-Mar-17,148.00,154.00,141.00,142.00,208100
28-Feb-17,153.00,153.00,144.00,150.00,6700
27-Feb-17,155.00,155.00,146.00,146.00,285300
24-Feb-17,149.00,154.00,145.00,148.00,495900
23-Feb-17,138.00,150.00,138.00,148.00,1205200
22-Feb-17,138.00,138.00,138.00,138.00,7100
21-Feb-17,139.00,139.00,137.00,138.00,2900
20-Feb-17,138.00,142.00,136.00,140.00,102100
17-Feb-17,132.00,136.00,132.00,136.00,81000
16-Feb-17,138.00,138.00,130.00,133.00,259800
14-Feb-17,132.00,146.00,128.00,137.00,990200
13-Feb-17,138.00,138.00,132.00,132.00,173400
10-Feb-17,129.00,140.00,126.00,137.00,1131400
9-Feb-17,125.00,129.00,125.00,129.00,211400
8-Feb-17,124.00,127.00,124.00,125.00,7500
7-Feb-17,125.00,125.00,124.00,124.00,107700
6-Feb-17,121.00,121.00,119.00,120.00,35400
3-Feb-17,124.00,124.00,120.00,120.00,104100
2-Feb-17,130.00,130.00,120.00,122.00,26300
1-Feb-17,120.00,120.00,114.00,114.00,33200
31-Jan-17,122.00,122.00,115.00,119.00,370400
30-Jan-17,119.00,119.00,112.00,116.00,8300
27-Jan-17,127.00,127.00,115.00,119.00,85700
26-Jan-17,119.00,119.00,115.00,119.00,36400
25-Jan-17,120.00,124.00,120.00,124.00,16800
24-Jan-17,124.00,125.00,121.00,125.00,70800
23-Jan-17,124.00,124.00,123.00,123.00,300
20-Jan-17,127.00,127.00,121.00,121.00,39000
19-Jan-17,118.00,127.00,118.00,126.00,3000
18-Jan-17,120.00,127.00,118.00,127.00,41300
17-Jan-17,127.00,127.00,127.00,127.00,100
16-Jan-17,120.00,125.00,120.00,125.00,29000
13-Jan-17,118.00,127.00,118.00,127.00,49800
12-Jan-17,125.00,128.00,120.00,128.00,14700
11-Jan-17,123.00,123.00,123.00,123.00,9300
10-Jan-17,127.00,127.00,127.00,127.00,100
9-Jan-17,124.00,126.00,120.00,126.00,51400
6-Jan-17,116.00,124.00,115.00,123.00,190400
5-Jan-17,117.00,130.00,115.00,124.00,22500
4-Jan-17,121.00,121.00,117.00,117.00,18300
3-Jan-17,124.00,124.00,118.00,123.00,30300
30-Dec-16,127.00,127.00,119.00,125.00,30700
29-Dec-16,127.00,127.00,127.00,127.00,100
28-Dec-16,125.00,130.00,125.00,128.00,1500
27-Dec-16,124.00,125.00,124.00,124.00,25100
23-Dec-16,127.00,127.00,116.00,126.00,34400
22-Dec-16,127.00,127.00,119.00,127.00,54200
21-Dec-16,126.00,127.00,120.00,127.00,22900
20-Dec-16,120.00,125.00,120.00,125.00,2600
19-Dec-16,124.00,124.00,124.00,124.00,1000
16-Dec-16,120.00,123.00,119.00,123.00,36400
15-Dec-16,120.00,124.00,120.00,124.00,11100
14-Dec-16,120.00,126.00,119.00,122.00,221200
13-Dec-16,127.00,127.00,125.00,126.00,2100
9-Dec-16,124.00,124.00,124.00,124.00,16200
8-Dec-16,124.00,125.00,124.00,125.00,51100
7-Dec-16,123.00,125.00,122.00,125.00,115300
6-Dec-16,126.00,126.00,122.00,124.00,51400
5-Dec-16,123.00,126.00,123.00,126.00,8200
2-Dec-16,-,-,-,130.00,0
1-Dec-16,-,-,-,130.00,0
30-Nov-16,126.00,130.00,126.00,130.00,150800
29-Nov-16,125.00,126.00,124.00,126.00,4100
28-Nov-16,-,-,-,130.00,0
25-Nov-16,134.00,134.00,122.00,130.00,31600
24-Nov-16,132.00,133.00,125.00,129.00,154600
23-Nov-16,132.00,132.00,125.00,131.00,107900
22-Nov-16,131.00,135.00,128.00,132.00,184400
