Date,Open,High,Low,Close,Volume
29-Dec-17,4390.00,4460.00,4390.00,4440.00,110053200
28-Dec-17,4300.00,4390.00,4270.00,4390.00,88576700
27-Dec-17,4270.00,4310.00,4270.00,4300.00,32211800
22-Dec-17,4250.00,4300.00,4210.00,4300.00,50330400
21-Dec-17,4190.00,4250.00,4170.00,4250.00,83893400
20-Dec-17,4190.00,4200.00,4160.00,4160.00,87778400
19-Dec-17,4200.00,4200.00,4170.00,4190.00,85383600
18-Dec-17,4250.00,4250.00,4170.00,4240.00,47756500
15-Dec-17,4200.00,4240.00,4180.00,4230.00,77110600
14-Dec-17,4220.00,4250.00,4200.00,4250.00,61517800
13-Dec-17,4150.00,4200.00,4150.00,4200.00,49020200
12-Dec-17,4150.00,4190.00,4150.00,4170.00,63036000
11-Dec-17,4110.00,4150.00,4110.00,4140.00,47625800
8-Dec-17,4150.00,4200.00,4120.00,4140.00,88536500
7-Dec-17,4200.00,4210.00,4160.00,4200.00,52703100
6-Dec-17,4160.00,4210.00,4160.00,4200.00,92126500
5-Dec-17,4210.00,4220.00,4180.00,4200.00,96504800
4-Dec-17,4180.00,4230.00,4160.00,4200.00,78040500
30-Nov-17,4200.00,4220.00,4150.00,4150.00,185905200
29-Nov-17,4220.00,4240.00,4180.00,4200.00,79872900
28-Nov-17,4270.00,4290.00,4230.00,4240.00,99928100
27-Nov-17,4320.00,4350.00,4280.00,4300.00,82769500
24-Nov-17,4220.00,4320.00,4220.00,4320.00,87879900
23-Nov-17,4200.00,4270.00,4200.00,4250.00,62887900
22-Nov-17,4220.00,4220.00,4190.00,4200.00,69602300
21-Nov-17,4170.00,4200.00,4150.00,4200.00,96842900
20-Nov-17,4220.00,4220.00,4150.00,4150.00,48453900
17-Nov-17,4200.00,4230.00,4200.00,4200.00,80261800
16-Nov-17,4150.00,4230.00,4150.00,4200.00,134137000
15-Nov-17,4090.00,4180.00,4080.00,4130.00,96128400
14-Nov-17,4100.00,4110.00,4070.00,4080.00,64809800
13-Nov-17,4130.00,4160.00,4100.00,4100.00,92109100
10-Nov-17,4130.00,4160.00,4120.00,4120.00,56993800
9-Nov-17,4100.00,4180.00,4100.00,4160.00,91933800
8-Nov-17,4160.00,4160.00,4100.00,4100.00,145225500
7-Nov-17,4180.00,4210.00,4160.00,4190.00,84694700
6-Nov-17,4100.00,4210.00,4070.00,4190.00,177511800
3-Nov-17,4050.00,4100.00,4010.00,4090.00,80926400
2-Nov-17,3980.00,4110.00,3970.00,4030.00,154764900
1-Nov-17,4070.00,4080.00,3910.00,3950.00,267366500
31-Oct-17,4150.00,4150.00,4030.00,4030.00,111757900
30-Oct-17,4150.00,4180.00,4080.00,4080.00,140445100
27-Oct-17,4190.00,4200.00,4080.00,4150.00,122923500
26-Oct-17,4010.00,4260.00,4010.00,4160.00,348271000
25-Oct-17,4210.00,4230.00,4060.00,4090.00,308355300
24-Oct-17,4270.00,4270.00,4230.00,4230.00,69942200
23-Oct-17,4270.00,4320.00,4240.00,4250.00,118213500
20-Oct-17,4250.00,4290.00,4200.00,4270.00,107642900
19-Oct-17,4230.00,4250.00,4180.00,4210.00,231274800
18-Oct-17,4400.00,4400.00,4190.00,4300.00,379725700
17-Oct-17,4400.00,4410.00,4320.00,4400.00,286827400
16-Oct-17,4380.00,4480.00,4380.00,4450.00,167517000
12-Oct-17,4380.00,4490.00,4370.00,4440.00,163091000
11-Oct-17,4540.00,4550.00,4310.00,4400.00,365951800
10-Oct-17,4650.00,4650.00,4510.00,4530.00,95524700
9-Oct-17,4640.00,4660.00,4610.00,4620.00,65271000
6-Oct-17,4680.00,4680.00,4630.00,4660.00,83595800
5-Oct-17,4680.00,4690.00,4640.00,4660.00,164687600
4-Oct-17,4660.00,4710.00,4660.00,4690.00,101963100
3-Oct-17,4650.00,4700.00,4640.00,4690.00,113933700
2-Oct-17,4690.00,4690.00,4660.00,4680.00,79696400
29-Sep-17,4700.00,4750.00,4670.00,4680.00,202031900
28-Sep-17,4720.00,4740.00,4710.00,4710.00,105241200
27-Sep-17,4690.00,4710.00,4680.00,4700.00,60995800
26-Sep-17,4640.00,4710.00,4640.00,4690.00,83557100
25-Sep-17,4620.00,4670.00,4610.00,4650.00,33070000
22-Sep-17,4690.00,4690.00,4610.00,4640.00,100046700
20-Sep-17,4690.00,4710.00,4680.00,4690.00,58141200
19-Sep-17,4690.00,4720.00,4680.00,4710.00,54676900
18-Sep-17,4680.00,4720.00,4660.00,4710.00,61345400
15-Sep-17,4650.00,4700.00,4650.00,4690.00,112759200
14-Sep-17,4690.00,4700.00,4660.00,4670.00,53421400
