Date,Open,High,Low,Close,Volume
29-Dec-17,1990.00,2070.00,1990.00,2070.00,1100
28-Dec-17,-,-,-,2080.00,0
27-Dec-17,2070.00,2080.00,2070.00,2080.00,13100
22-Dec-17,2070.00,2070.00,2070.00,2070.00,3000
21-Dec-17,2010.00,2010.00,2010.00,2010.00,100
20-Dec-17,2090.00,2090.00,1990.00,2010.00,6600
19-Dec-17,1990.00,2090.00,1990.00,2090.00,30400
18-Dec-17,2000.00,2090.00,1950.00,2090.00,10100
15-Dec-17,-,-,-,2100.00,0
14-Dec-17,2100.00,2100.00,2100.00,2100.00,40000
13-Dec-17,1990.00,1990.00,1950.00,1990.00,12800
12-Dec-17,1900.00,1990.00,1900.00,1990.00,800
11-Dec-17,1900.00,1990.00,1900.00,1990.00,1700
8-Dec-17,-,-,-,1990.00,0
7-Dec-17,1995.00,1995.00,1990.00,1990.00,2200
6-Dec-17,1990.00,1990.00,1990.00,1990.00,13000
5-Dec-17,1980.00,1990.00,1980.00,1990.00,1500
4-Dec-17,1990.00,1990.00,1990.00,1990.00,7000
30-Nov-17,1970.00,1970.00,1970.00,1970.00,10000
29-Nov-17,1900.00,1980.00,1900.00,1980.00,41800
28-Nov-17,1950.00,2000.00,1950.00,2000.00,25200
27-Nov-17,1950.00,1975.00,1950.00,1975.00,25000
24-Nov-17,-,-,-,2000.00,0
23-Nov-17,2000.00,2000.00,2000.00,2000.00,2000
22-Nov-17,1980.00,1980.00,1980.00,1980.00,10000
21-Nov-17,-,-,-,1980.00,0
20-Nov-17,1980.00,1980.00,1980.00,1980.00,1000
17-Nov-17,1980.00,1980.00,1980.00,1980.00,1000
16-Nov-17,1920.00,1980.00,1920.00,1980.00,2200
15-Nov-17,1920.00,1920.00,1920.00,1920.00,20000
14-Nov-17,1900.00,1900.00,1900.00,1900.00,2000
13-Nov-17,-,-,-,1900.00,0
10-Nov-17,-,-,-,1900.00,0
9-Nov-17,-,-,-,1900.00,0
8-Nov-17,1900.00,1900.00,1900.00,1900.00,2000
7-Nov-17,1900.00,1900.00,1900.00,1900.00,200
6-Nov-17,-,-,-,1900.00,0
3-Nov-17,-,-,-,1900.00,0
2-Nov-17,1900.00,1900.00,1900.00,1900.00,11200
1-Nov-17,1890.00,1895.00,1890.00,1895.00,33600
31-Oct-17,1895.00,1895.00,1895.00,1895.00,1000
30-Oct-17,-,-,-,1900.00,0
27-Oct-17,1850.00,1900.00,1850.00,1900.00,4200
26-Oct-17,1870.00,1870.00,1870.00,1870.00,5000
25-Oct-17,1880.00,1880.00,1880.00,1880.00,60000
24-Oct-17,1880.00,1880.00,1880.00,1880.00,1600
23-Oct-17,-,-,-,1900.00,0
20-Oct-17,1900.00,1900.00,1900.00,1900.00,1700
19-Oct-17,-,-,-,1900.00,0
18-Oct-17,1900.00,1900.00,1900.00,1900.00,600
17-Oct-17,1900.00,1900.00,1900.00,1900.00,9200
16-Oct-17,1900.00,1900.00,1850.00,1900.00,13600
12-Oct-17,1880.00,1900.00,1880.00,1900.00,9500
11-Oct-17,-,-,-,1890.00,0
10-Oct-17,1890.00,1890.00,1890.00,1890.00,11300
9-Oct-17,-,-,-,1900.00,0
6-Oct-17,1890.00,1900.00,1890.00,1900.00,15600
5-Oct-17,1900.00,1900.00,1900.00,1900.00,10000
4-Oct-17,1870.00,1870.00,1870.00,1870.00,400
3-Oct-17,1600.00,1870.00,1600.00,1870.00,49200
2-Oct-17,1870.00,1870.00,1865.00,1870.00,3500
29-Sep-17,1870.00,1870.00,1870.00,1870.00,8600
28-Sep-17,1840.00,1840.00,1840.00,1840.00,2800
27-Sep-17,1880.00,1880.00,1845.00,1845.00,1500
26-Sep-17,1800.00,1880.00,1800.00,1880.00,1200
25-Sep-17,-,-,-,1800.00,0
22-Sep-17,1770.00,1800.00,1760.00,1800.00,32400
20-Sep-17,1730.00,1770.00,1730.00,1770.00,17300
19-Sep-17,1700.00,1740.00,1700.00,1740.00,49900
18-Sep-17,1700.00,1700.00,1695.00,1695.00,1200
15-Sep-17,1665.00,1700.00,1650.00,1700.00,24600
14-Sep-17,1680.00,1700.00,1670.00,1670.00,4400
13-Sep-17,1775.00,1780.00,1660.00,1675.00,89400
12-Sep-17,1805.00,1805.00,1700.00,1780.00,73800
11-Sep-17,1650.00,1805.00,1650.00,1805.00,17800
8-Sep-17,1800.00,1800.00,1800.00,1800.00,5500
7-Sep-17,1800.00,1800.00,1800.00,1800.00,1000
6-Sep-17,1750.00,1750.00,1750.00,1750.00,2000
5-Sep-17,1670.00,1670.00,1670.00,1670.00,10000
4-Sep-17,1660.00,1670.00,1660.00,1670.00,14200
31-Aug-17,1670.00,1670.00,1670.00,1670.00,4600
30-Aug-17,1670.00,1670.00,1670.00,1670.00,100
29-Aug-17,1560.00,1670.00,1560.00,1670.00,1200
28-Aug-17,1640.00,1650.00,1640.00,1650.00,3500
25-Aug-17,1650.00,1650.00,1650.00,1650.00,300
24-Aug-17,1650.00,1650.00,1650.00,1650.00,400
23-Aug-17,1630.00,1650.00,1630.00,1650.00,27000
22-Aug-17,1600.00,1630.00,1600.00,1630.00,39400
21-Aug-17,-,-,-,1640.00,0
18-Aug-17,1640.00,1640.00,1640.00,1640.00,600
16-Aug-17,1600.00,1640.00,1600.00,1640.00,900
15-Aug-17,1580.00,1640.00,1580.00,1640.00,30700
14-Aug-17,1545.00,1630.00,1540.00,1630.00,32300
11-Aug-17,1640.00,1640.00,1640.00,1640.00,2000
