Date,Open,High,Low,Close,Volume
29-Dec-17,655.00,670.00,650.00,660.00,296200
28-Dec-17,670.00,670.00,650.00,655.00,1884500
27-Dec-17,660.00,680.00,660.00,665.00,130500
22-Dec-17,665.00,675.00,660.00,660.00,192500
21-Dec-17,675.00,685.00,655.00,665.00,688900
20-Dec-17,665.00,685.00,665.00,675.00,654700
19-Dec-17,660.00,670.00,660.00,665.00,90900
18-Dec-17,665.00,670.00,655.00,660.00,259200
15-Dec-17,660.00,665.00,655.00,660.00,297400
14-Dec-17,660.00,665.00,655.00,660.00,662500
13-Dec-17,665.00,665.00,655.00,660.00,487000
12-Dec-17,660.00,660.00,655.00,660.00,288200
11-Dec-17,665.00,670.00,650.00,660.00,1475300
8-Dec-17,670.00,670.00,660.00,665.00,82200
7-Dec-17,660.00,680.00,660.00,670.00,104900
6-Dec-17,665.00,670.00,650.00,660.00,1052300
5-Dec-17,665.00,670.00,655.00,660.00,1395300
4-Dec-17,665.00,665.00,655.00,665.00,577600
30-Nov-17,670.00,670.00,660.00,665.00,644800
29-Nov-17,665.00,670.00,660.00,665.00,242900
28-Nov-17,670.00,675.00,665.00,665.00,498000
27-Nov-17,670.00,680.00,670.00,670.00,420500
24-Nov-17,685.00,690.00,675.00,675.00,711800
23-Nov-17,700.00,700.00,680.00,685.00,219100
22-Nov-17,705.00,705.00,690.00,690.00,253900
21-Nov-17,700.00,705.00,690.00,700.00,1307500
20-Nov-17,705.00,705.00,695.00,700.00,9477100
17-Nov-17,710.00,710.00,695.00,700.00,2869900
16-Nov-17,705.00,715.00,700.00,710.00,125800
15-Nov-17,710.00,715.00,700.00,715.00,296500
14-Nov-17,730.00,740.00,700.00,710.00,271600
13-Nov-17,720.00,720.00,705.00,715.00,224500
10-Nov-17,715.00,720.00,695.00,720.00,200600
9-Nov-17,720.00,720.00,695.00,705.00,554700
8-Nov-17,705.00,715.00,705.00,710.00,133400
7-Nov-17,720.00,735.00,705.00,705.00,2817800
6-Nov-17,720.00,735.00,720.00,720.00,115000
3-Nov-17,725.00,725.00,710.00,720.00,903800
2-Nov-17,740.00,745.00,715.00,720.00,219100
1-Nov-17,720.00,740.00,720.00,740.00,467000
31-Oct-17,705.00,735.00,705.00,720.00,1359800
30-Oct-17,695.00,710.00,690.00,705.00,1919600
27-Oct-17,690.00,710.00,685.00,695.00,890300
26-Oct-17,690.00,700.00,690.00,690.00,280000
25-Oct-17,690.00,710.00,680.00,690.00,974800
24-Oct-17,705.00,705.00,680.00,690.00,1912600
23-Oct-17,660.00,715.00,660.00,705.00,11081100
20-Oct-17,675.00,680.00,655.00,655.00,16592000
19-Oct-17,675.00,675.00,650.00,670.00,5377200
18-Oct-17,680.00,685.00,670.00,675.00,632300
17-Oct-17,685.00,690.00,680.00,680.00,1631100
16-Oct-17,710.00,710.00,675.00,680.00,1938400
13-Oct-17,685.00,705.00,685.00,700.00,5627300
12-Oct-17,725.00,725.00,680.00,685.00,510600
11-Oct-17,705.00,705.00,675.00,695.00,772400
10-Oct-17,715.00,715.00,695.00,695.00,817500
9-Oct-17,725.00,725.00,710.00,715.00,683800
6-Oct-17,720.00,730.00,720.00,725.00,83300
5-Oct-17,730.00,730.00,715.00,720.00,339400
4-Oct-17,725.00,730.00,725.00,730.00,31800
3-Oct-17,740.00,740.00,720.00,725.00,2756200
2-Oct-17,750.00,750.00,740.00,740.00,1446200
29-Sep-17,750.00,750.00,740.00,750.00,1408300
28-Sep-17,730.00,735.00,730.00,730.00,1580400
27-Sep-17,740.00,740.00,700.00,735.00,932600
26-Sep-17,755.00,755.00,740.00,740.00,190800
25-Sep-17,740.00,750.00,740.00,750.00,1595400
22-Sep-17,740.00,740.00,740.00,740.00,44200
20-Sep-17,740.00,740.00,735.00,740.00,145500
19-Sep-17,740.00,740.00,730.00,740.00,943800
18-Sep-17,730.00,740.00,725.00,740.00,501400
15-Sep-17,720.00,740.00,715.00,740.00,353000
14-Sep-17,740.00,740.00,720.00,725.00,399500
13-Sep-17,750.00,750.00,720.00,740.00,280000
12-Sep-17,740.00,740.00,725.00,730.00,172700
11-Sep-17,730.00,740.00,715.00,740.00,591000
8-Sep-17,735.00,735.00,725.00,730.00,315200
7-Sep-17,740.00,740.00,735.00,735.00,148700
6-Sep-17,755.00,755.00,730.00,735.00,329000
5-Sep-17,755.00,755.00,740.00,755.00,201000
4-Sep-17,760.00,765.00,740.00,755.00,316700
31-Aug-17,760.00,760.00,745.00,760.00,759300
30-Aug-17,745.00,760.00,740.00,760.00,344400
29-Aug-17,755.00,755.00,740.00,750.00,220700
28-Aug-17,765.00,765.00,755.00,755.00,301600
25-Aug-17,760.00,760.00,755.00,760.00,291700
24-Aug-17,760.00,765.00,755.00,760.00,1710900
23-Aug-17,765.00,775.00,755.00,760.00,423200
22-Aug-17,750.00,765.00,745.00,760.00,2389200
21-Aug-17,745.00,750.00,745.00,750.00,1097500
18-Aug-17,745.00,750.00,745.00,745.00,638700
16-Aug-17,745.00,750.00,740.00,745.00,262800
15-Aug-17,755.00,755.00,745.00,745.00,288900
14-Aug-17,755.00,755.00,735.00,755.00,674500
11-Aug-17,765.00,765.00,750.00,755.00,261600
10-Aug-17,760.00,765.00,760.00,765.00,893400
9-Aug-17,760.00,770.00,760.00,760.00,1718300
8-Aug-17,760.00,770.00,760.00,760.00,557100
7-Aug-17,770.00,770.00,755.00,760.00,3002000
4-Aug-17,735.00,770.00,735.00,765.00,3139700
3-Aug-17,730.00,730.00,720.00,725.00,3751300
2-Aug-17,725.00,730.00,715.00,725.00,2400600
1-Aug-17,710.00,720.00,710.00,710.00,8398600
31-Jul-17,705.00,720.00,700.00,710.00,1912700
28-Jul-17,710.00,710.00,695.00,705.00,1010200
27-Jul-17,710.00,710.00,700.00,710.00,1003300
26-Jul-17,720.00,720.00,710.00,710.00,494100
25-Jul-17,725.00,725.00,710.00,720.00,949900
24-Jul-17,725.00,730.00,715.00,725.00,466900
21-Jul-17,730.00,730.00,720.00,725.00,1003400
20-Jul-17,730.00,735.00,725.00,735.00,349800
19-Jul-17,740.00,740.00,725.00,735.00,139700
18-Jul-17,735.00,745.00,725.00,745.00,565300
17-Jul-17,745.00,745.00,725.00,740.00,435200
14-Jul-17,740.00,745.00,720.00,745.00,194100
13-Jul-17,750.00,750.00,735.00,735.00,180500
12-Jul-17,730.00,750.00,730.00,750.00,202500
11-Jul-17,720.00,735.00,715.00,735.00,348500
10-Jul-17,730.00,730.00,720.00,720.00,222800
7-Jul-17,735.00,740.00,730.00,730.00,36900
6-Jul-17,740.00,745.00,735.00,735.00,944300
5-Jul-17,735.00,745.00,735.00,740.00,1305000
4-Jul-17,745.00,750.00,735.00,740.00,322600
3-Jul-17,740.00,745.00,730.00,745.00,361900
22-Jun-17,740.00,750.00,735.00,740.00,226600
21-Jun-17,750.00,750.00,740.00,740.00,383900
20-Jun-17,755.00,760.00,745.00,750.00,255200
19-Jun-17,755.00,760.00,750.00,755.00,1361800
16-Jun-17,750.00,760.00,745.00,755.00,884500
15-Jun-17,740.00,750.00,740.00,750.00,878400
14-Jun-17,745.00,750.00,740.00,740.00,94100
13-Jun-17,735.00,740.00,735.00,740.00,1313500
12-Jun-17,730.00,740.00,730.00,735.00,3047800
9-Jun-17,730.00,735.00,730.00,730.00,225100
8-Jun-17,735.00,750.00,730.00,730.00,1191600
7-Jun-17,740.00,745.00,735.00,735.00,645500
6-Jun-17,750.00,755.00,735.00,740.00,2225500
5-Jun-17,760.00,765.00,740.00,745.00,2268500
2-Jun-17,760.00,765.00,750.00,755.00,3540500
31-May-17,765.00,770.00,755.00,755.00,54100
30-May-17,755.00,765.00,755.00,760.00,1606200
29-May-17,770.00,775.00,750.00,750.00,4695000
26-May-17,775.00,775.00,765.00,770.00,665600
24-May-17,755.00,780.00,750.00,775.00,2104700
23-May-17,760.00,760.00,735.00,750.00,6053000
22-May-17,765.00,770.00,750.00,755.00,3772200
19-May-17,745.00,760.00,745.00,760.00,2985600
18-May-17,760.00,760.00,740.00,745.00,1458000
17-May-17,760.00,760.00,740.00,750.00,4013200
16-May-17,790.00,790.00,760.00,760.00,7625600
15-May-17,825.00,825.00,810.00,810.00,7087500
12-May-17,810.00,835.00,810.00,820.00,6400600
10-May-17,810.00,815.00,800.00,810.00,5379400
9-May-17,805.00,810.00,800.00,805.00,4910200
8-May-17,810.00,815.00,800.00,805.00,5519200
5-May-17,800.00,815.00,800.00,800.00,1025600
4-May-17,805.00,805.00,795.00,800.00,1457900
3-May-17,805.00,805.00,795.00,800.00,1019000
2-May-17,795.00,805.00,790.00,800.00,1358400
28-Apr-17,800.00,800.00,790.00,790.00,3194100
27-Apr-17,800.00,810.00,790.00,790.00,340400
26-Apr-17,800.00,805.00,795.00,800.00,215200
25-Apr-17,815.00,815.00,795.00,795.00,561400
21-Apr-17,805.00,820.00,795.00,815.00,492300
20-Apr-17,810.00,810.00,795.00,795.00,284600
18-Apr-17,805.00,810.00,800.00,810.00,2158400
17-Apr-17,815.00,815.00,800.00,800.00,446300
13-Apr-17,810.00,820.00,800.00,815.00,1466500
12-Apr-17,780.00,815.00,775.00,810.00,11429500
11-Apr-17,790.00,800.00,780.00,780.00,3524700
10-Apr-17,780.00,795.00,770.00,795.00,1624900
7-Apr-17,800.00,800.00,770.00,775.00,6917700
6-Apr-17,810.00,820.00,800.00,800.00,415800
5-Apr-17,820.00,820.00,805.00,810.00,2088100
4-Apr-17,815.00,815.00,805.00,815.00,3233000
3-Apr-17,810.00,815.00,800.00,815.00,408000
31-Mar-17,790.00,810.00,790.00,810.00,192000
30-Mar-17,800.00,800.00,790.00,790.00,326200
29-Mar-17,805.00,815.00,800.00,800.00,1034100
27-Mar-17,800.00,810.00,795.00,800.00,210500
24-Mar-17,810.00,810.00,800.00,800.00,668300
23-Mar-17,810.00,820.00,800.00,800.00,1679500
22-Mar-17,810.00,815.00,800.00,805.00,2228300
21-Mar-17,805.00,815.00,795.00,800.00,2307400
20-Mar-17,820.00,820.00,795.00,800.00,1312100
17-Mar-17,815.00,815.00,805.00,815.00,992300
16-Mar-17,810.00,815.00,805.00,810.00,2654700
15-Mar-17,805.00,820.00,805.00,810.00,1295100
14-Mar-17,810.00,815.00,805.00,810.00,644500
13-Mar-17,815.00,820.00,815.00,815.00,33800
10-Mar-17,820.00,825.00,805.00,815.00,2013200
9-Mar-17,810.00,830.00,810.00,820.00,1524000
8-Mar-17,820.00,820.00,810.00,810.00,373900
7-Mar-17,820.00,830.00,820.00,820.00,728100
6-Mar-17,820.00,830.00,810.00,820.00,173900
3-Mar-17,820.00,825.00,820.00,820.00,1017000
2-Mar-17,820.00,840.00,815.00,820.00,1149900
1-Mar-17,825.00,825.00,820.00,820.00,390200
28-Feb-17,825.00,830.00,815.00,825.00,363600
27-Feb-17,820.00,825.00,815.00,825.00,803000
24-Feb-17,820.00,820.00,810.00,820.00,923100
23-Feb-17,815.00,820.00,810.00,810.00,1252600
22-Feb-17,805.00,810.00,805.00,805.00,2075800
21-Feb-17,815.00,820.00,800.00,810.00,2159500
20-Feb-17,835.00,835.00,810.00,815.00,798600
17-Feb-17,840.00,850.00,825.00,835.00,1027900
16-Feb-17,820.00,850.00,820.00,845.00,1941400
14-Feb-17,825.00,840.00,815.00,830.00,2781700
13-Feb-17,810.00,820.00,800.00,820.00,1646100
10-Feb-17,795.00,815.00,795.00,805.00,992000
9-Feb-17,795.00,810.00,795.00,795.00,1350500
8-Feb-17,800.00,800.00,795.00,795.00,1277700
7-Feb-17,800.00,805.00,785.00,795.00,652100
6-Feb-17,795.00,800.00,780.00,795.00,1544500
3-Feb-17,785.00,800.00,785.00,790.00,151700
2-Feb-17,790.00,810.00,780.00,785.00,3483500
1-Feb-17,770.00,785.00,770.00,785.00,1130800
31-Jan-17,770.00,785.00,765.00,770.00,1602500
30-Jan-17,770.00,785.00,765.00,765.00,562200
27-Jan-17,770.00,775.00,765.00,770.00,115400
26-Jan-17,775.00,780.00,765.00,770.00,1366600
25-Jan-17,775.00,780.00,770.00,775.00,877400
24-Jan-17,775.00,790.00,775.00,775.00,507200
23-Jan-17,805.00,805.00,775.00,775.00,3554400
20-Jan-17,805.00,830.00,800.00,800.00,1084600
19-Jan-17,800.00,815.00,795.00,795.00,1348900
18-Jan-17,805.00,810.00,795.00,800.00,1703800
17-Jan-17,805.00,810.00,800.00,800.00,582400
16-Jan-17,815.00,825.00,800.00,810.00,2742400
13-Jan-17,800.00,820.00,785.00,815.00,3493300
12-Jan-17,810.00,810.00,790.00,800.00,1940300
11-Jan-17,795.00,830.00,785.00,805.00,11937900
10-Jan-17,775.00,785.00,765.00,785.00,995500
9-Jan-17,775.00,785.00,775.00,775.00,1249000
6-Jan-17,780.00,780.00,775.00,775.00,58600
5-Jan-17,780.00,785.00,775.00,780.00,760300
4-Jan-17,775.00,790.00,765.00,775.00,1612400
3-Jan-17,765.00,770.00,765.00,765.00,575600
30-Dec-16,775.00,780.00,765.00,765.00,213300
29-Dec-16,765.00,775.00,765.00,770.00,252000
28-Dec-16,765.00,780.00,765.00,765.00,473600
27-Dec-16,775.00,775.00,755.00,765.00,466400
23-Dec-16,765.00,780.00,750.00,775.00,338500
22-Dec-16,750.00,770.00,750.00,765.00,759800
21-Dec-16,765.00,765.00,755.00,755.00,570100
20-Dec-16,780.00,780.00,760.00,765.00,161000
19-Dec-16,765.00,780.00,750.00,780.00,1372900
16-Dec-16,765.00,775.00,745.00,765.00,873600
15-Dec-16,755.00,765.00,750.00,755.00,220400
14-Dec-16,760.00,760.00,745.00,750.00,747100
13-Dec-16,765.00,775.00,755.00,755.00,674400
9-Dec-16,770.00,785.00,755.00,765.00,6345100
8-Dec-16,770.00,780.00,765.00,765.00,1351200
7-Dec-16,745.00,800.00,745.00,770.00,1470900
6-Dec-16,765.00,765.00,760.00,760.00,620700
5-Dec-16,765.00,770.00,750.00,765.00,5475000
2-Dec-16,750.00,760.00,735.00,755.00,835700
1-Dec-16,765.00,765.00,750.00,760.00,1475200
30-Nov-16,740.00,775.00,735.00,765.00,5773300
