Date,Open,High,Low,Close,Volume
29-Dec-17,5725.00,6000.00,5675.00,6000.00,6061700
28-Dec-17,5625.00,5725.00,5625.00,5700.00,5467000
27-Dec-17,5550.00,5625.00,5525.00,5625.00,4752800
22-Dec-17,5575.00,5650.00,5500.00,5550.00,6902200
21-Dec-17,5625.00,5675.00,5550.00,5600.00,9542100
20-Dec-17,5625.00,5700.00,5450.00,5625.00,6904700
19-Dec-17,5875.00,5875.00,5625.00,5625.00,5967700
18-Dec-17,5850.00,5850.00,5775.00,5850.00,8506700
15-Dec-17,5775.00,5975.00,5775.00,5825.00,10397300
14-Dec-17,5700.00,5825.00,5700.00,5750.00,8511300
13-Dec-17,5775.00,5800.00,5675.00,5700.00,3857900
12-Dec-17,5700.00,5800.00,5700.00,5750.00,4764700
11-Dec-17,5700.00,5750.00,5625.00,5675.00,4200400
8-Dec-17,5600.00,5700.00,5575.00,5675.00,4875900
7-Dec-17,5500.00,5600.00,5400.00,5550.00,6798500
6-Dec-17,5450.00,5500.00,5350.00,5450.00,5220600
5-Dec-17,5500.00,5575.00,5325.00,5450.00,6483800
4-Dec-17,5525.00,5600.00,5325.00,5500.00,8428000
30-Nov-17,5700.00,5725.00,5450.00,5475.00,6670200
29-Nov-17,5500.00,5750.00,5475.00,5700.00,10441700
28-Nov-17,5600.00,5625.00,5450.00,5500.00,8238600
27-Nov-17,5700.00,5700.00,5550.00,5600.00,8208700
24-Nov-17,5725.00,5725.00,5600.00,5700.00,7664300
23-Nov-17,5775.00,5825.00,5575.00,5700.00,7457400
22-Nov-17,5650.00,5800.00,5650.00,5750.00,8486100
21-Nov-17,5800.00,5875.00,5650.00,5650.00,8531000
20-Nov-17,5660.00,5795.00,5660.00,5795.00,11724000
17-Nov-17,5655.00,5700.00,5655.00,5660.00,9303000
16-Nov-17,5700.00,5705.00,5640.00,5650.00,9927500
15-Nov-17,5700.00,5750.00,5690.00,5700.00,10759000
14-Nov-17,5770.00,5800.00,5690.00,5690.00,8992500
13-Nov-17,5760.00,5850.00,5755.00,5770.00,10485500
10-Nov-17,5700.00,5780.00,5680.00,5760.00,9338000
9-Nov-17,5625.00,5720.00,5625.00,5690.00,10684000
8-Nov-17,5580.00,5660.00,5570.00,5660.00,12099000
7-Nov-17,5580.00,5590.00,5560.00,5580.00,12247000
6-Nov-17,5530.00,5570.00,5530.00,5565.00,7285500
3-Nov-17,5500.00,5550.00,5500.00,5525.00,7690000
2-Nov-17,5460.00,5510.00,5455.00,5500.00,13006500
1-Nov-17,5680.00,5680.00,5410.00,5460.00,7501000
31-Oct-17,5315.00,5680.00,5315.00,5680.00,11430000
30-Oct-17,5345.00,5345.00,5295.00,5310.00,8061500
27-Oct-17,5315.00,5400.00,5310.00,5345.00,8987000
26-Oct-17,5325.00,5325.00,5290.00,5315.00,9699500
25-Oct-17,5305.00,5335.00,5295.00,5325.00,9281000
24-Oct-17,5270.00,5320.00,5260.00,5295.00,8628000
23-Oct-17,5180.00,5260.00,5175.00,5260.00,8518500
20-Oct-17,5115.00,5180.00,5115.00,5180.00,7260000
19-Oct-17,4870.00,5115.00,4870.00,5115.00,14262000
18-Oct-17,4845.00,4880.00,4845.00,4870.00,7418500
17-Oct-17,4795.00,4860.00,4795.00,4850.00,10328000
16-Oct-17,4715.00,4800.00,4710.00,4795.00,12806000
13-Oct-17,4665.00,4720.00,4660.00,4715.00,13319500
12-Oct-17,4665.00,4690.00,4640.00,4665.00,9883500
11-Oct-17,4695.00,4695.00,4650.00,4665.00,11180500
10-Oct-17,4740.00,4740.00,4690.00,4700.00,7372000
9-Oct-17,4720.00,4720.00,4690.00,4720.00,8072000
6-Oct-17,4710.00,4725.00,4700.00,4710.00,7502000
5-Oct-17,4760.00,4760.00,4685.00,4710.00,9229000
4-Oct-17,4800.00,4800.00,4740.00,4760.00,7411500
3-Oct-17,4770.00,4805.00,4760.00,4800.00,11188000
2-Oct-17,4765.00,4795.00,4765.00,4770.00,8354000
29-Sep-17,4755.00,4775.00,4750.00,4765.00,6888000
28-Sep-17,4785.00,4800.00,4720.00,4750.00,10057500
27-Sep-17,4770.00,4820.00,4770.00,4795.00,10855000
26-Sep-17,4780.00,4795.00,4750.00,4770.00,10386000
25-Sep-17,4700.00,4775.00,4680.00,4775.00,6200500
22-Sep-17,4655.00,4705.00,4630.00,4700.00,10319000
20-Sep-17,4600.00,4655.00,4600.00,4655.00,10969500
19-Sep-17,4680.00,4680.00,4600.00,4600.00,9828000
18-Sep-17,4815.00,4815.00,4600.00,4670.00,8665000
15-Sep-17,4480.00,4815.00,4480.00,4815.00,14206000
14-Sep-17,4320.00,4500.00,4225.00,4480.00,17213500
13-Sep-17,4305.00,4350.00,4305.00,4325.00,19606500
12-Sep-17,4295.00,4325.00,4290.00,4315.00,13216000
11-Sep-17,4240.00,4295.00,4235.00,4295.00,16846000
8-Sep-17,4255.00,4255.00,4140.00,4235.00,30277000
7-Sep-17,4245.00,4275.00,4235.00,4260.00,14762000
6-Sep-17,4230.00,4255.00,4220.00,4240.00,13700000
5-Sep-17,4200.00,4235.00,4200.00,4230.00,14875500
4-Sep-17,4230.00,4230.00,4195.00,4200.00,10998500
31-Aug-17,4290.00,4290.00,4195.00,4230.00,25095000
30-Aug-17,4255.00,4280.00,4205.00,4280.00,29278500
29-Aug-17,4560.00,4560.00,4250.00,4250.00,28580000
28-Aug-17,4560.00,4580.00,4550.00,4560.00,9576500
25-Aug-17,4575.00,4575.00,4545.00,4560.00,9077000
24-Aug-17,4580.00,4605.00,4560.00,4575.00,14922500
23-Aug-17,4610.00,4630.00,4575.00,4585.00,6733500
22-Aug-17,4660.00,4710.00,4645.00,4700.00,18912000
21-Aug-17,4660.00,4680.00,4540.00,4660.00,16714000
18-Aug-17,4915.00,4920.00,4605.00,4660.00,8745000
