Date,Open,High,Low,Close,Volume
29-Dec-17,180.00,204.00,174.00,198.00,1016944000
28-Dec-17,167.00,181.00,154.00,179.00,782210200
27-Dec-17,164.00,174.00,162.00,166.00,413860900
22-Dec-17,145.00,162.00,142.00,162.00,459599300
21-Dec-17,147.00,148.00,144.00,144.00,106135900
20-Dec-17,146.00,149.00,144.00,147.00,81596400
19-Dec-17,147.00,147.00,144.00,145.00,62975400
18-Dec-17,147.00,149.00,145.00,146.00,62655100
15-Dec-17,149.00,151.00,146.00,147.00,210200200
14-Dec-17,149.00,151.00,146.00,148.00,48465500
13-Dec-17,145.00,151.00,145.00,148.00,51142300
12-Dec-17,145.00,148.00,144.00,144.00,31373400
11-Dec-17,153.00,155.00,143.00,145.00,94118400
8-Dec-17,150.00,164.00,149.00,156.00,345503400
7-Dec-17,150.00,153.00,149.00,150.00,29406700
6-Dec-17,155.00,156.00,150.00,150.00,59757800
5-Dec-17,156.00,160.00,150.00,154.00,102278400
4-Dec-17,145.00,162.00,143.00,155.00,250836300
30-Nov-17,147.00,148.00,145.00,145.00,16654000
29-Nov-17,148.00,153.00,145.00,147.00,83831000
28-Nov-17,153.00,154.00,147.00,148.00,40184700
27-Nov-17,158.00,160.00,151.00,152.00,79032100
24-Nov-17,156.00,166.00,156.00,157.00,254853800
23-Nov-17,146.00,160.00,146.00,155.00,269303500
22-Nov-17,146.00,147.00,145.00,146.00,18993200
21-Nov-17,145.00,150.00,143.00,145.00,49347100
20-Nov-17,145.00,149.00,145.00,145.00,29127900
17-Nov-17,146.00,149.00,145.00,145.00,20543000
16-Nov-17,150.00,151.00,146.00,147.00,39457300
15-Nov-17,147.00,152.00,145.00,149.00,100370400
14-Nov-17,147.00,148.00,144.00,145.00,41316300
13-Nov-17,152.00,152.00,145.00,146.00,76233100
10-Nov-17,156.00,158.00,149.00,151.00,97858700
9-Nov-17,150.00,163.00,150.00,155.00,245521200
8-Nov-17,164.00,164.00,147.00,149.00,336504600
7-Nov-17,173.00,177.00,163.00,163.00,251644300
6-Nov-17,159.00,177.00,158.00,172.00,366012000
3-Nov-17,162.00,163.00,158.00,159.00,39087000
2-Nov-17,166.00,167.00,161.00,162.00,52710600
1-Nov-17,163.00,169.00,162.00,165.00,68937400
31-Oct-17,165.00,168.00,162.00,164.00,83910500
30-Oct-17,171.00,173.00,163.00,165.00,96767400
27-Oct-17,170.00,174.00,167.00,169.00,151541600
26-Oct-17,171.00,174.00,167.00,169.00,116461000
25-Oct-17,165.00,179.00,163.00,170.00,449812400
24-Oct-17,183.00,185.00,162.00,165.00,388790300
23-Oct-17,154.00,191.00,152.00,183.00,1699335500
20-Oct-17,137.00,156.00,136.00,152.00,657425500
19-Oct-17,135.00,142.00,132.00,135.00,155576900
18-Oct-17,137.00,138.00,133.00,135.00,42053800
17-Oct-17,136.00,138.00,134.00,136.00,67535200
16-Oct-17,138.00,139.00,132.00,134.00,53294600
13-Oct-17,141.00,144.00,136.00,138.00,75741900
12-Oct-17,147.00,148.00,138.00,141.00,131986600
11-Oct-17,134.00,144.00,132.00,142.00,211069400
10-Oct-17,131.00,135.00,130.00,133.00,78996000
9-Oct-17,134.00,137.00,128.00,129.00,64830800
6-Oct-17,133.00,136.00,129.00,130.00,143404000
5-Oct-17,134.00,135.00,129.00,132.00,48635300
4-Oct-17,136.00,142.00,129.00,133.00,205983000
3-Oct-17,133.00,150.00,128.00,135.00,472710900
2-Oct-17,150.00,155.00,126.00,132.00,240181600
29-Sep-17,155.00,158.00,148.00,150.00,112550000
28-Sep-17,140.00,158.00,140.00,153.00,231076700
27-Sep-17,152.00,152.00,139.00,145.00,111643200
26-Sep-17,164.00,166.00,146.00,151.00,138587700
25-Sep-17,165.00,169.00,161.00,163.00,83749800
22-Sep-17,168.00,171.00,164.00,165.00,106008200
20-Sep-17,165.00,171.00,163.00,165.00,164450800
19-Sep-17,172.00,173.00,163.00,165.00,112567700
18-Sep-17,161.00,173.00,156.00,168.00,259383900
15-Sep-17,173.00,176.00,160.00,160.00,150221500
14-Sep-17,170.00,176.00,165.00,172.00,172798500
13-Sep-17,185.00,188.00,166.00,168.00,853756800
12-Sep-17,152.00,179.00,148.00,179.00,960040900
11-Sep-17,161.00,162.00,147.00,151.00,185557500
8-Sep-17,163.00,167.00,160.00,161.00,145367700
7-Sep-17,164.00,168.00,160.00,162.00,158505800
6-Sep-17,164.00,172.00,158.00,164.00,445108200
5-Sep-17,151.00,166.00,145.00,162.00,468809300
4-Sep-17,149.00,158.00,143.00,151.00,278876200
31-Aug-17,180.00,183.00,140.00,147.00,983229000
30-Aug-17,186.00,192.00,170.00,182.00,540482500
29-Aug-17,185.00,199.00,183.00,185.00,679799900
28-Aug-17,161.00,202.00,153.00,184.00,2076878800
25-Aug-17,195.00,198.00,155.00,159.00,882772700
24-Aug-17,160.00,198.00,147.00,197.00,2409764900
23-Aug-17,111.00,148.00,109.00,148.00,1129782600
22-Aug-17,101.00,112.00,99.00,110.00,281838400
21-Aug-17,102.00,103.00,100.00,101.00,28400400
18-Aug-17,103.00,105.00,101.00,102.00,47577700
16-Aug-17,101.00,105.00,101.00,103.00,66006400
15-Aug-17,101.00,104.00,100.00,101.00,57760600
14-Aug-17,101.00,103.00,99.00,100.00,43458600
11-Aug-17,104.00,105.00,100.00,100.00,37332100
10-Aug-17,99.00,108.00,99.00,103.00,129683800
9-Aug-17,102.00,103.00,97.00,100.00,56160900
8-Aug-17,104.00,106.00,101.00,102.00,30478900
7-Aug-17,107.00,107.00,102.00,103.00,57701500
4-Aug-17,107.00,109.00,106.00,107.00,56704800
3-Aug-17,105.00,111.00,102.00,107.00,242692900
2-Aug-17,98.00,107.00,98.00,104.00,156471700
1-Aug-17,105.00,105.00,97.00,98.00,51759800
31-Jul-17,104.00,111.00,101.00,103.00,207809000
28-Jul-17,100.00,115.00,97.00,103.00,702596700
27-Jul-17,83.00,101.00,83.00,99.00,406358000
26-Jul-17,86.00,87.00,83.00,83.00,29363700
25-Jul-17,87.00,90.00,85.00,86.00,73092600
24-Jul-17,90.00,91.00,85.00,86.00,62324500
21-Jul-17,81.00,93.00,81.00,90.00,285684000
20-Jul-17,82.00,83.00,80.00,81.00,43949000
19-Jul-17,82.00,84.00,80.00,81.00,49453600
18-Jul-17,88.00,88.00,81.00,81.00,72096400
17-Jul-17,88.00,91.00,86.00,87.00,54332100
14-Jul-17,89.00,90.00,87.00,88.00,23969900
13-Jul-17,90.00,93.00,86.00,88.00,150257800
12-Jul-17,108.00,114.00,85.00,87.00,567733200
11-Jul-17,96.00,118.00,93.00,109.00,678895100
10-Jul-17,96.00,99.00,91.00,96.00,55383300
7-Jul-17,93.00,104.00,90.00,95.00,278950200
6-Jul-17,103.00,106.00,92.00,93.00,420739900
5-Jul-17,74.00,99.00,72.00,99.00,611323700
4-Jul-17,73.00,75.00,72.00,74.00,12960200
3-Jul-17,76.00,77.00,71.00,73.00,30401600
22-Jun-17,77.00,80.00,75.00,76.00,22747300
21-Jun-17,81.00,81.00,76.00,78.00,21380200
20-Jun-17,82.00,82.00,80.00,80.00,13526600
19-Jun-17,84.00,84.00,80.00,81.00,36478600
16-Jun-17,81.00,88.00,81.00,83.00,95763700
15-Jun-17,81.00,82.00,80.00,81.00,16546200
14-Jun-17,82.00,85.00,80.00,81.00,43295400
13-Jun-17,84.00,85.00,81.00,82.00,30346400
12-Jun-17,83.00,88.00,82.00,84.00,72871000
9-Jun-17,86.00,86.00,82.00,83.00,11684900
8-Jun-17,86.00,88.00,83.00,85.00,22227000
7-Jun-17,89.00,89.00,84.00,85.00,44205100
6-Jun-17,92.00,92.00,86.00,89.00,19696700
5-Jun-17,94.00,94.00,91.00,91.00,10039300
2-Jun-17,91.00,96.00,91.00,93.00,39037600
31-May-17,93.00,94.00,91.00,91.00,14988700
30-May-17,92.00,95.00,90.00,92.00,36255800
29-May-17,92.00,93.00,90.00,91.00,16112600
26-May-17,93.00,93.00,91.00,92.00,11019400
24-May-17,94.00,96.00,92.00,92.00,20579000
23-May-17,95.00,97.00,93.00,94.00,20801600
22-May-17,97.00,98.00,94.00,94.00,22907700
19-May-17,97.00,100.00,95.00,97.00,48394500
18-May-17,94.00,99.00,93.00,96.00,70299900
17-May-17,94.00,98.00,92.00,94.00,31079200
16-May-17,95.00,95.00,91.00,93.00,24636000
15-May-17,96.00,100.00,94.00,94.00,27843700
12-May-17,95.00,101.00,93.00,96.00,52755000
10-May-17,91.00,107.00,91.00,94.00,136063500
9-May-17,101.00,101.00,91.00,91.00,48197700
8-May-17,105.00,105.00,100.00,100.00,21809800
5-May-17,108.00,110.00,103.00,103.00,32257200
4-May-17,106.00,107.00,103.00,103.00,40557800
3-May-17,107.00,110.00,104.00,106.00,50237700
2-May-17,108.00,111.00,105.00,106.00,38092600
28-Apr-17,107.00,120.00,105.00,108.00,286511400
27-Apr-17,109.00,109.00,105.00,107.00,41885500
26-Apr-17,109.00,110.00,107.00,108.00,18445300
25-Apr-17,109.00,112.00,107.00,109.00,57711300
21-Apr-17,108.00,110.00,107.00,108.00,11207300
20-Apr-17,110.00,114.00,107.00,109.00,39943400
18-Apr-17,111.00,112.00,109.00,110.00,23410700
17-Apr-17,111.00,115.00,109.00,110.00,50332600
13-Apr-17,111.00,114.00,109.00,111.00,35896200
12-Apr-17,115.00,116.00,111.00,111.00,53524200
11-Apr-17,108.00,119.00,108.00,115.00,170630900
10-Apr-17,112.00,113.00,107.00,109.00,39082500
7-Apr-17,115.00,117.00,111.00,112.00,53526400
6-Apr-17,115.00,119.00,113.00,114.00,60697400
5-Apr-17,115.00,117.00,113.00,115.00,24875300
4-Apr-17,113.00,117.00,110.00,114.00,80099200
3-Apr-17,118.00,123.00,111.00,113.00,89077700
31-Mar-17,114.00,125.00,110.00,117.00,332665700
30-Mar-17,108.00,115.00,107.00,112.00,94758700
29-Mar-17,110.00,112.00,107.00,108.00,25155400
27-Mar-17,109.00,114.00,106.00,110.00,50662400
24-Mar-17,117.00,118.00,112.00,113.00,40740100
23-Mar-17,114.00,120.00,112.00,116.00,95084300
22-Mar-17,115.00,117.00,113.00,114.00,35589500
21-Mar-17,117.00,120.00,113.00,115.00,76106900
20-Mar-17,112.00,121.00,111.00,116.00,150681300
17-Mar-17,121.00,123.00,111.00,114.00,108153900
16-Mar-17,116.00,125.00,115.00,119.00,272446700
15-Mar-17,125.00,133.00,115.00,115.00,434794700
14-Mar-17,112.00,129.00,111.00,125.00,705690000
13-Mar-17,114.00,120.00,110.00,111.00,334864000
10-Mar-17,89.00,116.00,81.00,113.00,1030410000
9-Mar-17,93.00,95.00,87.00,88.00,186485600
8-Mar-17,103.00,105.00,90.00,93.00,304740700
7-Mar-17,105.00,107.00,101.00,103.00,101930600
6-Mar-17,110.00,118.00,104.00,105.00,539853800
3-Mar-17,107.00,111.00,104.00,108.00,180569000
2-Mar-17,110.00,111.00,100.00,107.00,222985900
1-Mar-17,143.00,153.00,101.00,106.00,1599109000
28-Feb-17,128.00,141.00,126.00,141.00,392735500
27-Feb-17,135.00,145.00,103.00,126.00,907501700
24-Feb-17,190.00,204.00,124.00,125.00,909134600
23-Feb-17,202.00,238.00,188.00,190.00,288179600
22-Feb-17,212.00,224.00,175.00,202.00,203610600
21-Feb-17,272.00,278.00,204.00,208.00,115588200
20-Feb-17,276.00,288.00,264.00,272.00,39033600
17-Feb-17,256.00,292.00,252.00,274.00,120083300
16-Feb-17,312.00,312.00,256.00,256.00,156842000
14-Feb-17,328.00,356.00,294.00,300.00,270837300
13-Feb-17,336.00,404.00,284.00,326.00,646446300
10-Feb-17,354.00,360.00,332.00,334.00,76054200
9-Feb-17,362.00,378.00,344.00,346.00,192381800
7-Feb-17,308.00,366.00,298.00,358.00,997192000
6-Feb-17,240.00,296.00,220.00,296.00,873021000
3-Feb-17,252.00,266.00,236.00,238.00,199899000
2-Feb-17,262.00,296.00,250.00,252.00,714352900
1-Feb-17,194.00,258.00,193.00,258.00,917921200
31-Jan-17,166.00,202.00,163.00,192.00,520839500
30-Jan-17,152.00,171.00,148.00,164.00,280762100
27-Jan-17,162.00,164.00,147.00,152.00,146983400
26-Jan-17,136.00,167.00,135.00,158.00,312878100
25-Jan-17,142.00,144.00,136.00,136.00,40141500
24-Jan-17,138.00,148.00,133.00,141.00,45153400
23-Jan-17,142.00,143.00,137.00,138.00,19146600
20-Jan-17,147.00,149.00,138.00,141.00,52336400
19-Jan-17,149.00,151.00,146.00,147.00,20878900
18-Jan-17,150.00,157.00,148.00,149.00,86455600
17-Jan-17,155.00,155.00,146.00,149.00,67221100
16-Jan-17,160.00,165.00,152.00,153.00,55241600
13-Jan-17,167.00,172.00,157.00,158.00,71587900
12-Jan-17,153.00,172.00,153.00,165.00,225889200
11-Jan-17,156.00,159.00,152.00,153.00,48252300
10-Jan-17,149.00,163.00,146.00,155.00,158573800
9-Jan-17,148.00,153.00,147.00,147.00,31464100
6-Jan-17,145.00,155.00,141.00,148.00,82183900
5-Jan-17,147.00,151.00,142.00,145.00,39237000
4-Jan-17,147.00,156.00,144.00,147.00,63865600
3-Jan-17,140.00,154.00,138.00,146.00,56464900
30-Dec-16,147.00,150.00,141.00,141.00,79711000
29-Dec-16,151.00,155.00,147.00,147.00,30792100
28-Dec-16,153.00,161.00,150.00,151.00,65538500
27-Dec-16,135.00,168.00,126.00,152.00,383573600
23-Dec-16,150.00,156.00,139.00,139.00,84976600
22-Dec-16,170.00,173.00,154.00,154.00,108169700
21-Dec-16,177.00,180.00,171.00,171.00,43157000
20-Dec-16,180.00,184.00,177.00,177.00,38811200
19-Dec-16,181.00,193.00,176.00,180.00,104549100
16-Dec-16,193.00,197.00,180.00,180.00,108553000
15-Dec-16,172.00,202.00,170.00,191.00,558017800
14-Dec-16,170.00,181.00,168.00,172.00,70310400
13-Dec-16,177.00,179.00,170.00,171.00,50788700
9-Dec-16,180.00,184.00,177.00,177.00,54407400
8-Dec-16,182.00,188.00,175.00,180.00,75665800
7-Dec-16,190.00,193.00,180.00,182.00,84437100
6-Dec-16,193.00,197.00,191.00,191.00,27589300
5-Dec-16,196.00,202.00,192.00,193.00,47829400
2-Dec-16,195.00,202.00,192.00,196.00,45941000
1-Dec-16,194.00,206.00,193.00,193.00,97989600
30-Nov-16,200.00,204.00,193.00,193.00,50870800
29-Nov-16,208.00,216.00,197.00,198.00,142832200
28-Nov-16,192.00,220.00,179.00,206.00,500091900
25-Nov-16,174.00,198.00,174.00,192.00,549699000
24-Nov-16,183.00,194.00,172.00,173.00,194784200
23-Nov-16,197.00,199.00,180.00,182.00,194695900
22-Nov-16,168.00,200.00,154.00,194.00,769421500
21-Nov-16,190.00,192.00,171.00,171.00,341185000
18-Nov-16,185.00,214.00,180.00,189.00,1162236700
17-Nov-16,135.00,175.00,130.00,175.00,1149926900
26-Oct-16,97.00,130.00,93.00,130.00,857676400
25-Oct-16,93.00,101.00,93.00,97.00,225821400
24-Oct-16,96.00,97.00,93.00,93.00,121990600
21-Oct-16,87.00,102.00,87.00,95.00,363010100
20-Oct-16,92.00,94.00,86.00,88.00,128832100
19-Oct-16,94.00,97.00,90.00,92.00,188799100
18-Oct-16,84.00,96.00,84.00,93.00,278633200
17-Oct-16,94.00,95.00,85.00,85.00,261192300
14-Oct-16,102.00,102.00,94.00,94.00,127909000
13-Oct-16,97.00,105.00,94.00,100.00,318136900
11-Oct-16,97.00,118.00,82.00,95.00,2287655300
10-Oct-16,70.00,90.00,70.00,90.00,876417300
7-Oct-16,50.00,67.00,50.00,67.00,899473700
6-Oct-16,50.00,52.00,50.00,50.00,380244000
5-Oct-16,50.00,50.00,50.00,50.00,20300
4-Oct-16,50.00,50.00,50.00,50.00,200
3-Oct-16,50.00,50.00,50.00,50.00,10300
30-Sep-16,50.00,50.00,50.00,50.00,29600
29-Sep-16,50.00,50.00,50.00,50.00,8400
28-Sep-16,50.00,50.00,50.00,50.00,100
27-Sep-16,50.00,50.00,50.00,50.00,200
26-Sep-16,50.00,50.00,50.00,50.00,15000
23-Sep-16,50.00,50.00,50.00,50.00,46700
22-Sep-16,-,-,-,50.00,0
21-Sep-16,50.00,50.00,50.00,50.00,1600
20-Sep-16,50.00,50.00,50.00,50.00,400
19-Sep-16,50.00,50.00,50.00,50.00,4300
16-Sep-16,50.00,50.00,50.00,50.00,12600
15-Sep-16,50.00,50.00,50.00,50.00,200
14-Sep-16,50.00,50.00,50.00,50.00,400
13-Sep-16,50.00,50.00,50.00,50.00,3500
9-Sep-16,50.00,50.00,50.00,50.00,29300
8-Sep-16,50.00,50.00,50.00,50.00,7500
7-Sep-16,50.00,50.00,50.00,50.00,6300
6-Sep-16,50.00,50.00,50.00,50.00,10500
5-Sep-16,50.00,50.00,50.00,50.00,2500
2-Sep-16,50.00,50.00,50.00,50.00,15000
1-Sep-16,50.00,50.00,50.00,50.00,10900
31-Aug-16,-,-,-,50.00,0
30-Aug-16,50.00,50.00,50.00,50.00,43700
29-Aug-16,50.00,50.00,50.00,50.00,35400
26-Aug-16,50.00,50.00,50.00,50.00,11100
25-Aug-16,50.00,50.00,50.00,50.00,5100
24-Aug-16,50.00,50.00,50.00,50.00,6500
23-Aug-16,50.00,50.00,50.00,50.00,89000
22-Aug-16,50.00,50.00,50.00,50.00,1107300
19-Aug-16,50.00,50.00,50.00,50.00,13000
18-Aug-16,50.00,50.00,50.00,50.00,46000
16-Aug-16,50.00,50.00,50.00,50.00,14700
15-Aug-16,50.00,50.00,50.00,50.00,15100
12-Aug-16,50.00,50.00,50.00,50.00,303400
11-Aug-16,50.00,50.00,50.00,50.00,578200
10-Aug-16,50.00,50.00,50.00,50.00,125200
9-Aug-16,50.00,50.00,50.00,50.00,33600
8-Aug-16,50.00,50.00,50.00,50.00,2700
5-Aug-16,50.00,50.00,50.00,50.00,25300
4-Aug-16,50.00,50.00,50.00,50.00,615600
3-Aug-16,50.00,50.00,50.00,50.00,105000
2-Aug-16,50.00,50.00,50.00,50.00,1100
1-Aug-16,50.00,50.00,50.00,50.00,11400
29-Jul-16,50.00,50.00,50.00,50.00,1100
28-Jul-16,50.00,50.00,50.00,50.00,4900
27-Jul-16,50.00,50.00,50.00,50.00,6300
26-Jul-16,50.00,50.00,50.00,50.00,13600
25-Jul-16,50.00,50.00,50.00,50.00,88900
22-Jul-16,50.00,50.00,50.00,50.00,323700
21-Jul-16,50.00,50.00,50.00,50.00,11600
20-Jul-16,50.00,50.00,50.00,50.00,9800
19-Jul-16,50.00,50.00,50.00,50.00,56200
18-Jul-16,50.00,50.00,50.00,50.00,25900
15-Jul-16,50.00,50.00,50.00,50.00,3800
14-Jul-16,50.00,50.00,50.00,50.00,900
13-Jul-16,50.00,50.00,50.00,50.00,12000
12-Jul-16,50.00,50.00,50.00,50.00,4700
11-Jul-16,50.00,50.00,50.00,50.00,27500
1-Jul-16,50.00,50.00,50.00,50.00,9000
30-Jun-16,50.00,50.00,50.00,50.00,44500
29-Jun-16,50.00,50.00,50.00,50.00,240900
28-Jun-16,50.00,50.00,50.00,50.00,44600
27-Jun-16,50.00,50.00,50.00,50.00,178000
24-Jun-16,50.00,50.00,50.00,50.00,8900
23-Jun-16,50.00,50.00,50.00,50.00,139400
22-Jun-16,50.00,50.00,50.00,50.00,24700
21-Jun-16,50.00,50.00,50.00,50.00,2205800
