Date,Open,High,Low,Close,Volume
29-Dec-17,308.00,310.00,300.00,308.00,4970200
28-Dec-17,302.00,310.00,300.00,308.00,4485500
27-Dec-17,300.00,302.00,300.00,302.00,5246000
22-Dec-17,300.00,300.00,298.00,300.00,4882200
21-Dec-17,298.00,300.00,298.00,300.00,4699300
20-Dec-17,298.00,300.00,298.00,300.00,4751700
19-Dec-17,300.00,300.00,298.00,300.00,4709600
18-Dec-17,300.00,302.00,298.00,300.00,4560700
15-Dec-17,300.00,302.00,300.00,302.00,4819300
14-Dec-17,300.00,302.00,298.00,302.00,4713100
13-Dec-17,298.00,300.00,298.00,300.00,4622500
12-Dec-17,300.00,300.00,298.00,300.00,5290000
11-Dec-17,300.00,300.00,298.00,300.00,4197100
8-Dec-17,298.00,304.00,298.00,300.00,4118300
7-Dec-17,300.00,300.00,298.00,300.00,4771800
6-Dec-17,304.00,306.00,298.00,300.00,4818300
5-Dec-17,300.00,300.00,298.00,300.00,4909700
4-Dec-17,306.00,310.00,296.00,300.00,4334000
30-Nov-17,304.00,310.00,298.00,306.00,4434500
29-Nov-17,302.00,312.00,302.00,308.00,4727200
28-Nov-17,304.00,310.00,298.00,300.00,4655700
27-Nov-17,306.00,306.00,300.00,302.00,4657100
24-Nov-17,302.00,306.00,300.00,306.00,5262100
23-Nov-17,300.00,302.00,300.00,300.00,4922000
22-Nov-17,300.00,302.00,298.00,300.00,5118100
21-Nov-17,300.00,304.00,298.00,300.00,4672700
20-Nov-17,302.00,304.00,300.00,304.00,4750300
17-Nov-17,302.00,302.00,298.00,302.00,4673700
16-Nov-17,306.00,306.00,300.00,302.00,4300500
15-Nov-17,306.00,308.00,302.00,306.00,4560200
14-Nov-17,302.00,306.00,300.00,306.00,4457800
13-Nov-17,302.00,306.00,298.00,300.00,4568800
10-Nov-17,302.00,306.00,298.00,300.00,4290900
9-Nov-17,302.00,302.00,300.00,300.00,4484300
8-Nov-17,302.00,302.00,298.00,302.00,3930400
7-Nov-17,302.00,302.00,298.00,302.00,4679800
6-Nov-17,300.00,302.00,298.00,302.00,4213400
3-Nov-17,300.00,302.00,298.00,302.00,4208500
2-Nov-17,306.00,312.00,298.00,302.00,4223900
1-Nov-17,310.00,310.00,300.00,306.00,3756200
31-Oct-17,306.00,310.00,298.00,308.00,4425000
30-Oct-17,312.00,314.00,292.00,310.00,3750700
27-Oct-17,312.00,314.00,300.00,310.00,4503900
26-Oct-17,310.00,312.00,300.00,312.00,4245600
25-Oct-17,302.00,310.00,300.00,310.00,4618900
24-Oct-17,302.00,306.00,300.00,304.00,4168900
23-Oct-17,300.00,304.00,298.00,302.00,4301900
20-Oct-17,302.00,304.00,300.00,300.00,4176800
19-Oct-17,304.00,304.00,294.00,302.00,3951900
18-Oct-17,304.00,304.00,298.00,300.00,4158900
17-Oct-17,304.00,304.00,300.00,304.00,4520900
16-Oct-17,304.00,306.00,300.00,304.00,4376300
12-Oct-17,306.00,306.00,304.00,306.00,4059100
11-Oct-17,304.00,308.00,298.00,306.00,3973000
10-Oct-17,300.00,304.00,298.00,304.00,4123500
9-Oct-17,304.00,306.00,294.00,300.00,3463400
