Date,Open,High,Low,Close,Volume
29-Dec-17,374.00,374.00,374.00,374.00,234700
28-Dec-17,-,-,-,374.00,0
27-Dec-17,374.00,374.00,374.00,374.00,2900
22-Dec-17,-,-,-,374.00,0
21-Dec-17,-,-,-,374.00,0
20-Dec-17,374.00,374.00,374.00,374.00,2300
19-Dec-17,374.00,374.00,374.00,374.00,140000
18-Dec-17,-,-,-,370.00,0
15-Dec-17,370.00,370.00,370.00,370.00,789000
14-Dec-17,-,-,-,370.00,0
13-Dec-17,-,-,-,370.00,0
12-Dec-17,-,-,-,370.00,0
11-Dec-17,-,-,-,370.00,0
8-Dec-17,370.00,370.00,370.00,370.00,25000
7-Dec-17,380.00,380.00,380.00,380.00,50100
6-Dec-17,384.00,384.00,384.00,384.00,32500
5-Dec-17,380.00,380.00,378.00,378.00,17500
4-Dec-17,-,-,-,388.00,0
30-Nov-17,388.00,388.00,388.00,388.00,17900
29-Nov-17,370.00,388.00,370.00,388.00,32200
28-Nov-17,370.00,370.00,370.00,370.00,300
27-Nov-17,370.00,370.00,370.00,370.00,200
24-Nov-17,390.00,390.00,388.00,388.00,50100
23-Nov-17,380.00,388.00,380.00,388.00,36400
22-Nov-17,-,-,-,372.00,0
21-Nov-17,372.00,372.00,372.00,372.00,1500
20-Nov-17,372.00,372.00,372.00,372.00,100
17-Nov-17,370.00,370.00,370.00,370.00,6500
16-Nov-17,-,-,-,370.00,0
15-Nov-17,372.00,372.00,370.00,370.00,37000
14-Nov-17,388.00,388.00,388.00,388.00,700
13-Nov-17,-,-,-,388.00,0
10-Nov-17,-,-,-,388.00,0
9-Nov-17,-,-,-,388.00,0
8-Nov-17,-,-,-,388.00,0
7-Nov-17,388.00,388.00,388.00,388.00,7000
6-Nov-17,390.00,390.00,388.00,388.00,514500
3-Nov-17,390.00,398.00,390.00,398.00,63500
2-Nov-17,-,-,-,390.00,0
1-Nov-17,410.00,420.00,390.00,390.00,315000
31-Oct-17,-,-,-,390.00,0
