Date,Open,High,Low,Close,Volume
29-Dec-17,1660.00,1800.00,1660.00,1800.00,1016500
28-Dec-17,1700.00,1700.00,1660.00,1660.00,289000
27-Dec-17,1700.00,1700.00,1700.00,1700.00,20300
22-Dec-17,1685.00,1700.00,1680.00,1695.00,79900
21-Dec-17,1670.00,1700.00,1670.00,1685.00,383300
20-Dec-17,1680.00,1695.00,1680.00,1690.00,156300
19-Dec-17,1690.00,1690.00,1680.00,1680.00,205500
18-Dec-17,1800.00,1830.00,1685.00,1685.00,45700
15-Dec-17,1690.00,1695.00,1685.00,1695.00,37200
14-Dec-17,1700.00,1735.00,1695.00,1695.00,31500
13-Dec-17,1700.00,1705.00,1680.00,1695.00,217100
12-Dec-17,1750.00,1750.00,1700.00,1720.00,356700
11-Dec-17,1770.00,1770.00,1770.00,1770.00,200
8-Dec-17,1790.00,1790.00,1790.00,1790.00,100
7-Dec-17,1775.00,1800.00,1750.00,1750.00,26600
6-Dec-17,1785.00,1785.00,1715.00,1775.00,6800
5-Dec-17,1800.00,1800.00,1700.00,1800.00,27100
4-Dec-17,1800.00,1820.00,1800.00,1810.00,700
30-Nov-17,1800.00,1800.00,1800.00,1800.00,1000
29-Nov-17,1800.00,1800.00,1800.00,1800.00,1000
28-Nov-17,1800.00,1800.00,1800.00,1800.00,6100
27-Nov-17,1805.00,1805.00,1800.00,1800.00,7400
24-Nov-17,1805.00,1805.00,1800.00,1805.00,101900
23-Nov-17,1805.00,1805.00,1805.00,1805.00,3700
22-Nov-17,1835.00,1835.00,1805.00,1805.00,12700
21-Nov-17,1800.00,1805.00,1800.00,1800.00,110500
20-Nov-17,1835.00,1835.00,1805.00,1805.00,2200
17-Nov-17,1810.00,1810.00,1805.00,1805.00,9600
16-Nov-17,1800.00,1810.00,1800.00,1810.00,101300
15-Nov-17,1805.00,1805.00,1805.00,1805.00,500
14-Nov-17,1830.00,1830.00,1805.00,1805.00,142100
13-Nov-17,1835.00,1840.00,1830.00,1830.00,318800
10-Nov-17,1820.00,1840.00,1820.00,1835.00,172600
9-Nov-17,-,-,-,1840.00,0
8-Nov-17,1840.00,1840.00,1840.00,1840.00,10400
7-Nov-17,1840.00,1845.00,1840.00,1840.00,202700
6-Nov-17,1825.00,1845.00,1825.00,1845.00,400
3-Nov-17,1845.00,1845.00,1810.00,1825.00,1110400
2-Nov-17,1835.00,1845.00,1825.00,1845.00,13500
1-Nov-17,-,-,-,1850.00,0
31-Oct-17,1860.00,1860.00,1850.00,1850.00,1645400
30-Oct-17,1855.00,1870.00,1850.00,1850.00,3226000
27-Oct-17,1870.00,1870.00,1855.00,1855.00,30000
26-Oct-17,1855.00,1870.00,1850.00,1855.00,181300
25-Oct-17,1850.00,1860.00,1850.00,1850.00,21300
24-Oct-17,1870.00,1880.00,1835.00,1850.00,3400
23-Oct-17,1935.00,1935.00,1850.00,1870.00,1000
20-Oct-17,1835.00,1935.00,1835.00,1935.00,75900
19-Oct-17,1850.00,1850.00,1825.00,1835.00,214500
18-Oct-17,1850.00,1850.00,1850.00,1850.00,100
17-Oct-17,1845.00,1850.00,1845.00,1850.00,5900
16-Oct-17,1845.00,1845.00,1835.00,1840.00,2600
13-Oct-17,1835.00,1835.00,1825.00,1835.00,377800
12-Oct-17,1855.00,1885.00,1805.00,1825.00,583100
11-Oct-17,1875.00,1885.00,1855.00,1855.00,53700
10-Oct-17,1880.00,1880.00,1855.00,1860.00,188800
9-Oct-17,1870.00,1895.00,1870.00,1870.00,1300
6-Oct-17,1895.00,1895.00,1870.00,1870.00,7300
5-Oct-17,1870.00,1870.00,1850.00,1865.00,1600
4-Oct-17,1870.00,1870.00,1870.00,1870.00,2300
3-Oct-17,1895.00,1900.00,1860.00,1860.00,351400
2-Oct-17,1890.00,1895.00,1890.00,1890.00,2500
29-Sep-17,1885.00,1890.00,1880.00,1890.00,12700
28-Sep-17,1880.00,1885.00,1880.00,1880.00,1200
27-Sep-17,1875.00,1875.00,1860.00,1875.00,5000
26-Sep-17,1880.00,1880.00,1875.00,1875.00,2600
25-Sep-17,1880.00,1915.00,1880.00,1900.00,6600
22-Sep-17,1880.00,1890.00,1880.00,1880.00,14000
20-Sep-17,1865.00,1890.00,1865.00,1890.00,1300
19-Sep-17,1890.00,1890.00,1890.00,1885.00,1300
18-Sep-17,1880.00,1885.00,1880.00,1885.00,1100
15-Sep-17,1870.00,1875.00,1860.00,1875.00,342400
14-Sep-17,1875.00,1885.00,1870.00,1870.00,623600
13-Sep-17,1895.00,1895.00,1880.00,1880.00,1075000
12-Sep-17,1875.00,1900.00,1875.00,1880.00,2600
11-Sep-17,1880.00,1900.00,1870.00,1875.00,351900
8-Sep-17,1900.00,1900.00,1870.00,1880.00,950600
7-Sep-17,1890.00,1900.00,1880.00,1880.00,65600
6-Sep-17,1900.00,1905.00,1885.00,1885.00,118000
5-Sep-17,1910.00,1910.00,1885.00,1890.00,958000
4-Sep-17,1915.00,1915.00,1905.00,1905.00,81100
31-Aug-17,1915.00,1915.00,1900.00,1915.00,257100
30-Aug-17,1915.00,1920.00,1910.00,1915.00,153000
29-Aug-17,1900.00,1915.00,1900.00,1915.00,190500
28-Aug-17,1925.00,1925.00,1915.00,1915.00,149900
25-Aug-17,1910.00,1925.00,1910.00,1925.00,52400
24-Aug-17,1930.00,1930.00,1900.00,1920.00,241800
23-Aug-17,1935.00,1935.00,1935.00,1935.00,13100
22-Aug-17,1945.00,1945.00,1945.00,1945.00,7100
21-Aug-17,1945.00,1945.00,1945.00,1945.00,500
18-Aug-17,1945.00,1950.00,1945.00,1945.00,49900
16-Aug-17,1900.00,1945.00,1900.00,1945.00,400
15-Aug-17,1950.00,1950.00,1950.00,1950.00,100
14-Aug-17,1935.00,1950.00,1935.00,1945.00,7800
11-Aug-17,1920.00,1950.00,1920.00,1935.00,153700
10-Aug-17,1920.00,1950.00,1920.00,1945.00,26000
9-Aug-17,1945.00,1945.00,1945.00,1945.00,114300
8-Aug-17,1920.00,1950.00,1870.00,1945.00,179500
7-Aug-17,1955.00,1955.00,1950.00,1950.00,38000
4-Aug-17,1940.00,1950.00,1940.00,1950.00,22000
3-Aug-17,1940.00,1940.00,1940.00,1940.00,14200
2-Aug-17,1935.00,1955.00,1935.00,1940.00,11400
1-Aug-17,1935.00,1935.00,1935.00,1935.00,31600
31-Jul-17,1955.00,1955.00,1935.00,1935.00,70900
28-Jul-17,1950.00,1955.00,1950.00,1955.00,105500
27-Jul-17,1950.00,1950.00,1945.00,1950.00,38100
26-Jul-17,1950.00,1950.00,1945.00,1945.00,57700
25-Jul-17,1950.00,1950.00,1945.00,1945.00,54100
24-Jul-17,1955.00,1955.00,1940.00,1945.00,64900
21-Jul-17,1950.00,1950.00,1940.00,1950.00,180700
20-Jul-17,1960.00,1965.00,1945.00,1950.00,285400
19-Jul-17,1960.00,1960.00,1945.00,1950.00,329900
18-Jul-17,1965.00,1965.00,1955.00,1955.00,53100
17-Jul-17,1950.00,1960.00,1940.00,1945.00,135200
14-Jul-17,1950.00,1970.00,1950.00,1965.00,14900
13-Jul-17,1970.00,1970.00,1950.00,1950.00,100600
12-Jul-17,1975.00,1985.00,1975.00,1975.00,38300
11-Jul-17,1940.00,1980.00,1915.00,1975.00,145000
10-Jul-17,1970.00,1970.00,1970.00,1970.00,20000
7-Jul-17,1950.00,1990.00,1950.00,1970.00,365600
6-Jul-17,1975.00,2010.00,1950.00,2010.00,53600
5-Jul-17,1950.00,1960.00,1950.00,1960.00,5800
4-Jul-17,1915.00,1950.00,1915.00,1925.00,38600
3-Jul-17,2000.00,2000.00,1900.00,1915.00,506100
22-Jun-17,2010.00,2050.00,2010.00,2010.00,175900
21-Jun-17,2020.00,2030.00,2000.00,2000.00,14800
20-Jun-17,2010.00,2050.00,2000.00,2030.00,143500
19-Jun-17,2000.00,2020.00,2000.00,2020.00,8900
16-Jun-17,2000.00,2020.00,1985.00,2000.00,517300
15-Jun-17,2000.00,2020.00,2000.00,2020.00,2100
14-Jun-17,2000.00,2000.00,1995.00,1995.00,34200
13-Jun-17,2000.00,2010.00,1985.00,1995.00,426600
12-Jun-17,2020.00,2030.00,1920.00,2000.00,778300
9-Jun-17,2040.00,2050.00,2030.00,2040.00,275700
8-Jun-17,2060.00,2070.00,2000.00,2040.00,817500
7-Jun-17,2010.00,2080.00,2000.00,2050.00,400600
6-Jun-17,2090.00,2090.00,2070.00,2070.00,154400
5-Jun-17,2070.00,2070.00,2070.00,2070.00,35100
2-Jun-17,2060.00,2060.00,2050.00,2060.00,350300
31-May-17,2050.00,2060.00,2050.00,2060.00,252400
30-May-17,2050.00,2060.00,2050.00,2060.00,66800
29-May-17,2000.00,2060.00,2000.00,2060.00,214800
26-May-17,2050.00,2060.00,2050.00,2050.00,263000
24-May-17,2050.00,2060.00,2050.00,2050.00,251900
23-May-17,2050.00,2060.00,2040.00,2050.00,96500
22-May-17,2050.00,2050.00,2040.00,2050.00,351900
19-May-17,2060.00,2070.00,2050.00,2060.00,146700
18-May-17,2050.00,2050.00,2040.00,2050.00,247600
17-May-17,2050.00,2060.00,2050.00,2050.00,102600
16-May-17,2050.00,2060.00,2040.00,2050.00,153900
15-May-17,2050.00,2060.00,2040.00,2050.00,190400
12-May-17,2050.00,2050.00,2040.00,2050.00,50600
10-May-17,2070.00,2070.00,2020.00,2020.00,242800
9-May-17,2070.00,2070.00,2050.00,2050.00,132900
8-May-17,2080.00,2080.00,2060.00,2060.00,747700
5-May-17,2080.00,2080.00,2060.00,2080.00,243200
4-May-17,2080.00,2100.00,2070.00,2080.00,289100
3-May-17,2070.00,2100.00,2070.00,2080.00,105700
2-May-17,2060.00,2090.00,2060.00,2070.00,44500
28-Apr-17,2070.00,2080.00,2070.00,2070.00,728700
27-Apr-17,2060.00,2080.00,2060.00,2070.00,8600
26-Apr-17,2060.00,2060.00,2060.00,2060.00,101200
25-Apr-17,2050.00,2070.00,2050.00,2060.00,301200
21-Apr-17,2050.00,2050.00,1980.00,2040.00,710800
20-Apr-17,2040.00,2050.00,2030.00,2050.00,293300
18-Apr-17,2060.00,2060.00,2030.00,2030.00,809400
17-Apr-17,2040.00,2100.00,2040.00,2050.00,350900
13-Apr-17,2040.00,2050.00,2040.00,2040.00,336800
12-Apr-17,2030.00,2030.00,2020.00,2030.00,520500
11-Apr-17,2000.00,2040.00,2000.00,2030.00,295200
10-Apr-17,1995.00,2040.00,1990.00,2000.00,846300
7-Apr-17,1990.00,2000.00,1990.00,1995.00,623700
6-Apr-17,2000.00,2010.00,1980.00,2010.00,428400
5-Apr-17,2000.00,2040.00,1960.00,1995.00,631000
4-Apr-17,2000.00,2090.00,1980.00,2000.00,473400
3-Apr-17,1960.00,2000.00,1960.00,2000.00,159000
31-Mar-17,1960.00,1960.00,1940.00,1960.00,245900
30-Mar-17,1900.00,1960.00,1900.00,1950.00,881600
29-Mar-17,1950.00,1950.00,1900.00,1900.00,299300
27-Mar-17,1900.00,1900.00,1900.00,1900.00,1000
24-Mar-17,1920.00,1920.00,1875.00,1900.00,684600
23-Mar-17,1930.00,1930.00,1890.00,1900.00,146500
22-Mar-17,1910.00,1930.00,1890.00,1890.00,24900
21-Mar-17,1885.00,1900.00,1885.00,1890.00,156700
20-Mar-17,1870.00,1875.00,1855.00,1875.00,20800
17-Mar-17,1880.00,1880.00,1850.00,1855.00,1300
16-Mar-17,1880.00,1890.00,1855.00,1880.00,190500
15-Mar-17,1850.00,1860.00,1850.00,1860.00,24800
