Date,Open,High,Low,Close,Volume
29-Dec-17,1240.00,1300.00,1230.00,1295.00,5977400
28-Dec-17,1255.00,1280.00,1230.00,1240.00,2037400
27-Dec-17,1225.00,1270.00,1225.00,1250.00,9086200
22-Dec-17,1230.00,1250.00,1220.00,1225.00,200400
21-Dec-17,1250.00,1260.00,1215.00,1225.00,573300
20-Dec-17,1250.00,1265.00,1240.00,1240.00,516000
19-Dec-17,1280.00,1300.00,1250.00,1250.00,619800
18-Dec-17,1300.00,1300.00,1265.00,1280.00,4949300
15-Dec-17,1300.00,1310.00,1300.00,1300.00,42000
14-Dec-17,1310.00,1310.00,1285.00,1300.00,15200
13-Dec-17,1300.00,1310.00,1300.00,1300.00,74300
12-Dec-17,1315.00,1315.00,1295.00,1300.00,38000
11-Dec-17,1290.00,1300.00,1280.00,1300.00,381300
8-Dec-17,1290.00,1300.00,1275.00,1285.00,599800
7-Dec-17,1330.00,1340.00,1255.00,1255.00,392200
6-Dec-17,1350.00,1350.00,1310.00,1340.00,317100
5-Dec-17,1330.00,1350.00,1290.00,1330.00,203300
4-Dec-17,1305.00,1330.00,1290.00,1330.00,1952700
30-Nov-17,1320.00,1345.00,1300.00,1300.00,139500
29-Nov-17,1320.00,1330.00,1315.00,1315.00,48300
28-Nov-17,1320.00,1355.00,1320.00,1320.00,39000
27-Nov-17,1315.00,1350.00,1310.00,1320.00,110300
24-Nov-17,1310.00,1325.00,1310.00,1310.00,42700
23-Nov-17,1300.00,1320.00,1300.00,1310.00,139700
22-Nov-17,1305.00,1335.00,1300.00,1300.00,38000
21-Nov-17,1295.00,1305.00,1290.00,1305.00,13100
20-Nov-17,1300.00,1315.00,1285.00,1300.00,64100
17-Nov-17,1295.00,1300.00,1295.00,1300.00,40900
16-Nov-17,1295.00,1310.00,1285.00,1295.00,86800
15-Nov-17,1300.00,1300.00,1295.00,1295.00,120600
14-Nov-17,1295.00,1315.00,1280.00,1295.00,407100
13-Nov-17,1290.00,1295.00,1285.00,1290.00,25300
10-Nov-17,1300.00,1300.00,1285.00,1290.00,44400
9-Nov-17,1305.00,1310.00,1295.00,1295.00,640800
8-Nov-17,1300.00,1320.00,1300.00,1300.00,560900
7-Nov-17,1300.00,1310.00,1290.00,1300.00,564400
6-Nov-17,1300.00,1305.00,1290.00,1290.00,92900
3-Nov-17,1280.00,1300.00,1275.00,1290.00,162600
