Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,3420.00,0
28-Dec-17,-,-,-,3420.00,0
27-Dec-17,3510.00,3510.00,3420.00,3420.00,600
22-Dec-17,-,-,-,3420.00,0
21-Dec-17,-,-,-,3420.00,0
20-Dec-17,-,-,-,3420.00,0
19-Dec-17,3420.00,3420.00,3420.00,3420.00,400
18-Dec-17,3700.00,3700.00,3420.00,3420.00,2900
15-Dec-17,-,-,-,3510.00,0
14-Dec-17,3700.00,3700.00,3500.00,3510.00,2800
13-Dec-17,3670.00,3890.00,3670.00,3700.00,4400
12-Dec-17,-,-,-,3520.00,0
11-Dec-17,-,-,-,3520.00,0
8-Dec-17,3600.00,4000.00,3520.00,3520.00,2400
7-Dec-17,3600.00,3600.00,3600.00,3600.00,400
6-Dec-17,3600.00,3600.00,3600.00,3600.00,13600
5-Dec-17,3600.00,3600.00,3600.00,3600.00,2200
4-Dec-17,3670.00,3670.00,3670.00,3670.00,600
30-Nov-17,-,-,-,3690.00,0
29-Nov-17,3600.00,3690.00,3600.00,3690.00,300
28-Nov-17,3700.00,3700.00,3700.00,3700.00,200
27-Nov-17,3700.00,3700.00,3700.00,3700.00,1000
24-Nov-17,3650.00,3650.00,3650.00,3650.00,1900
23-Nov-17,3700.00,3700.00,3600.00,3650.00,11300
22-Nov-17,-,-,-,3700.00,0
21-Nov-17,3850.00,4060.00,3700.00,3700.00,1000
20-Nov-17,-,-,-,3730.00,0
17-Nov-17,3730.00,3730.00,3730.00,3730.00,300
16-Nov-17,3750.00,3750.00,3700.00,3730.00,2700
15-Nov-17,3980.00,3980.00,3980.00,3980.00,100
14-Nov-17,3940.00,3940.00,3770.00,3770.00,200
13-Nov-17,3760.00,3770.00,3760.00,3770.00,700
10-Nov-17,-,-,-,3740.00,0
9-Nov-17,-,-,-,3740.00,0
8-Nov-17,3720.00,3740.00,3720.00,3740.00,600
7-Nov-17,3730.00,3730.00,3710.00,3730.00,3600
6-Nov-17,3820.00,3820.00,3710.00,3710.00,18300
3-Nov-17,3810.00,3810.00,3810.00,3810.00,200
2-Nov-17,3850.00,3850.00,3850.00,3850.00,200
1-Nov-17,3820.00,3820.00,3820.00,3820.00,100
31-Oct-17,3850.00,3870.00,3800.00,3800.00,5400
30-Oct-17,3900.00,3900.00,3850.00,3900.00,500
27-Oct-17,3900.00,3910.00,3850.00,3850.00,2000
26-Oct-17,-,-,-,3900.00,0
25-Oct-17,-,-,-,3900.00,0
24-Oct-17,3950.00,3950.00,3900.00,3900.00,400
23-Oct-17,3900.00,4000.00,3900.00,4000.00,400
20-Oct-17,4000.00,4000.00,3900.00,3900.00,600
19-Oct-17,3760.00,3990.00,3760.00,3990.00,200
18-Oct-17,-,-,-,3810.00,0
17-Oct-17,3840.00,3840.00,3810.00,3810.00,1000
16-Oct-17,-,-,-,4000.00,0
12-Oct-17,4000.00,4050.00,4000.00,4000.00,700
11-Oct-17,4000.00,4200.00,4000.00,4000.00,1100
10-Oct-17,3800.00,3850.00,3800.00,3850.00,2100
9-Oct-17,3840.00,3840.00,3840.00,3840.00,300
6-Oct-17,-,-,-,3840.00,0
5-Oct-17,3810.00,3840.00,3810.00,3840.00,600
4-Oct-17,3780.00,3800.00,3780.00,3800.00,600
3-Oct-17,3760.00,3860.00,3760.00,3860.00,300
2-Oct-17,3760.00,3840.00,3760.00,3840.00,1400
29-Sep-17,3720.00,3800.00,3720.00,3750.00,1600
28-Sep-17,3720.00,3720.00,3720.00,3720.00,100
27-Sep-17,3720.00,3720.00,3650.00,3720.00,1900
26-Sep-17,3700.00,3720.00,3700.00,3720.00,800
25-Sep-17,3610.00,3900.00,3500.00,3900.00,1500
22-Sep-17,-,-,-,3900.00,0
20-Sep-17,3900.00,3900.00,3900.00,3900.00,300
19-Sep-17,3900.00,3900.00,3900.00,3900.00,400
18-Sep-17,4000.00,4000.00,3900.00,3900.00,300
15-Sep-17,4000.00,4000.00,3900.00,3900.00,200
14-Sep-17,3990.00,4000.00,3980.00,4000.00,1600
13-Sep-17,-,-,-,4000.00,0
12-Sep-17,4000.00,4000.00,4000.00,4000.00,200
11-Sep-17,4000.00,4000.00,4000.00,4000.00,100
8-Sep-17,4000.00,4000.00,4000.00,4000.00,300
7-Sep-17,3900.00,3900.00,3900.00,3900.00,100
6-Sep-17,-,-,-,3900.00,0
5-Sep-17,3610.00,3900.00,3610.00,3900.00,1500
4-Sep-17,-,-,-,3800.00,0
31-Aug-17,3900.00,3910.00,3800.00,3800.00,3300
30-Aug-17,3750.00,3750.00,3750.00,3750.00,500
29-Aug-17,3900.00,3900.00,3900.00,3900.00,100
28-Aug-17,3800.00,3800.00,3760.00,3760.00,1100
25-Aug-17,3900.00,3900.00,3900.00,3900.00,600
24-Aug-17,3750.00,3830.00,3600.00,3830.00,3400
23-Aug-17,3750.00,3760.00,3740.00,3750.00,2500
22-Aug-17,-,-,-,3810.00,0
21-Aug-17,3810.00,3810.00,3810.00,3810.00,400
18-Aug-17,3790.00,3790.00,3790.00,3790.00,700
16-Aug-17,-,-,-,3790.00,0
15-Aug-17,3800.00,3800.00,3790.00,3790.00,1200
14-Aug-17,3900.00,3950.00,3750.00,3900.00,4200
11-Aug-17,3900.00,3900.00,3900.00,3900.00,100
10-Aug-17,3900.00,3900.00,3900.00,3900.00,600
9-Aug-17,-,-,-,3900.00,0
8-Aug-17,-,-,-,3900.00,0
7-Aug-17,3900.00,3900.00,3900.00,3900.00,600
4-Aug-17,3910.00,3910.00,3900.00,3900.00,10500
3-Aug-17,3940.00,3980.00,3900.00,3900.00,1400
2-Aug-17,4000.00,4000.00,3980.00,3980.00,700
1-Aug-17,3950.00,3950.00,3920.00,3920.00,500
31-Jul-17,3900.00,4000.00,3850.00,4000.00,2400
28-Jul-17,3950.00,3980.00,3900.00,3900.00,5200
27-Jul-17,4000.00,4030.00,4000.00,4020.00,300
26-Jul-17,3960.00,4200.00,3950.00,4000.00,31200
25-Jul-17,4020.00,4020.00,3920.00,3950.00,59600
24-Jul-17,4110.00,4110.00,4110.00,4110.00,1800
21-Jul-17,4100.00,4150.00,4100.00,4150.00,21400
20-Jul-17,4050.00,4050.00,4050.00,4050.00,300
19-Jul-17,4010.00,4020.00,4000.00,4000.00,4200
18-Jul-17,4100.00,4310.00,4100.00,4310.00,2100
17-Jul-17,4100.00,4100.00,4100.00,4100.00,300
14-Jul-17,4000.00,4220.00,3900.00,4110.00,16900
13-Jul-17,3950.00,3950.00,3950.00,3950.00,100
12-Jul-17,4000.00,4010.00,3950.00,4000.00,10300
11-Jul-17,4000.00,4000.00,4000.00,4000.00,2100
10-Jul-17,4000.00,4140.00,3990.00,3990.00,1900
7-Jul-17,4040.00,4250.00,3910.00,3910.00,32000
6-Jul-17,4300.00,4300.00,4100.00,4100.00,22400
5-Jul-17,4350.00,4400.00,4200.00,4300.00,6100
4-Jul-17,4400.00,4460.00,4400.00,4410.00,3500
3-Jul-17,4400.00,4490.00,4150.00,4450.00,2300
22-Jun-17,4500.00,4500.00,4400.00,4400.00,1400
21-Jun-17,4350.00,4450.00,4350.00,4430.00,1200
20-Jun-17,4300.00,4490.00,4210.00,4450.00,1500
19-Jun-17,4400.00,4540.00,4300.00,4440.00,2600
16-Jun-17,4490.00,4560.00,4440.00,4440.00,2800
15-Jun-17,4400.00,4440.00,4300.00,4430.00,1700
14-Jun-17,4400.00,4590.00,4300.00,4400.00,7800
13-Jun-17,4310.00,4810.00,4170.00,4590.00,9300
12-Jun-17,4490.00,4490.00,4290.00,4410.00,2600
9-Jun-17,4600.00,4600.00,4490.00,4490.00,3500
8-Jun-17,4780.00,4780.00,4700.00,4700.00,400
7-Jun-17,4900.00,4900.00,4740.00,4790.00,4100
6-Jun-17,4500.00,4950.00,4500.00,4810.00,10800
5-Jun-17,5400.00,5400.00,4350.00,4500.00,39700
2-Jun-17,6700.00,6700.00,5400.00,5400.00,34300
31-May-17,6750.00,7000.00,6600.00,6750.00,42200
30-May-17,6250.00,7425.00,6250.00,6750.00,70600
29-May-17,5250.00,6225.00,5250.00,6225.00,39800
26-May-17,4200.00,5025.00,4200.00,4990.00,33000
24-May-17,4050.00,4260.00,4000.00,4030.00,6200
23-May-17,4300.00,4300.00,4300.00,4300.00,200
22-May-17,4200.00,4300.00,4200.00,4300.00,18700
19-May-17,4700.00,4700.00,3900.00,4150.00,4600
18-May-17,-,-,-,4790.00,0
17-May-17,4790.00,4790.00,4790.00,4790.00,100
16-May-17,-,-,-,4700.00,0
15-May-17,4400.00,4700.00,4400.00,4700.00,400
12-May-17,4400.00,4500.00,4000.00,4500.00,11400
10-May-17,4800.00,4800.00,4300.00,4300.00,1800
9-May-17,4500.00,4800.00,4500.00,4800.00,3300
8-May-17,4100.00,4500.00,4100.00,4500.00,10400
5-May-17,3950.00,4200.00,3950.00,4200.00,3900
4-May-17,3900.00,3950.00,3900.00,3950.00,300
3-May-17,3380.00,3400.00,3380.00,3400.00,5500
2-May-17,3200.00,3380.00,3200.00,3380.00,13000
28-Apr-17,3150.00,3150.00,3150.00,3150.00,200
27-Apr-17,3080.00,3080.00,3080.00,3080.00,100
26-Apr-17,3080.00,3080.00,3070.00,3080.00,2000
25-Apr-17,2910.00,3080.00,2910.00,3080.00,1800
21-Apr-17,2990.00,3000.00,2990.00,3000.00,3200
20-Apr-17,2900.00,3000.00,2900.00,3000.00,20700
18-Apr-17,2910.00,2910.00,2900.00,2900.00,18800
17-Apr-17,2950.00,2960.00,2940.00,2940.00,19400
13-Apr-17,3000.00,3000.00,3000.00,3000.00,600
12-Apr-17,2810.00,3000.00,2810.00,3000.00,6200
11-Apr-17,3000.00,3000.00,2800.00,2800.00,3200
10-Apr-17,3090.00,3100.00,3080.00,3080.00,2300
7-Apr-17,3040.00,3050.00,3010.00,3050.00,3900
6-Apr-17,2750.00,3000.00,2750.00,3000.00,106300
5-Apr-17,2750.00,2750.00,2750.00,2750.00,200
4-Apr-17,-,-,-,2750.00,0
3-Apr-17,2700.00,2750.00,2700.00,2750.00,4500
31-Mar-17,2690.00,2750.00,2690.00,2750.00,10000
30-Mar-17,2570.00,2570.00,2570.00,2570.00,1300
29-Mar-17,2600.00,2740.00,2600.00,2640.00,12900
27-Mar-17,-,-,-,2600.00,0
24-Mar-17,2530.00,2700.00,2520.00,2600.00,16400
23-Mar-17,2600.00,2600.00,2590.00,2600.00,5800
22-Mar-17,2590.00,2590.00,2580.00,2580.00,200
21-Mar-17,2540.00,2570.00,2500.00,2500.00,9700
20-Mar-17,2510.00,2750.00,2510.00,2750.00,7200
17-Mar-17,2720.00,2720.00,2510.00,2510.00,8600
16-Mar-17,-,-,-,2740.00,0
15-Mar-17,2740.00,2740.00,2740.00,2740.00,100
14-Mar-17,2740.00,2740.00,2740.00,2740.00,100
13-Mar-17,2730.00,2750.00,2520.00,2730.00,1700
10-Mar-17,2730.00,2730.00,2730.00,2730.00,500
9-Mar-17,2690.00,2730.00,2690.00,2730.00,1300
8-Mar-17,2510.00,2510.00,2510.00,2510.00,1100
7-Mar-17,2740.00,2740.00,2700.00,2740.00,1600
6-Mar-17,-,-,-,2740.00,0
3-Mar-17,-,-,-,2740.00,0
2-Mar-17,2590.00,2740.00,2590.00,2740.00,3300
1-Mar-17,2590.00,2590.00,2590.00,2590.00,100
28-Feb-17,2650.00,2650.00,2500.00,2500.00,4000
27-Feb-17,-,-,-,2600.00,0
24-Feb-17,-,-,-,2600.00,0
23-Feb-17,2600.00,2600.00,2600.00,2600.00,300
22-Feb-17,2540.00,2540.00,2500.00,2500.00,13300
21-Feb-17,2740.00,2740.00,2510.00,2740.00,7700
20-Feb-17,2750.00,2750.00,2750.00,2750.00,100
17-Feb-17,2750.00,2750.00,2750.00,2750.00,100
16-Feb-17,-,-,-,2690.00,0
14-Feb-17,2510.00,2690.00,2500.00,2690.00,4400
13-Feb-17,2690.00,2690.00,2690.00,2690.00,1000
10-Feb-17,2690.00,2690.00,2690.00,2690.00,100
9-Feb-17,2500.00,2500.00,2470.00,2500.00,2600
8-Feb-17,-,-,-,2610.00,0
7-Feb-17,2610.00,2610.00,2610.00,2610.00,3000
6-Feb-17,-,-,-,2710.00,0
3-Feb-17,-,-,-,2710.00,0
2-Feb-17,-,-,-,2710.00,0
1-Feb-17,2600.00,2710.00,2600.00,2710.00,1800
31-Jan-17,-,-,-,2700.00,0
30-Jan-17,2750.00,2760.00,2700.00,2700.00,2000
