Date,Open,High,Low,Close,Volume
29-Dec-17,165.00,167.00,163.00,163.00,1090700
28-Dec-17,165.00,168.00,165.00,166.00,289800
27-Dec-17,164.00,167.00,164.00,165.00,482900
22-Dec-17,167.00,167.00,164.00,164.00,652700
21-Dec-17,168.00,168.00,164.00,167.00,501200
20-Dec-17,172.00,172.00,165.00,168.00,1146000
19-Dec-17,170.00,175.00,166.00,169.00,1173600
18-Dec-17,167.00,172.00,167.00,170.00,542800
15-Dec-17,165.00,172.00,165.00,167.00,649000
14-Dec-17,169.00,170.00,164.00,170.00,573100
13-Dec-17,163.00,169.00,161.00,166.00,972300
12-Dec-17,158.00,170.00,157.00,164.00,3088600
11-Dec-17,167.00,172.00,158.00,162.00,1558900
8-Dec-17,175.00,176.00,167.00,167.00,1237900
7-Dec-17,170.00,177.00,170.00,175.00,623000
6-Dec-17,182.00,185.00,175.00,175.00,455700
5-Dec-17,183.00,183.00,168.00,180.00,5538800
4-Dec-17,187.00,188.00,182.00,183.00,2378100
30-Nov-17,191.00,194.00,185.00,187.00,525500
29-Nov-17,189.00,192.00,185.00,191.00,1557000
28-Nov-17,193.00,193.00,185.00,189.00,3709700
27-Nov-17,187.00,197.00,187.00,193.00,10768900
24-Nov-17,188.00,189.00,186.00,186.00,1999200
23-Nov-17,190.00,195.00,186.00,188.00,11515800
22-Nov-17,187.00,192.00,185.00,188.00,3287700
21-Nov-17,185.00,186.00,182.00,184.00,305000
20-Nov-17,188.00,189.00,182.00,185.00,420000
17-Nov-17,183.00,188.00,183.00,185.00,435200
16-Nov-17,182.00,188.00,182.00,185.00,404500
15-Nov-17,187.00,189.00,184.00,184.00,1469900
14-Nov-17,188.00,190.00,184.00,188.00,2408400
13-Nov-17,185.00,187.00,181.00,184.00,1989300
10-Nov-17,184.00,194.00,184.00,185.00,5499900
9-Nov-17,186.00,189.00,182.00,182.00,1596100
8-Nov-17,184.00,192.00,181.00,188.00,6022100
7-Nov-17,186.00,186.00,181.00,181.00,581800
6-Nov-17,187.00,187.00,182.00,182.00,903800
3-Nov-17,184.00,187.00,183.00,186.00,493600
2-Nov-17,178.00,192.00,178.00,184.00,2447600
1-Nov-17,184.00,187.00,181.00,184.00,2203700
31-Oct-17,197.00,198.00,182.00,184.00,6271000
30-Oct-17,197.00,208.00,194.00,194.00,6453600
27-Oct-17,198.00,198.00,191.00,195.00,3791900
26-Oct-17,193.00,204.00,190.00,193.00,5957700
25-Oct-17,214.00,214.00,190.00,190.00,12979400
24-Oct-17,164.00,216.00,164.00,212.00,47314300
23-Oct-17,147.00,162.00,147.00,161.00,7846400
20-Oct-17,143.00,146.00,143.00,146.00,1889100
19-Oct-17,141.00,144.00,141.00,143.00,561400
18-Oct-17,144.00,144.00,141.00,141.00,2021700
17-Oct-17,144.00,145.00,142.00,143.00,1525300
16-Oct-17,144.00,144.00,141.00,144.00,1075200
13-Oct-17,142.00,145.00,141.00,141.00,1905700
12-Oct-17,141.00,144.00,140.00,141.00,1040700
11-Oct-17,144.00,144.00,141.00,141.00,238300
10-Oct-17,142.00,145.00,141.00,141.00,639100
9-Oct-17,147.00,147.00,141.00,144.00,2672700
6-Oct-17,147.00,149.00,146.00,147.00,2061600
5-Oct-17,150.00,150.00,147.00,147.00,359400
4-Oct-17,149.00,151.00,148.00,149.00,3377500
3-Oct-17,143.00,150.00,142.00,149.00,1441700
2-Oct-17,148.00,149.00,143.00,143.00,321600
29-Sep-17,147.00,150.00,145.00,147.00,606000
28-Sep-17,147.00,150.00,147.00,147.00,795000
27-Sep-17,153.00,153.00,147.00,147.00,553800
26-Sep-17,155.00,155.00,150.00,150.00,1931800
