Date,Open,High,Low,Close,Volume
29-Dec-17,77.00,80.00,77.00,79.00,130100
28-Dec-17,80.00,80.00,74.00,77.00,290000
27-Dec-17,80.00,84.00,77.00,80.00,92400
22-Dec-17,79.00,90.00,76.00,80.00,199900
21-Dec-17,78.00,80.00,76.00,79.00,75500
20-Dec-17,74.00,79.00,74.00,76.00,101200
19-Dec-17,78.00,78.00,75.00,75.00,97000
18-Dec-17,80.00,80.00,75.00,79.00,448600
15-Dec-17,80.00,80.00,78.00,80.00,46100
14-Dec-17,79.00,84.00,78.00,79.00,60800
13-Dec-17,82.00,83.00,79.00,80.00,86900
12-Dec-17,84.00,84.00,77.00,83.00,175300
11-Dec-17,87.00,87.00,82.00,85.00,54600
8-Dec-17,86.00,90.00,85.00,87.00,95400
7-Dec-17,87.00,92.00,82.00,85.00,103900
6-Dec-17,90.00,92.00,85.00,87.00,250000
5-Dec-17,97.00,100.00,71.00,92.00,673700
4-Dec-17,103.00,103.00,97.00,97.00,969200
30-Nov-17,106.00,107.00,101.00,102.00,715100
29-Nov-17,105.00,119.00,104.00,106.00,28054300
28-Nov-17,106.00,114.00,101.00,104.00,7032100
27-Nov-17,100.00,126.00,100.00,106.00,48863100
24-Nov-17,101.00,103.00,100.00,100.00,691700
23-Nov-17,104.00,104.00,99.00,101.00,67200
22-Nov-17,102.00,104.00,100.00,101.00,122700
21-Nov-17,103.00,105.00,100.00,102.00,50900
20-Nov-17,102.00,107.00,98.00,100.00,880700
17-Nov-17,99.00,104.00,98.00,101.00,233400
16-Nov-17,104.00,104.00,98.00,99.00,449200
15-Nov-17,103.00,106.00,100.00,102.00,59200
14-Nov-17,104.00,107.00,102.00,103.00,188100
13-Nov-17,103.00,105.00,98.00,103.00,1952200
10-Nov-17,96.00,106.00,96.00,99.00,3483100
9-Nov-17,108.00,108.00,96.00,96.00,4179400
8-Nov-17,110.00,111.00,108.00,108.00,1101400
7-Nov-17,113.00,113.00,110.00,110.00,813600
6-Nov-17,115.00,118.00,111.00,111.00,2910200
3-Nov-17,116.00,116.00,115.00,116.00,616000
2-Nov-17,116.00,116.00,115.00,115.00,545000
1-Nov-17,113.00,116.00,112.00,116.00,1633600
31-Oct-17,113.00,113.00,112.00,112.00,1471200
30-Oct-17,113.00,115.00,113.00,113.00,360300
27-Oct-17,115.00,115.00,113.00,113.00,748500
26-Oct-17,117.00,117.00,115.00,115.00,919900
25-Oct-17,119.00,129.00,116.00,117.00,19460800
24-Oct-17,119.00,125.00,115.00,118.00,17444500
23-Oct-17,119.00,127.00,119.00,119.00,1476100
20-Oct-17,118.00,124.00,117.00,119.00,1758600
19-Oct-17,115.00,120.00,113.00,118.00,2207100
18-Oct-17,116.00,117.00,114.00,115.00,315500
17-Oct-17,113.00,117.00,113.00,116.00,1085000
16-Oct-17,115.00,117.00,113.00,113.00,531900
13-Oct-17,114.00,118.00,113.00,113.00,1200400
12-Oct-17,113.00,115.00,111.00,113.00,1842400
11-Oct-17,116.00,121.00,110.00,113.00,3871800
10-Oct-17,114.00,147.00,114.00,116.00,78589200
9-Oct-17,116.00,116.00,114.00,115.00,1352700
6-Oct-17,115.00,116.00,114.00,115.00,426600
5-Oct-17,115.00,117.00,115.00,115.00,298100
4-Oct-17,115.00,116.00,114.00,115.00,350500
3-Oct-17,113.00,116.00,113.00,115.00,987600
2-Oct-17,111.00,115.00,111.00,114.00,1323600
29-Sep-17,113.00,115.00,111.00,111.00,1063200
28-Sep-17,110.00,112.00,108.00,112.00,1008100
27-Sep-17,108.00,119.00,107.00,108.00,2156300
26-Sep-17,112.00,116.00,106.00,108.00,2567300
25-Sep-17,115.00,117.00,112.00,112.00,452600
22-Sep-17,121.00,121.00,114.00,114.00,1310900
20-Sep-17,122.00,125.00,118.00,121.00,968900
19-Sep-17,123.00,126.00,120.00,121.00,756100
18-Sep-17,126.00,139.00,119.00,123.00,18958800
15-Sep-17,126.00,126.00,121.00,126.00,2456200
14-Sep-17,117.00,143.00,111.00,125.00,48060100
13-Sep-17,121.00,123.00,116.00,117.00,266400
12-Sep-17,125.00,130.00,123.00,124.00,487500
11-Sep-17,112.00,130.00,110.00,125.00,4377700
8-Sep-17,117.00,119.00,110.00,112.00,863300
7-Sep-17,124.00,125.00,115.00,117.00,702600
6-Sep-17,113.00,135.00,111.00,124.00,4039600
5-Sep-17,122.00,122.00,113.00,114.00,1533700
4-Sep-17,128.00,142.00,120.00,122.00,37897400
