Date,Open,High,Low,Close,Volume
29-Dec-17,650.00,650.00,530.00,540.00,117200
28-Dec-17,650.00,650.00,650.00,650.00,800
27-Dec-17,650.00,650.00,650.00,650.00,700600
22-Dec-17,650.00,655.00,645.00,655.00,14486200
21-Dec-17,655.00,655.00,650.00,655.00,25300
20-Dec-17,650.00,660.00,650.00,655.00,32800
19-Dec-17,650.00,650.00,650.00,650.00,95600
18-Dec-17,650.00,650.00,645.00,650.00,239000
15-Dec-17,645.00,650.00,645.00,650.00,49700
14-Dec-17,645.00,650.00,645.00,650.00,665100
13-Dec-17,645.00,650.00,645.00,650.00,198800
12-Dec-17,645.00,650.00,645.00,650.00,168900
11-Dec-17,650.00,650.00,645.00,645.00,180100
8-Dec-17,645.00,660.00,645.00,645.00,4366000
7-Dec-17,645.00,645.00,645.00,645.00,16223900
6-Dec-17,645.00,650.00,645.00,645.00,7191600
5-Dec-17,650.00,650.00,645.00,645.00,4773300
4-Dec-17,610.00,650.00,610.00,645.00,3451000
30-Nov-17,610.00,620.00,605.00,605.00,1582500
29-Nov-17,590.00,605.00,590.00,605.00,133700
28-Nov-17,600.00,605.00,600.00,600.00,1033100
27-Nov-17,600.00,605.00,590.00,605.00,327000
24-Nov-17,605.00,610.00,600.00,605.00,214500
23-Nov-17,605.00,605.00,605.00,605.00,1135700
22-Nov-17,610.00,610.00,605.00,610.00,519200
21-Nov-17,605.00,610.00,605.00,605.00,1043100
20-Nov-17,605.00,605.00,600.00,605.00,1496500
17-Nov-17,600.00,610.00,600.00,605.00,147300
16-Nov-17,615.00,615.00,600.00,600.00,569800
15-Nov-17,600.00,610.00,595.00,610.00,976000
14-Nov-17,615.00,615.00,600.00,615.00,1504900
13-Nov-17,600.00,620.00,600.00,615.00,571300
10-Nov-17,600.00,605.00,600.00,605.00,35600
9-Nov-17,605.00,605.00,600.00,600.00,221100
8-Nov-17,610.00,610.00,605.00,605.00,166300
7-Nov-17,605.00,635.00,605.00,610.00,924300
6-Nov-17,605.00,620.00,590.00,605.00,567700
3-Nov-17,600.00,620.00,595.00,610.00,1045800
2-Nov-17,585.00,600.00,565.00,595.00,1082200
1-Nov-17,605.00,610.00,565.00,590.00,447200
31-Oct-17,605.00,630.00,590.00,605.00,511800
30-Oct-17,600.00,635.00,600.00,605.00,1574600
27-Oct-17,560.00,600.00,555.00,585.00,1872100
26-Oct-17,550.00,580.00,520.00,575.00,796100
25-Oct-17,496.00,560.00,480.00,550.00,1354000
24-Oct-17,500.00,520.00,486.00,500.00,1166700
23-Oct-17,515.00,535.00,500.00,510.00,1644900
20-Oct-17,525.00,535.00,468.00,515.00,1842800
19-Oct-17,466.00,530.00,466.00,520.00,7661700
18-Oct-17,452.00,486.00,452.00,466.00,3805400
17-Oct-17,384.00,458.00,384.00,452.00,6394600
16-Oct-17,360.00,384.00,360.00,384.00,189300
13-Oct-17,360.00,378.00,360.00,360.00,2400
12-Oct-17,374.00,380.00,364.00,378.00,28700
11-Oct-17,378.00,378.00,358.00,366.00,49700
10-Oct-17,372.00,380.00,370.00,378.00,230600
9-Oct-17,350.00,390.00,350.00,370.00,709300
6-Oct-17,348.00,348.00,344.00,344.00,31600
5-Oct-17,356.00,358.00,346.00,346.00,39400
4-Oct-17,354.00,360.00,342.00,358.00,22700
3-Oct-17,360.00,360.00,354.00,354.00,138900
2-Oct-17,368.00,368.00,360.00,360.00,81200
29-Sep-17,356.00,370.00,350.00,360.00,92900
28-Sep-17,366.00,370.00,346.00,356.00,65600
27-Sep-17,362.00,368.00,360.00,366.00,25200
26-Sep-17,370.00,370.00,362.00,362.00,85500
25-Sep-17,366.00,370.00,360.00,370.00,17200
22-Sep-17,374.00,374.00,364.00,368.00,9900
20-Sep-17,366.00,374.00,358.00,374.00,41300
19-Sep-17,368.00,378.00,358.00,366.00,96700
18-Sep-17,380.00,384.00,366.00,368.00,90400
15-Sep-17,376.00,378.00,362.00,374.00,54700
14-Sep-17,392.00,392.00,372.00,376.00,76800
13-Sep-17,380.00,388.00,374.00,386.00,154100
12-Sep-17,378.00,388.00,370.00,380.00,147500
11-Sep-17,364.00,400.00,364.00,378.00,405200
8-Sep-17,368.00,378.00,366.00,366.00,159100
7-Sep-17,388.00,388.00,360.00,362.00,211900
6-Sep-17,384.00,392.00,380.00,388.00,83900
5-Sep-17,378.00,390.00,376.00,384.00,121700
4-Sep-17,382.00,384.00,372.00,376.00,29700
31-Aug-17,390.00,390.00,370.00,376.00,228300
30-Aug-17,400.00,400.00,376.00,380.00,184800
29-Aug-17,390.00,398.00,390.00,398.00,149000
28-Aug-17,390.00,400.00,380.00,390.00,51000
25-Aug-17,392.00,396.00,374.00,386.00,349400
24-Aug-17,400.00,420.00,390.00,390.00,1419500
23-Aug-17,356.00,436.00,350.00,400.00,2595900
22-Aug-17,360.00,368.00,346.00,358.00,423300
21-Aug-17,344.00,354.00,340.00,346.00,658300
18-Aug-17,360.00,360.00,342.00,344.00,492200
16-Aug-17,370.00,370.00,350.00,360.00,343900
15-Aug-17,372.00,372.00,362.00,368.00,289000
14-Aug-17,390.00,390.00,370.00,370.00,113500
11-Aug-17,376.00,378.00,360.00,378.00,334400
10-Aug-17,388.00,388.00,378.00,378.00,262700
9-Aug-17,388.00,388.00,374.00,380.00,264100
8-Aug-17,392.00,392.00,374.00,388.00,525700
7-Aug-17,390.00,392.00,380.00,386.00,242200
4-Aug-17,396.00,404.00,380.00,388.00,297700
3-Aug-17,394.00,408.00,390.00,396.00,427400
2-Aug-17,400.00,412.00,392.00,394.00,315300
1-Aug-17,402.00,414.00,396.00,400.00,256400
31-Jul-17,394.00,420.00,394.00,402.00,213700
28-Jul-17,396.00,400.00,394.00,394.00,106100
27-Jul-17,398.00,412.00,394.00,396.00,191800
26-Jul-17,406.00,418.00,394.00,398.00,600400
25-Jul-17,408.00,418.00,390.00,404.00,179600
24-Jul-17,430.00,430.00,396.00,406.00,873700
21-Jul-17,446.00,470.00,428.00,428.00,2915700
20-Jul-17,386.00,470.00,380.00,436.00,3799200
19-Jul-17,404.00,406.00,382.00,386.00,898700
18-Jul-17,424.00,438.00,392.00,398.00,740600
17-Jul-17,442.00,460.00,422.00,424.00,1049200
14-Jul-17,442.00,474.00,440.00,442.00,2703400
13-Jul-17,492.00,510.00,440.00,442.00,3549400
12-Jul-17,480.00,570.00,480.00,492.00,11461500
11-Jul-17,382.00,474.00,382.00,474.00,7796700
10-Jul-17,366.00,400.00,366.00,380.00,716500
7-Jul-17,368.00,380.00,362.00,366.00,360800
6-Jul-17,356.00,418.00,352.00,366.00,2456100
5-Jul-17,282.00,350.00,282.00,350.00,1947200
4-Jul-17,326.00,326.00,270.00,280.00,609100
3-Jul-17,354.00,354.00,316.00,326.00,137400
22-Jun-17,370.00,370.00,350.00,352.00,259200
21-Jun-17,380.00,386.00,366.00,366.00,253900
20-Jun-17,382.00,386.00,374.00,380.00,189400
19-Jun-17,392.00,392.00,380.00,382.00,144200
16-Jun-17,400.00,402.00,392.00,392.00,566000
15-Jun-17,402.00,420.00,390.00,392.00,736900
14-Jun-17,402.00,402.00,384.00,392.00,325500
13-Jun-17,406.00,406.00,380.00,402.00,219400
12-Jun-17,410.00,416.00,400.00,406.00,1355900
9-Jun-17,380.00,436.00,380.00,400.00,1897100
8-Jun-17,404.00,418.00,380.00,380.00,1098900
7-Jun-17,430.00,432.00,360.00,404.00,1442000
6-Jun-17,390.00,460.00,390.00,430.00,3124300
5-Jun-17,400.00,400.00,380.00,390.00,641600
2-Jun-17,388.00,410.00,378.00,390.00,475400
31-May-17,486.00,486.00,376.00,390.00,3272800
30-May-17,494.00,500.00,486.00,486.00,428200
29-May-17,500.00,530.00,492.00,500.00,2800800
26-May-17,505.00,510.00,480.00,498.00,474000
24-May-17,530.00,540.00,478.00,505.00,2994100
23-May-17,478.00,545.00,478.00,510.00,6979600
22-May-17,408.00,490.00,406.00,472.00,7601200
19-May-17,326.00,412.00,314.00,402.00,6602200
18-May-17,286.00,356.00,286.00,330.00,6411800
17-May-17,298.00,308.00,270.00,286.00,2653700
16-May-17,340.00,362.00,300.00,300.00,2520400
15-May-17,282.00,354.00,240.00,338.00,6463000
10-May-17,250.00,296.00,244.00,290.00,13875700
9-May-17,183.00,238.00,182.00,238.00,14257600
8-May-17,160.00,188.00,158.00,177.00,7460100
5-May-17,149.00,160.00,145.00,158.00,206500
4-May-17,150.00,150.00,143.00,149.00,706600
3-May-17,163.00,170.00,150.00,150.00,1690800
2-May-17,164.00,175.00,160.00,163.00,2158400
28-Apr-17,155.00,180.00,135.00,160.00,3846800
27-Apr-17,133.00,168.00,130.00,153.00,8377000
26-Apr-17,120.00,143.00,118.00,129.00,10973700
25-Apr-17,106.00,120.00,106.00,120.00,5237800
21-Apr-17,106.00,108.00,102.00,106.00,1997000
20-Apr-17,106.00,107.00,98.00,106.00,1043900
18-Apr-17,98.00,104.00,96.00,104.00,1595000
17-Apr-17,98.00,98.00,96.00,97.00,229100
13-Apr-17,100.00,106.00,98.00,98.00,1455700
12-Apr-17,99.00,99.00,98.00,98.00,455200
11-Apr-17,103.00,104.00,98.00,99.00,1685700
10-Apr-17,97.00,103.00,97.00,103.00,4833200
7-Apr-17,93.00,99.00,92.00,96.00,12426200
6-Apr-17,91.00,92.00,90.00,91.00,561800
5-Apr-17,93.00,95.00,90.00,90.00,1324800
4-Apr-17,92.00,96.00,91.00,93.00,1251500
3-Apr-17,93.00,93.00,90.00,92.00,1015200
31-Mar-17,93.00,95.00,93.00,94.00,279100
30-Mar-17,95.00,95.00,92.00,93.00,432500
29-Mar-17,92.00,95.00,92.00,93.00,1905100
27-Mar-17,94.00,94.00,92.00,92.00,1120000
24-Mar-17,94.00,95.00,92.00,92.00,1496200
23-Mar-17,94.00,97.00,93.00,94.00,2351600
22-Mar-17,93.00,97.00,92.00,93.00,2572100
21-Mar-17,92.00,95.00,91.00,93.00,2196900
20-Mar-17,92.00,98.00,88.00,92.00,10230300
17-Mar-17,99.00,109.00,90.00,91.00,70391300
16-Mar-17,90.00,100.00,90.00,97.00,10706800
15-Mar-17,98.00,102.00,90.00,92.00,9450400
14-Mar-17,97.00,103.00,93.00,97.00,12709100
13-Mar-17,87.00,106.00,86.00,96.00,50417700
10-Mar-17,86.00,88.00,85.00,86.00,767200
9-Mar-17,93.00,96.00,86.00,86.00,7120500
8-Mar-17,88.00,92.00,86.00,92.00,1577500
7-Mar-17,88.00,88.00,86.00,88.00,738700
6-Mar-17,90.00,91.00,87.00,88.00,2371700
3-Mar-17,90.00,97.00,87.00,90.00,6263300
2-Mar-17,94.00,103.00,86.00,89.00,30904400
1-Mar-17,80.00,96.00,76.00,93.00,13420600
28-Feb-17,81.00,81.00,75.00,80.00,826300
27-Feb-17,83.00,86.00,80.00,81.00,477000
24-Feb-17,88.00,88.00,83.00,83.00,1137900
23-Feb-17,87.00,90.00,85.00,87.00,2061700
22-Feb-17,89.00,89.00,84.00,87.00,2600500
21-Feb-17,96.00,104.00,89.00,89.00,32565300
20-Feb-17,89.00,97.00,89.00,96.00,3937000
17-Feb-17,87.00,92.00,86.00,89.00,1895500
16-Feb-17,95.00,95.00,84.00,86.00,4894000
14-Feb-17,98.00,107.00,94.00,94.00,50544600
13-Feb-17,97.00,100.00,92.00,98.00,18594900
10-Feb-17,92.00,102.00,90.00,96.00,50473300
9-Feb-17,89.00,92.00,88.00,92.00,3898100
8-Feb-17,93.00,94.00,88.00,88.00,4598900
7-Feb-17,91.00,95.00,88.00,93.00,8338700
6-Feb-17,90.00,95.00,87.00,91.00,5241200
3-Feb-17,91.00,95.00,88.00,90.00,987100
2-Feb-17,95.00,95.00,88.00,92.00,3523100
1-Feb-17,98.00,99.00,92.00,94.00,42029000
31-Jan-17,87.00,102.00,87.00,99.00,45666400
30-Jan-17,89.00,95.00,84.00,87.00,9618400
27-Jan-17,90.00,104.00,83.00,88.00,38826500
26-Jan-17,96.00,98.00,85.00,89.00,11960200
25-Jan-17,100.00,100.00,83.00,96.00,20523800
24-Jan-17,88.00,110.00,87.00,98.00,197537700
23-Jan-17,63.00,83.00,62.00,83.00,94592300
20-Jan-17,68.00,84.00,60.00,62.00,81915100
19-Jan-17,50.00,67.00,50.00,67.00,56572600
18-Jan-17,50.00,51.00,50.00,50.00,781800
17-Jan-17,50.00,51.00,50.00,50.00,1465600
16-Jan-17,51.00,51.00,50.00,51.00,360200
13-Jan-17,51.00,51.00,50.00,50.00,229400
12-Jan-17,50.00,55.00,50.00,51.00,5147900
11-Jan-17,51.00,51.00,50.00,50.00,910000
10-Jan-17,51.00,52.00,50.00,50.00,305400
9-Jan-17,51.00,53.00,50.00,51.00,546800
6-Jan-17,51.00,52.00,50.00,50.00,457000
