Date,Open,High,Low,Close,Volume
29-Dec-17,1540.00,1590.00,1535.00,1550.00,23218000
28-Dec-17,1545.00,1565.00,1530.00,1535.00,19164900
27-Dec-17,1580.00,1585.00,1530.00,1545.00,19219600
22-Dec-17,1585.00,1595.00,1555.00,1560.00,16323700
21-Dec-17,1585.00,1600.00,1570.00,1580.00,9719400
20-Dec-17,1615.00,1625.00,1580.00,1580.00,18959600
19-Dec-17,1615.00,1640.00,1600.00,1605.00,34357700
18-Dec-17,1600.00,1610.00,1555.00,1605.00,36980400
15-Dec-17,1600.00,1620.00,1575.00,1590.00,35294400
14-Dec-17,1520.00,1605.00,1520.00,1575.00,68972700
13-Dec-17,1505.00,1560.00,1495.00,1505.00,44057600
12-Dec-17,1570.00,1575.00,1490.00,1505.00,53671900
11-Dec-17,1625.00,1650.00,1570.00,1570.00,23913100
8-Dec-17,1645.00,1660.00,1600.00,1610.00,22748500
7-Dec-17,1605.00,1675.00,1600.00,1645.00,31300700
6-Dec-17,1665.00,1680.00,1590.00,1600.00,43292600
5-Dec-17,1735.00,1760.00,1655.00,1665.00,31125900
4-Dec-17,1805.00,1810.00,1725.00,1730.00,24735300
30-Nov-17,1810.00,1820.00,1800.00,1805.00,8057500
29-Nov-17,1815.00,1830.00,1805.00,1805.00,10192300
28-Nov-17,1875.00,1885.00,1800.00,1810.00,33148400
27-Nov-17,1900.00,1915.00,1870.00,1880.00,12771800
24-Nov-17,1930.00,1945.00,1895.00,1900.00,12262300
23-Nov-17,1960.00,1965.00,1900.00,1925.00,13427000
22-Nov-17,1970.00,1975.00,1950.00,1950.00,8020900
21-Nov-17,1960.00,1970.00,1940.00,1970.00,11476600
20-Nov-17,1975.00,1985.00,1960.00,1960.00,4539900
17-Nov-17,1980.00,1990.00,1965.00,1975.00,14096100
16-Nov-17,1980.00,1990.00,1955.00,1970.00,15893600
15-Nov-17,1990.00,1995.00,1955.00,1980.00,16204700
14-Nov-17,2020.00,2020.00,1990.00,2000.00,6271400
13-Nov-17,2020.00,2020.00,1990.00,2020.00,6778300
10-Nov-17,2010.00,2020.00,1990.00,2010.00,6056600
9-Nov-17,2050.00,2060.00,2000.00,2010.00,21164700
8-Nov-17,2000.00,2040.00,1980.00,2040.00,30795200
7-Nov-17,2030.00,2040.00,1995.00,2000.00,14360600
6-Nov-17,1970.00,2030.00,1970.00,2020.00,23168800
3-Nov-17,1945.00,1970.00,1925.00,1960.00,15038100
2-Nov-17,1940.00,1985.00,1930.00,1940.00,20839400
1-Nov-17,1975.00,1985.00,1940.00,1950.00,13254400
31-Oct-17,2010.00,2030.00,1965.00,1970.00,20001400
30-Oct-17,2030.00,2040.00,1990.00,1995.00,14748000
27-Oct-17,2050.00,2050.00,1995.00,2010.00,17871700
26-Oct-17,2060.00,2070.00,2020.00,2050.00,31977200
25-Oct-17,2000.00,2070.00,1990.00,2050.00,49450700
24-Oct-17,1985.00,2010.00,1940.00,1990.00,41350500
23-Oct-17,1905.00,2000.00,1905.00,1990.00,86621100
20-Oct-17,1815.00,1900.00,1810.00,1900.00,70728700
19-Oct-17,1775.00,1840.00,1775.00,1810.00,30590400
18-Oct-17,1805.00,1815.00,1775.00,1775.00,10874500
17-Oct-17,1820.00,1845.00,1790.00,1800.00,32698500
