Date,Open,High,Low,Close,Volume
29-Dec-17,300.00,300.00,294.00,294.00,27000
28-Dec-17,296.00,314.00,290.00,300.00,518500
27-Dec-17,300.00,300.00,296.00,296.00,602300
22-Dec-17,300.00,304.00,300.00,300.00,475100
21-Dec-17,308.00,308.00,292.00,296.00,693200
20-Dec-17,304.00,306.00,304.00,306.00,13900
19-Dec-17,324.00,324.00,324.00,324.00,66300
18-Dec-17,324.00,328.00,324.00,324.00,288200
15-Dec-17,322.00,328.00,322.00,324.00,610000
14-Dec-17,330.00,330.00,310.00,324.00,156400
13-Dec-17,330.00,338.00,328.00,328.00,1610900
12-Dec-17,320.00,332.00,320.00,330.00,1036900
11-Dec-17,320.00,320.00,280.00,320.00,295400
8-Dec-17,318.00,328.00,318.00,320.00,201700
7-Dec-17,302.00,318.00,300.00,318.00,48800
6-Dec-17,328.00,328.00,298.00,298.00,77000
5-Dec-17,334.00,334.00,328.00,328.00,74800
4-Dec-17,334.00,340.00,334.00,336.00,3300
30-Nov-17,330.00,334.00,328.00,334.00,211600
29-Nov-17,328.00,332.00,318.00,322.00,16100
28-Nov-17,348.00,348.00,330.00,338.00,4800
27-Nov-17,318.00,358.00,318.00,330.00,247000
24-Nov-17,310.00,336.00,310.00,318.00,69500
23-Nov-17,350.00,350.00,304.00,308.00,45900
22-Nov-17,324.00,330.00,314.00,330.00,130700
21-Nov-17,348.00,348.00,314.00,314.00,135500
20-Nov-17,380.00,398.00,350.00,350.00,106600
17-Nov-17,348.00,398.00,344.00,378.00,208000
16-Nov-17,318.00,350.00,318.00,350.00,379000
15-Nov-17,310.00,338.00,300.00,320.00,347300
14-Nov-17,310.00,310.00,310.00,310.00,2300
13-Nov-17,310.00,310.00,310.00,310.00,12800
10-Nov-17,298.00,310.00,298.00,310.00,71700
9-Nov-17,300.00,300.00,296.00,298.00,242800
8-Nov-17,310.00,310.00,300.00,308.00,37400
7-Nov-17,328.00,338.00,310.00,310.00,23800
6-Nov-17,318.00,328.00,310.00,328.00,50000
3-Nov-17,318.00,318.00,292.00,318.00,142700
2-Nov-17,292.00,350.00,292.00,326.00,1832800
1-Nov-17,270.00,294.00,270.00,286.00,64700
31-Oct-17,282.00,294.00,282.00,290.00,171400
30-Oct-17,282.00,282.00,282.00,282.00,100
27-Oct-17,284.00,284.00,284.00,284.00,500
26-Oct-17,280.00,284.00,280.00,284.00,1300
25-Oct-17,280.00,280.00,280.00,280.00,115300
24-Oct-17,250.00,270.00,250.00,270.00,43600
23-Oct-17,-,-,-,270.00,0
20-Oct-17,266.00,270.00,266.00,270.00,51400
19-Oct-17,256.00,270.00,250.00,270.00,6300
18-Oct-17,270.00,270.00,262.00,262.00,21700
17-Oct-17,248.00,272.00,248.00,272.00,550700
16-Oct-17,260.00,260.00,248.00,248.00,2300
13-Oct-17,260.00,260.00,246.00,260.00,155800
