Date,Open,High,Low,Close,Volume
29-Dec-17,198.00,198.00,196.00,196.00,120300
28-Dec-17,198.00,198.00,195.00,198.00,344800
27-Dec-17,197.00,198.00,197.00,198.00,64100
22-Dec-17,198.00,198.00,197.00,197.00,497600
21-Dec-17,199.00,199.00,197.00,198.00,550200
20-Dec-17,199.00,200.00,198.00,198.00,860000
19-Dec-17,200.00,202.00,199.00,199.00,1059400
18-Dec-17,199.00,202.00,199.00,199.00,1845700
15-Dec-17,199.00,199.00,199.00,199.00,376500
14-Dec-17,199.00,200.00,199.00,199.00,838800
13-Dec-17,200.00,200.00,199.00,199.00,470700
12-Dec-17,202.00,202.00,199.00,200.00,795900
11-Dec-17,200.00,204.00,200.00,200.00,868700
8-Dec-17,200.00,206.00,200.00,200.00,661100
7-Dec-17,206.00,210.00,200.00,200.00,4620000
6-Dec-17,197.00,210.00,196.00,204.00,15340100
5-Dec-17,200.00,200.00,194.00,198.00,3378100
4-Dec-17,200.00,202.00,199.00,200.00,1006500
30-Nov-17,200.00,202.00,200.00,200.00,267400
29-Nov-17,200.00,202.00,200.00,200.00,2728300
28-Nov-17,200.00,202.00,200.00,200.00,1309000
27-Nov-17,202.00,204.00,199.00,200.00,2473300
24-Nov-17,202.00,204.00,198.00,198.00,5137700
23-Nov-17,202.00,204.00,200.00,202.00,3458900
22-Nov-17,202.00,204.00,200.00,202.00,1957000
21-Nov-17,204.00,204.00,200.00,202.00,3623900
20-Nov-17,200.00,204.00,200.00,202.00,2855200
17-Nov-17,202.00,202.00,199.00,200.00,458200
16-Nov-17,200.00,204.00,200.00,202.00,3044100
15-Nov-17,199.00,202.00,198.00,200.00,3462600
14-Nov-17,197.00,200.00,197.00,199.00,4509000
13-Nov-17,196.00,198.00,195.00,197.00,5394800
10-Nov-17,195.00,202.00,194.00,196.00,17360500
9-Nov-17,194.00,195.00,193.00,194.00,3467700
8-Nov-17,194.00,196.00,194.00,194.00,2362900
7-Nov-17,195.00,196.00,194.00,194.00,2450000
6-Nov-17,196.00,197.00,194.00,195.00,2743300
3-Nov-17,195.00,204.00,194.00,195.00,14221100
2-Nov-17,195.00,195.00,193.00,194.00,2059300
1-Nov-17,195.00,196.00,193.00,194.00,2945400
31-Oct-17,197.00,200.00,193.00,195.00,7977000
30-Oct-17,198.00,198.00,195.00,196.00,4392600
27-Oct-17,197.00,200.00,196.00,197.00,3822900
26-Oct-17,199.00,200.00,194.00,197.00,5072700
25-Oct-17,200.00,200.00,198.00,199.00,1538200
24-Oct-17,200.00,204.00,199.00,199.00,2643300
23-Oct-17,197.00,210.00,197.00,200.00,29695600
20-Oct-17,200.00,200.00,196.00,197.00,2596000
19-Oct-17,196.00,206.00,196.00,196.00,10957500
18-Oct-17,196.00,197.00,194.00,196.00,2699400
17-Oct-17,198.00,200.00,195.00,196.00,3136800
16-Oct-17,197.00,199.00,196.00,198.00,1303400
13-Oct-17,200.00,200.00,196.00,197.00,1652800
12-Oct-17,197.00,200.00,195.00,197.00,1213300
11-Oct-17,196.00,198.00,194.00,196.00,4815100
10-Oct-17,197.00,200.00,195.00,196.00,1726100
9-Oct-17,200.00,200.00,197.00,197.00,1723200
6-Oct-17,206.00,208.00,200.00,200.00,1540400
5-Oct-17,199.00,212.00,198.00,204.00,17567600
4-Oct-17,199.00,199.00,197.00,199.00,1753200
3-Oct-17,195.00,199.00,195.00,199.00,1007500
2-Oct-17,200.00,200.00,195.00,198.00,312500
29-Sep-17,199.00,200.00,194.00,200.00,1441400
28-Sep-17,200.00,200.00,195.00,199.00,370000
27-Sep-17,198.00,202.00,196.00,198.00,641200
