Date,Open,High,Low,Close,Volume
29-Dec-17,220.00,274.00,220.00,256.00,1023500
28-Dec-17,202.00,220.00,202.00,220.00,250300
27-Dec-17,208.00,210.00,200.00,208.00,156800
22-Dec-17,204.00,206.00,202.00,206.00,73400
21-Dec-17,210.00,210.00,202.00,202.00,101000
20-Dec-17,216.00,216.00,200.00,202.00,110800
19-Dec-17,230.00,230.00,210.00,210.00,96100
18-Dec-17,220.00,240.00,200.00,230.00,293200
15-Dec-17,191.00,220.00,191.00,220.00,54200
14-Dec-17,200.00,208.00,190.00,197.00,213200
13-Dec-17,192.00,206.00,192.00,204.00,64700
12-Dec-17,194.00,199.00,188.00,192.00,82200
11-Dec-17,210.00,212.00,197.00,197.00,151400
8-Dec-17,191.00,232.00,191.00,210.00,90300
7-Dec-17,175.00,195.00,175.00,195.00,40400
6-Dec-17,192.00,193.00,185.00,185.00,12700
5-Dec-17,202.00,202.00,185.00,192.00,42200
4-Dec-17,206.00,206.00,185.00,206.00,155200
30-Nov-17,218.00,218.00,202.00,206.00,22300
29-Nov-17,220.00,248.00,204.00,218.00,15500
28-Nov-17,230.00,244.00,210.00,220.00,122300
27-Nov-17,244.00,298.00,232.00,244.00,1011500
24-Nov-17,190.00,244.00,190.00,244.00,1012900
23-Nov-17,182.00,182.00,182.00,182.00,100
22-Nov-17,192.00,192.00,185.00,185.00,6300
21-Nov-17,184.00,192.00,182.00,182.00,300
20-Nov-17,182.00,188.00,180.00,182.00,28300
17-Nov-17,172.00,195.00,172.00,190.00,1606200
16-Nov-17,175.00,180.00,171.00,180.00,30000
15-Nov-17,178.00,178.00,178.00,178.00,100
14-Nov-17,178.00,178.00,170.00,175.00,10600
13-Nov-17,170.00,178.00,170.00,178.00,3600
10-Nov-17,170.00,179.00,165.00,178.00,45200
9-Nov-17,170.00,175.00,170.00,170.00,44700
8-Nov-17,163.00,175.00,163.00,170.00,50400
7-Nov-17,165.00,168.00,165.00,168.00,2000
6-Nov-17,154.00,170.00,151.00,169.00,25800
3-Nov-17,160.00,174.00,160.00,161.00,505100
2-Nov-17,155.00,160.00,153.00,155.00,176500
